split,era,n_er,er_median,std128_mean,std128_median,turn128_mean
era,2015_to_pre_overlap,324145,0.40446994004164594,0.2527403304771782,0.25300927663948924,0.07967275761526868
era,overlap_20200723_20260821,354224,0.28275640862992113,0.20839321694785323,0.20732817158904845,0.08127460527621333
study_era,2015_2020,350545,0.39765586275746057,0.2505745047471035,0.25086348555559157,0.07975656156820725
study_era,2021_2025,290864,0.28348296768396003,0.20891544222336758,0.20770967202146365,0.08138348355721854
study_era,2026,36944,0.25354378366176394,0.1931847324233151,0.1925127775857761,0.08077467626670556
