trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
0,0,30,2021-01-04 09:39:00,2021-01-04 13:44:00,1,31,0.018899824595420049,0.022795942553389788,0,0.0038961179579697393,False,False,True,2021-01-04,2021,1,2021-01-04,0,0
1,31,40,2021-01-04 13:49:00,2021-01-04 14:34:00,-1,10,-0.0029059458610157744,0.0012056646540356719,-0.0029059458610157744,0.0041116105150514459,False,True,False,2021-01-04,2021,-1,2021-01-04,0,0
2,41,58,2021-01-04 14:39:00,2021-01-05 10:39:00,1,18,-0.0031526010418490786,0.001881190758547608,-0.008849615276982449,0.0050337918003966866,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
3,59,71,2021-01-05 10:44:00,2021-01-05 13:19:00,-1,13,-0.0023231921238443145,0.0049530061230110807,-0.0026747205731460911,0.0072761982468553948,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
4,72,98,2021-01-05 13:24:00,2021-01-06 10:09:00,1,27,-0.0065681333585320767,0.0049801598379034667,-0.0065681333585320767,0.011548293196435543,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
5,99,104,2021-01-06 10:14:00,2021-01-06 10:39:00,-1,6,-0.0071024077773877495,0,-0.0071024077773877495,0.0071024077773877495,True,False,False,2021-01-06,2021,-1,2021-01-06,2,0
6,105,109,2021-01-06 10:44:00,2021-01-06 11:04:00,1,5,-0.0080725837952460265,0,-0.0080725837952460265,0.0080725837952460265,True,False,False,2021-01-06,2021,-1,2021-01-06,2,0
7,110,134,2021-01-06 11:09:00,2021-01-06 14:44:00,-1,25,-0.0021585975379967083,0.0014109124703515197,-0.0041149993725758931,0.0035695100083482281,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
8,135,141,2021-01-06 14:49:00,2021-01-07 09:54:00,1,7,-0.005757166254080048,0.0011446418591790151,-0.005757166254080048,0.0069018081132590633,False,True,False,2021-01-07,2021,-1,2021-01-07,3,0
9,142,160,2021-01-07 09:59:00,2021-01-07 11:29:00,-1,19,0.011485254940255828,0.015232466934700902,0,0.0037472119944450735,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
10,161,165,2021-01-07 13:09:00,2021-01-07 13:29:00,1,5,-0.0039349416931121397,0.0013297635340139972,-0.0041082619315725788,0.0052647052271261371,False,True,False,2021-01-07,2021,-1,2021-01-07,3,0
11,166,178,2021-01-07 13:34:00,2021-01-07 14:34:00,-1,13,0.0060841536619481319,0.010139034714217033,0,0.0040548810522689008,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
12,179,186,2021-01-07 14:39:00,2021-01-08 09:49:00,1,8,-0.0058071283921932604,0.0036259775466753593,-0.0063114682841077883,0.0094331059388686189,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
13,187,196,2021-01-08 09:54:00,2021-01-08 10:39:00,-1,10,-0.011335106505027148,4.3845546760993941e-05,-0.011335106505027148,0.011378952051788141,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
14,197,204,2021-01-08 10:44:00,2021-01-08 11:19:00,1,8,-0.0081759841995735303,0,-0.0081759841995735303,0.0081759841995735303,True,False,False,2021-01-08,2021,-1,2021-01-08,4,0
15,205,212,2021-01-08 11:24:00,2021-01-08 13:34:00,-1,8,-0.0059047354836055735,0.0022023067481146768,-0.0059047354836055735,0.0081070422317202507,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
16,213,221,2021-01-08 13:39:00,2021-01-08 14:19:00,1,9,-0.0057881921584923765,0,-0.0057881921584923765,0.0057881921584923765,True,False,False,2021-01-08,2021,-1,2021-01-08,4,0
17,222,226,2021-01-08 14:24:00,2021-01-08 14:44:00,-1,5,-0.004389605734491011,0,-0.0045781303846472729,0.004389605734491011,True,False,False,2021-01-08,2021,-1,2021-01-08,4,0
18,227,253,2021-01-08 14:49:00,2021-01-11 13:09:00,1,27,0.01061783251979093,0.020435167606177446,-0.00066737275243837219,0.0098173350863865159,False,False,False,2021-01-11,2021,1,2021-01-11,5,1
19,254,271,2021-01-11 13:14:00,2021-01-11 14:39:00,-1,18,0.0015941293471473579,0.010639587651283618,-0.0010326727058672489,0.0090454583041362606,False,False,False,2021-01-11,2021,1,2021-01-11,5,1
20,272,278,2021-01-11 14:44:00,2021-01-12 09:49:00,1,7,-0.0064816143225595356,0.0017376198985408779,-0.0064816143225595356,0.0082192342211004129,False,True,False,2021-01-12,2021,-1,2021-01-12,6,1
21,279,281,2021-01-12 09:54:00,2021-01-12 10:04:00,-1,3,-0.0080685686016334964,0,-0.0081044434271959846,0.0080685686016334964,True,False,False,2021-01-12,2021,-1,2021-01-12,6,1
