trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped
0,0,1,2022-01-04 09:35:00,2022-01-04 09:40:00,1.0,2,-0.005401056757618912,0.0038910138227745052,-0.005401056757618912,0.009292070580393417,False,True,True
1,2,24,2022-01-04 09:45:00,2022-01-04 13:05:00,-1.0,23,0.016219609139074033,0.02033613744293695,0.0,0.004116528303862919,False,False,False
2,25,39,2022-01-04 13:10:00,2022-01-04 14:20:00,1.0,15,-0.0015801489798067138,0.002387428808439836,-0.0016533645337518186,0.0039675777882465495,False,True,False
3,40,88,2022-01-04 14:25:00,2022-01-05 14:25:00,-1.0,49,0.0240668383573371,0.027740896083345703,0.0,0.003674057726008602,False,False,False
4,89,97,2022-01-05 14:30:00,2022-01-06 09:40:00,1.0,9,-0.004261354071533564,0.0010419049061308932,-0.004283949282103138,0.005303258977664457,False,True,False
5,98,110,2022-01-06 09:45:00,2022-01-06 10:45:00,-1.0,13,0.006862231147128345,0.011872295946737017,-0.0004141550731069955,0.005010064799608672,False,False,False
6,111,138,2022-01-06 10:50:00,2022-01-06 14:35:00,1.0,28,0.0034747885932897857,0.0076527420465258835,-0.0024600818766775797,0.004177953453236098,False,False,False
7,139,147,2022-01-06 14:40:00,2022-01-07 09:50:00,-1.0,9,-0.001442386001414278,0.0006123212836885909,-0.005967467979981181,0.0020547072851028686,False,True,False
8,148,152,2022-01-07 09:55:00,2022-01-07 10:15:00,1.0,5,-0.004788263175628198,0.0,-0.004788263175628198,0.004788263175628198,True,False,False
9,153,172,2022-01-07 10:20:00,2022-01-07 13:25:00,-1.0,20,-5.3076342749097324e-05,0.0065041745560501804,-5.3076342749097324e-05,0.006557250898799278,False,True,False
10,173,180,2022-01-07 13:30:00,2022-01-07 14:05:00,1.0,8,-0.003524313027565516,0.0004320882436887677,-0.003524313027565516,0.003956401271254284,False,True,False
11,181,199,2022-01-07 14:10:00,2022-01-10 10:10:00,-1.0,19,0.000829714481205601,0.01741537063535032,0.0,0.01658565615414472,False,False,False
12,200,221,2022-01-10 10:15:00,2022-01-10 13:30:00,1.0,22,0.0029427553087708644,0.0071328061050157125,0.0,0.0041900507962448486,False,False,False
13,222,264,2022-01-10 13:35:00,2022-01-11 13:05:00,-1.0,43,0.01304570678164585,0.016575113144056706,-0.001130693903544619,0.003529406362410857,False,False,False
14,265,270,2022-01-11 13:10:00,2022-01-11 13:35:00,1.0,6,-0.002804013731150745,0.0,-0.002804013731150745,0.002804013731150745,True,False,False
15,271,289,2022-01-11 13:40:00,2022-01-12 09:40:00,-1.0,19,-0.006696547983983345,0.0029434167177643184,-0.006696547983983345,0.009639964701747664,False,True,False
16,290,303,2022-01-12 09:45:00,2022-01-12 10:50:00,1.0,14,0.0005285837526116711,0.00671289536139622,-0.002470425217994487,0.006184311608784549,False,False,False
17,304,316,2022-01-12 10:55:00,2022-01-12 13:25:00,-1.0,13,-0.0023484334815747215,0.0026073234506667734,-0.0023484334815747215,0.0049557569322414945,False,True,False
18,317,338,2022-01-12 13:30:00,2022-01-13 09:45:00,1.0,22,-0.007700782819059032,0.0079148656324337,-0.007700782819059032,0.015615648451492731,False,True,False
19,339,349,2022-01-13 09:50:00,2022-01-13 10:40:00,-1.0,11,-0.0060031193744997475,0.0007548565360823748,-0.0060031193744997475,0.006757975910582122,False,True,False
20,350,364,2022-01-13 10:45:00,2022-01-13 13:25:00,1.0,15,-0.0034884781542982206,0.0035526187285269766,-0.0034884781542982206,0.007041096882825197,False,True,False
21,365,387,2022-01-13 13:30:00,2022-01-14 09:50:00,-1.0,23,0.0037319362024078456,0.009755421967846699,-0.00019199090790026965,0.006023485765438853,False,False,False
22,388,404,2022-01-14 09:55:00,2022-01-14 11:15:00,1.0,17,0.009216018574371935,0.012814845216545778,0.0,0.003598826642173843,False,False,False
23,405,412,2022-01-14 11:20:00,2022-01-14 13:25:00,-1.0,8,-0.003568382461576457,0.0004660490963929258,-0.003568382461576457,0.004034431557969382,False,True,False
