year,block,gain,n
2024,0,0.16629464253741472,180
2024,1,0.48381223942572926,156
2024,2,-0.43860650238135512,156
2024,3,1.1346393705856257,121
2024,4,-0.24671562135106317,58
2024,5,-0.21781623989966167,69
2024,6,-0.24231152744006487,138
2024,7,-0.16740233839166574,103
2024,8,0.075368988872236239,156
2024,9,0.10111969409506116,169
2024,10,-0.2230546474691163,156
2024,11,-0.3260565741573469,160
2024,12,0.12935480673665661,178
2024,13,-0.63337674595918325,145
2024,14,0.48649140003647934,163
2024,15,0.05428360075992706,174
2024,16,-0.091415269014676642,188
2024,17,-0.31967324294039023,188
2024,18,0.0096922147478331125,185
2024,19,0.045095368534894875,181
2024,20,0.10810291505043809,176
2024,21,-0.059807618564906094,183
2024,22,-0.083421024476677041,153
2024,23,0.15576719141784057,162
2024,24,0.269025068149297,164
2024,25,-0.23472775721342473,162
2024,26,-0.44299278707587419,161
2024,27,-0.25893629516481398,168
2024,28,-0.35035054240964847,154
2024,29,0.70980188939199351,172
2024,30,-0.65592339883270045,167
2024,31,0.10326412800283485,170
2024,32,-0.20145091349304042,167
2024,33,0.52597358960275886,172
2024,34,-0.1913679163572391,164
2024,35,-0.026592131823171383,144
2024,36,-0.63118457753317903,34
2024,37,0.11462714978867149,51
2024,38,0.61137298052134714,105
2024,39,0.40637743616830913,112
2024,40,-0.02702629234151413,85
2024,41,0.22183974376818982,103
2024,42,-0.39963847418035314,108
2024,43,-0.20804513585402634,86
2024,44,-0.64227653474655033,115
2024,45,0.030495744255908785,119
2024,46,0.057538663448860827,106
2024,47,-0.44275736065592963,133
2024,48,0.10760415652308811,28
2025,0,1.3729927856112514,107
2025,1,-0.33802938846122127,129
2025,2,-0.046794709168626367,129
2025,3,-0.099826281128148397,154
2025,4,0.19076993169750334,150
2025,5,0.28908516360985681,153
2025,6,-0.19743937238544734,137
2025,7,0.34655567369879192,127
2025,8,0.089294492268395781,157
2025,9,0.21290345973570338,178
2025,10,0.06949219605089034,179
2025,11,-0.63989424080405621,160
2025,12,0.28831014778239739,85
2025,13,-0.24243201791226987,167
2025,14,0.062711942278728464,184
2025,15,0.30806303877670144,189
2025,16,0.21108243773776778,183
2025,17,0.045276309351344503,194
2025,18,0.048154303493936269,196
2025,19,0.048841173623770356,197
2025,20,0.28343089624757212,193
2025,21,0.47336013801698118,193
2025,22,0.19138513650496028,180
2025,23,0.15039323297251661,193
2025,24,0.12884460905278855,197
2025,25,0.31604870332568175,192
2025,26,-0.13630038776681611,191
2025,27,0.084275472650635952,179
2025,28,-0.097063874768469907,191
2025,29,0.17857681463764416,174
2025,30,0.12501898150145849,145
2025,31,0.11552775397127943,100
2025,32,0.029455544259088424,90
2025,33,0.13944396613362064,123
2025,34,0.17011564168233184,117
2025,35,-0.23142499483684645,98
2025,36,0.029983031161399817,125
2025,37,-0.1376989001382467,114
2025,38,-0.021252070608519136,142
2025,39,0.00012014641141018111,130
2025,40,0.067451285625084789,154
2025,41,0.26876628033542177,162
2025,42,-0.18253814436049237,157
2025,43,0.20603525979469142,155
2025,44,0.35566402380465939,167
2025,45,-0.040216180033911392,169
2025,46,-0.058281221755461562,158
2025,47,0.21486217620538592,187
2025,48,0.014558236999332889,106
