year,feature,high_a,low_a,year_cycles,high_feature,low_feature,high_bars,low_bars,high_amplitude,low_amplitude,delta_net_log,delta_capture
2021,peak_fraction,1497,8260,639,0.6923076923076923,0.25,13,16,0.006630351203890328,0.006802452574061313,0.012318831861673587,0.9861815742393008
2021,peak_fraction,3253,7980,639,0.8,0.16666666666666666,5,6,0.0022575608138604153,0.00270176335922212,0.00127899121792542,0.2580335351355243
2021,peak_fraction,4073,9581,639,0.8,0.25,10,8,0.009277505783002127,0.008945591699720978,0.00231150888533589,0.021333064972756777
2021,peak_fraction,8100,2473,639,0.7058823529411765,0.17647058823529413,17,17,0.008738855456286387,0.00866554449594048,-0.004176384615547609,-0.20804638988743507
2021,peak_fraction,9691,9676,639,0.7142857142857143,0.14285714285714285,7,7,0.0035863925774259897,0.0037341633915852768,-0.0037166132168472508,-0.5011117198185457
2021,time_mass_skew,114,3177,639,0.9828124235633401,-0.2061844370519306,9,10,0.006851183993115129,0.005551881015799509,0.008932200658075927,0.8077699442049238
2021,time_mass_skew,156,2248,639,0.49957672264649355,-0.4923721373005013,6,6,0.0028459975330994425,0.0032874945064014227,-0.0013811408323243634,-0.25961988423116367
2021,time_mass_skew,525,752,639,0.8757774665914823,-0.2085749419242105,9,9,0.011368023825968798,0.012046572396356758,-0.0018835771124773443,-0.06189825335570098
2021,time_mass_skew,534,86,639,0.6963680540677022,-0.32340155948748983,14,17,0.01188429660186685,0.011007865817658669,0.007852892999007783,0.3435168211949581
2021,time_mass_skew,768,802,639,0.4441266182110832,-0.20873612169218067,18,22,0.024023044547687,0.02677742921784887,-0.015304873670665424,-0.30249734230440983
2021,time_mass_skew,786,11275,639,0.4614281895472032,-1.7286765299245723,6,7,0.00577330122455777,0.004986310706922126,-0.0008077348464315755,-0.06517581341483607
2021,time_mass_skew,792,2231,639,0.5984319933536266,-0.48012520561508204,10,12,0.004360107920841294,0.003514884510109617,-0.0015770204723565392,-0.16124059701680327
2021,time_mass_skew,864,7862,639,0.807845656490808,-0.2826127656829666,24,28,0.015576026722369463,0.018333418487414654,-0.002715256672586361,-0.06973257205241257
2021,time_mass_skew,981,1663,639,0.42063314260197415,-0.2656583718615174,15,12,0.005934233000812306,0.005758411690706566,-0.00016312554682529345,0.06228245247067821
2021,time_mass_skew,1119,7957,639,1.0201629697849788,-0.4551564181806339,12,11,0.010221603612355246,0.008297992652342323,-0.00025535194548861016,0.1457148374750083
2021,time_mass_skew,1163,5563,639,0.3752862135947175,-0.7888657415151499,15,15,0.013965686131707677,0.016713302661491625,0.0065875198284128045,0.2897264419916798
2021,time_mass_skew,1777,3367,639,2.047075806278948,-0.3275702846116083,9,11,0.006931587873838296,0.005691000269749225,-0.004047589347490513,-0.27006261758833683
2021,time_mass_skew,1846,10837,639,0.7353760939908903,-0.22292252603761956,12,15,0.0051337863288356544,0.004293081446619773,0.0016441295423900702,0.14299222148685814
2021,time_mass_skew,2353,9691,639,0.44421068739361236,-0.6473177916390426,6,7,0.004399023784316114,0.0035863925774259897,0.004057654518727373,0.44965169587741854
2021,time_mass_skew,2359,344,639,0.5816052528812476,-0.22683710050883737,31,25,0.014318466082015924,0.01544829162944339,0.0018490310976668125,0.04718935598091224
2021,time_mass_skew,2473,8100,639,0.4693221164505717,-0.7718443987713163,17,17,0.00866554449594048,0.008738855456286387,0.004176384615547609,0.20804638988743507
2021,time_mass_skew,2508,4740,639,0.9142076806408737,-0.20977299671957084,17,14,0.008133866152601144,0.008682471419346527,-0.0008404037184724438,-0.03328682793509824
2021,time_mass_skew,2525,518,639,0.6072923593227636,-1.239309865759243,7,7,0.004863604151430501,0.005328345849909155,0.0006522245720622295,0.13128444118245067
2021,time_mass_skew,2532,7554,639,0.43890886050177474,-0.5051228922232435,15,15,0.00653768447424774,0.006697279288497171,0.0003003187298672178,0.32997795473682434
2021,time_mass_skew,2566,2724,639,0.47952199977570775,-0.49804901005454305,19,18,0.008474039478551632,0.00847221099699702,-0.0030220097389032485,-0.1984594717287868
2021,time_mass_skew,2692,10495,639,0.5170390949271977,-0.3202333608715115,19,19,0.00718279225406615,0.00628811039777144,-0.0008786890412182712,-0.061882536728178617
2021,time_mass_skew,2711,7083,639,0.6276138924725161,-0.27171090171953527,13,11,0.006954114250642185,0.006663042371590322,-0.0008834807986840077,-0.13281641177737952
2021,time_mass_skew,2742,4462,639,0.5727330858601426,-0.4354310559059116,9,8,0.00478917306571347,0.004747896109307703,0.005483752121185282,0.48139543414400393
2021,time_mass_skew,2875,3258,639,1.6824377885873645,-0.3236277598259398,16,13,0.007224696956883214,0.007612973215409546,0.0019482767424313387,0.13476546544791215
2021,time_mass_skew,3164,5999,639,0.42383411910007995,-1.270716778066125,13,15,0.013558362411602687,0.01375220926423637,-0.0054725179803574685,-0.2727377032916156
2021,time_mass_skew,3222,2903,639,0.5322730960395804,-0.3408251899491773,7,8,0.0033630972163560813,0.0035037929249943645,0.0032127878421108974,0.5953019458601372
2021,time_mass_skew,3271,9420,639,0.4581376233818364,-0.319013365146084,9,10,0.005606431534485701,0.005807801400216306,0.002737027480700629,0.26867802943781516
2021,time_mass_skew,3331,2891,639,0.5018233495577935,-0.2886227425521375,11,12,0.003016546993629632,0.003596210109667375,0.004297016855990316,0.5537499308312093
2021,time_mass_skew,3433,11546,639,0.589500788131972,-0.33719292687616925,13,12,0.003928332484839814,0.003660385622681339,-0.005807413946162743,-0.5899360095066292
2021,time_mass_skew,3521,10022,639,1.1864476072220345,-0.4614800862820707,12,12,0.0057435961577514405,0.005431448483304457,-0.003286425665392856,-0.3087458691094715
2021,time_mass_skew,3917,10828,639,0.6902838289205587,-0.48840655219041623,9,9,0.003312173058058754,0.003566731308691118,-0.0026519484473870327,-0.3814250247086789
2021,time_mass_skew,3926,11308,639,0.6232059886704917,-0.36277286888019006,20,20,0.010110807343528094,0.009718603208823673,-0.00034666240964066966,-0.38526134600938
2021,time_mass_skew,4193,4244,639,0.8117973164777292,-0.3160852748818941,22,20,0.003619981990886423,0.004420537436224947,0.007498752047650063,0.5109911693035598
2021,time_mass_skew,4822,6014,639,0.3748985564259706,-0.8448282728112448,19,18,0.01262710826797786,0.010303582616242757,-0.012581172489938942,-0.46384863121780806
2021,time_mass_skew,4914,9919,639,1.0326556207681514,-0.4420606903370301,15,17,0.010923147632726504,0.009053180904314395,0.0012715600976102148,0.0004554101912965791
2021,time_mass_skew,5237,7812,639,0.56280816840298,-0.21762065797178146,13,14,0.012939864710283189,0.010910530147443254,0.0074037898193141305,0.3589625615487976
2021,time_mass_skew,5431,8922,639,0.7021447202619335,-0.3431575648687705,22,19,0.010540596870770358,0.011085396045014129,-0.011845556305918516,-0.4080190302265767
2021,time_mass_skew,5481,180,639,0.4009214285849861,-1.2994497835964878,8,8,0.007449515174358545,0.006955955667598879,-0.005624197176673617,-0.3961486430870798
2021,time_mass_skew,6212,5314,639,0.5907992170559941,-0.3089646659644144,17,17,0.009681296579912235,0.010068698852877311,0.0006049279295981544,-0.0022996298972354223
2021,time_mass_skew,7016,2341,639,0.40940873580452974,-0.4626003444672584,14,12,0.00965078985345702,0.009622222971443328,0.005483728159966851,0.17965611450595503
2021,time_mass_skew,7239,8047,639,0.47885114113651484,-0.25448331864600887,6,6,0.0024415146928165044,0.0026539199797790403,-3.938462220222654e-05,-0.012307976552991776
2021,time_mass_skew,7257,1605,639,0.6760459803171397,-0.36814133572335866,36,29,0.026449216917553642,0.026395736437943462,-0.008568660475251217,-0.17991243057034562
2021,time_mass_skew,7335,7066,639,0.4193850424069276,-0.22718270008862163,18,17,0.016759542179165088,0.01586344759315761,-0.012297463139472695,-0.3339919392792669
2021,time_mass_skew,7721,7529,639,2.136254989607032,-0.3978838808850728,29,25,0.030414719081199415,0.025018388227644017,-0.014659319098597226,-0.4771218290218968
2021,time_mass_skew,7968,3810,639,0.5538441612461262,-0.22166337149726714,12,12,0.01058697394571606,0.009574431309568254,0.0055882026379083915,0.2917078265923081
2021,time_mass_skew,7980,3253,639,0.8270638589347118,-0.5196451210077235,6,5,0.00270176335922212,0.0022575608138604153,-0.00127899121792542,-0.2580335351355243
