name,s2021,s2022,s2023,s2024,s2025,s2026,pos_years,median_pct,cagr_pct,mean_pct,mdd_pct,flips_per_day
slope_only,93.9130697352536,86.16846201801785,31.725716182970622,173.15053942447798,22.12046014015787,10.976830137781079,5,86.16846201801785,73.8100366284669,81.41564950017559,-23.046927023344143,9.540429042904291
fixed_0.1pct,83.0722903928566,45.48627177141715,16.337715699983345,226.15522470578924,-8.533451042521767,-29.957093630824428,4,45.48627177141715,56.016438256975064,72.5036103055049,-19.87844713457071,4.152640264026402
fixed_0.2pct,57.29857533198168,82.01115793625003,36.13542635709817,233.75437032471663,24.164494792245073,-5.549225759829324,5,57.29857533198168,74.4390323706193,86.67280494845832,-17.679099204203354,2.7813531353135312
fixed_0.3pct,67.35322388904852,98.16309689471538,11.309945246965892,228.5292583627179,53.97366099031213,1.4712389454905495,5,67.35322388904852,79.57350704500172,91.86583707675197,-18.081845461528534,2.0668316831683167
fixed_0.5pct,60.93418438961808,99.01030442827292,10.271375660169134,170.88984806598003,21.917030242252288,12.457371308740473,5,60.93418438961808,63.443913673006904,72.60454855725848,-19.160961848927695,1.4018151815181519
fixed_0.8pct,69.625107634562,6.873141214319833,26.780739002747556,118.7597512654687,57.6045557974104,19.46198779859001,5,57.6045557974104,51.2828284048378,55.928658982901695,-29.084643638951402,0.9051155115511551
vol_k1,75.89881317090416,74.03667883669753,31.53381142994245,240.9374924335716,65.48712918654272,49.62164984244208,5,74.03667883669753,86.75662509083047,97.57878501153169,-14.323804733417234,2.873762376237624
vol_k2,30.235000901129894,50.54456564847705,18.47785977625862,203.74075774119086,22.43559599669045,0.9954494803934066,5,30.235000901129894,53.91755448805506,65.08675601274938,-18.3912786743069,1.7863036303630364
vol_k3,38.86846072724288,24.64830600865917,21.574689942312464,148.28014587679266,44.1631000487561,38.856313806176715,5,38.86846072724288,49.75656000794481,55.50694052075264,-27.0740313144046,1.2433993399339933
vol_k5,92.49031488855653,7.683441062693541,1.5454027973672346,79.72090061071874,71.49192068168149,42.33862980744745,5,71.49192068168149,45.34900565663731,50.586396008203515,-22.84711708557785,0.7153465346534653
