name,pos,median,cagr,mdd,flips,y2021,y2022,y2023,y2024,y2025,y2026
T=0 不设门槛,5,52.76489224776575,75.07131470518742,-23.00954733249717,6.023927392739274,95.40110763821458,52.76489224776575,43.475771776108886,172.25212073917032,41.05047248979994,-34.654749720457026
固定 0.1%,5,37.833048412923546,53.51035939605355,-19.876744869581785,3.4364686468646863,37.833048412923546,38.874408954084785,21.210610126769925,200.70393121913241,22.189282357054996,23.28987182814153
固定 0.2%,5,55.624235783638994,69.82231224483937,-17.816516452038044,2.527227722772277,53.904098459918885,55.624235783638994,36.14611001683574,169.50002274090025,60.724575971643226,-7.503260801971812
固定 0.3%,5,74.62893652240466,82.22397154310244,-17.658493541458064,1.9513201320132014,97.30437673569318,74.62893652240466,25.913819560059604,210.2612643382736,49.27038546125182,-17.614625687463825
固定 0.5%,5,64.61204506805905,65.35595270002202,-16.73950305718194,1.3886138613861385,64.61204506805905,79.3512682950809,12.94881079339385,170.01679053948564,37.296881499536404,-4.689327907263596
固定 0.8%,5,50.42067371100014,40.65213325470427,-28.350134735974198,0.9232673267326733,50.42067371100014,7.8689448151588515,22.083915940812183,80.98480454153443,53.54196454062854,17.675133518491904
固定 1.2%,5,30.587272512248596,39.0834185701471,-24.692655861965495,0.5998349834983498,31.187602084741783,30.587272512248596,13.691444337299718,126.86116382449377,17.786413852088167,29.54465704533613
波动率 k=1,5,63.864384179422395,81.51720203737082,-18.551538762677556,2.642739273927393,69.52820031059733,63.864384179422395,34.57299732047936,267.0346092086633,43.614231297968445,-11.303693489102285
波动率 k=2,5,49.947200371650084,64.75044102073156,-21.907699226391742,1.7351485148514851,62.72558900886662,49.947200371650084,18.50950296132652,190.30943290307238,44.58538351948149,58.41886327720069
波动率 k=3,5,44.79368048287722,51.75053333659958,-26.564702861152632,1.2433993399339933,44.79368048287722,8.567330065317758,6.0489263701362095,210.59930677149956,55.41595707395901,56.82486146606529
