view,family,period_days,period_bars,positive_years,median_annual_logret,dev_pooled_logret,flip_rate,logret_2021,logret_2022,logret_2023,logret_2024,logret_2025,logret_2026
30m_offset_15,butter_lp_n1,5,40,5,0.28596842996589467,1.837658338700131,0.10210074542579625,0.16538796056529836,0.4140327231965123,0.28596842996589467,0.742790627764221,0.2294785972082048,0.012873152412456512
30m_offset_15,ema_lp,5,40,5,0.2855839932247318,1.2685779606851113,0.07205782697086063,0.05316754730989823,0.43346609429569805,0.2855839932247318,0.4106125354626119,0.08574779039217141,0.5004673772309245
5m_offset_0,butter_lp_n2,3,144,5,0.2793593273983134,1.70309758296959,0.012181351099568078,0.23169490414836724,0.3158428261654336,0.2793593273983134,0.6012059830059341,0.27499454225154174,0.08845271164608218
15m_offset_5,ema_lp,8,128,5,0.2766018069307256,1.6645879563395263,0.037653663730519794,0.17208066155285967,0.2766018069307256,0.3287894134158913,0.7588166104039211,0.12829946403612846,0.6430641596602917
5m_offset_0,ema_lp,5,240,5,0.2660697040989717,2.0187434629285717,0.02854077859018152,0.2501446173844481,0.481821805896807,0.2660697040989717,0.7694193467916888,0.2512879887566562,0.40219553371756556
15m_offset_5,butter_bp_n1,3,48,5,0.26056015565659485,1.8988304385657917,0.08222824508760043,0.5603243059535844,0.16922813789199495,0.14111515559329466,0.7676026834703228,0.26056015565659485,-0.1635108277569046
5m_offset_0,butter_bp_n1,6,288,5,0.26024539069777486,1.9848077860252114,0.03277531547299777,0.5069412797410662,0.150136846509054,0.13578909888440893,0.9316951701929074,0.26024539069777486,-0.08003889090916706
15m_offset_5,ema_lp,6,96,5,0.2601685855599231,1.6838931518982945,0.04481657148388346,0.1641924500858266,0.2601685855599231,0.3088688264967677,0.6943591453591179,0.25630414439665905,0.42632012140690606
30m_offset_15,butter_bp_n1,5,40,5,0.2565659163837478,1.5257817779285554,0.09577592048791507,0.2678770298462821,0.12434460707946904,0.2565659163837478,0.6413166229922178,0.23567760162683868,-0.11206057566573113
30m_offset_15,butter_lp_n1,6,48,5,0.2562240759944223,1.6660823848005337,0.0928393946238988,0.20458119279537867,0.43529013280785867,0.2562240759944223,0.7034480320709726,0.06653895113190142,0.05630582945376471
