policy,delta_net_log,avoided_negative_interval_log,forgone_positive_interval_log,direction_replacement_delta_log,saved_fee_log,channel_booked_interval_share,filter_booked_interval_share
F,0.0,-0.0,0.0,0.0,0.0,0.0,1.0
A,0.07746217499355135,13.909076915447812,14.286460226519171,0.0,0.4548454860649098,0.0,0.682394801980198
B,0.03157939004722099,1.7472006242689682,1.7868283551712227,0.0,0.07120712094947579,0.0,0.9612383113311331
AB,0.022577017242707775,14.77243158307033,15.24310389240461,0.0,0.4932493265769866,0.0,0.6612864411441144
C,-0.10030920171804891,-0.0,0.0,-1.1516143357361517,1.0513051340181028,0.8519836358635864,0.14801636413641364
AC,-0.1543682187997928,2.6181162939534968,2.7611842122220853,-1.1516143357361517,1.1403140352049475,0.8519836358635864,0.08553355335533554
BC,-0.13483549252101468,0.33132962064055194,0.3798573116302124,-1.1516143357361517,1.0653065342047974,0.8519836358635864,0.14047029702970298
ABC,-0.1865053894635118,2.758246535680204,2.9398522646978575,-1.1516143357361517,1.1467146752902937,0.8519836358635864,0.08219884488448845
channel_only,-0.35845518985194147,6.200573802402213,6.664540373280516,-1.1516143357361517,1.2571257167625145,0.8519836358635864,0.0
