policy,quarters,positive_quarters,negative_quarters,affected_quarters,positive_affected_quarters,median_affected_log_delta,total_log_delta
F,20,0,0,0,0,0.0,0.0
A,20,12,8,19,12,0.0222033162223354,0.07746217499355126
B,20,12,8,20,12,0.0035146857341436482,0.03157939004722134
AB,20,11,9,20,11,0.02543441180729125,0.022577017242707595
C,20,12,8,20,12,0.019479438708022902,-0.10030920171804855
AC,20,11,9,20,11,0.02054612180375195,-0.15436821879979218
BC,20,11,9,20,11,0.01899319992921815,-0.13483549252101412
ABC,20,10,10,20,10,0.015333929198699563,-0.18650538946351133
channel_only,20,11,9,20,11,0.0164262164121462,-0.3584551898519412
