day,symbol,source_rows
2025-01-02,588000.SSE,4983
2025-01-02,588080.SSE,4930
2025-01-03,588000.SSE,4993
2025-01-03,588080.SSE,4921
2025-01-06,588000.SSE,5004
2025-01-06,588080.SSE,4930
2025-01-07,588000.SSE,4991
2025-01-07,588080.SSE,4905
2025-01-08,588000.SSE,4995
2025-01-08,588080.SSE,4941
2025-01-09,588000.SSE,4987
2025-01-09,588080.SSE,4896
2025-01-10,588000.SSE,4948
2025-01-10,588080.SSE,4860
2025-01-13,588000.SSE,4989
2025-01-13,588080.SSE,4937
2025-01-14,588000.SSE,4972
2025-01-14,588080.SSE,4888
2025-01-15,588000.SSE,4994
2025-01-15,588080.SSE,4943
2025-01-16,588000.SSE,4974
2025-01-16,588080.SSE,4925
2025-01-17,588000.SSE,4993
2025-01-17,588080.SSE,4917
2025-01-20,588000.SSE,4999
2025-01-20,588080.SSE,4942
2025-01-21,588000.SSE,4996
2025-01-21,588080.SSE,4954
2025-01-22,588000.SSE,4961
2025-01-22,588080.SSE,4887
2025-01-23,588000.SSE,5004
2025-01-23,588080.SSE,4981
2025-01-24,588000.SSE,4980
2025-01-24,588080.SSE,4884
2025-01-27,588000.SSE,4988
2025-01-27,588080.SSE,4903
2025-02-05,588000.SSE,5005
2025-02-05,588080.SSE,4987
2025-02-06,588000.SSE,4938
2025-02-06,588080.SSE,4881
2025-02-07,588000.SSE,5001
2025-02-07,588080.SSE,4905
2025-02-10,588000.SSE,4986
2025-02-10,588080.SSE,4914
2025-02-11,588000.SSE,4981
2025-02-11,588080.SSE,4910
2025-02-12,588000.SSE,4955
2025-02-12,588080.SSE,4880
2025-02-13,588000.SSE,4990
2025-02-13,588080.SSE,4910
2025-02-14,588000.SSE,4995
2025-02-14,588080.SSE,4931
2025-02-17,588000.SSE,4994
2025-02-17,588080.SSE,4946
2025-02-18,588000.SSE,4976
2025-02-18,588080.SSE,4894
2025-02-19,588000.SSE,4982
2025-02-19,588080.SSE,4905
2025-02-20,588000.SSE,4975
2025-02-20,588080.SSE,4891
2025-02-21,588000.SSE,4969
2025-02-21,588080.SSE,4908
2025-02-24,588000.SSE,5004
2025-02-24,588080.SSE,4990
2025-02-25,588000.SSE,5006
2025-02-25,588080.SSE,4988
2025-02-26,588000.SSE,4993
2025-02-26,588080.SSE,4918
2025-02-27,588000.SSE,4992
2025-02-27,588080.SSE,4946
2025-02-28,588000.SSE,5000
2025-02-28,588080.SSE,4946
2025-03-03,588000.SSE,4996
2025-03-03,588080.SSE,4934
2025-03-04,588000.SSE,4989
2025-03-04,588080.SSE,4921
2025-03-05,588000.SSE,4994
2025-03-05,588080.SSE,4916
2025-03-06,588000.SSE,5001
2025-03-06,588080.SSE,4966
2025-03-07,588000.SSE,5002
2025-03-07,588080.SSE,4938
2025-03-10,588000.SSE,4963
2025-03-10,588080.SSE,4899
2025-03-11,588000.SSE,5000
2025-03-11,588080.SSE,4963
2025-03-12,588000.SSE,4998
2025-03-12,588080.SSE,4929
2025-03-13,588000.SSE,4984
2025-03-13,588080.SSE,4890
2025-03-14,588000.SSE,4978
2025-03-14,588080.SSE,4886
2025-03-17,588000.SSE,4983
2025-03-17,588080.SSE,4916
2025-03-18,588000.SSE,4983
2025-03-18,588080.SSE,4896
2025-03-19,588000.SSE,4952
2025-03-19,588080.SSE,4872
2025-03-20,588000.SSE,4967
2025-03-20,588080.SSE,4882
2025-03-21,588000.SSE,4997
2025-03-21,588080.SSE,4893
2025-03-24,588000.SSE,4974
2025-03-24,588080.SSE,4932
2025-03-25,588000.SSE,4975
2025-03-25,588080.SSE,4873
2025-03-26,588000.SSE,4953
2025-03-26,588080.SSE,4867
2025-03-27,588000.SSE,4980
2025-03-27,588080.SSE,4859
2025-03-28,588000.SSE,4956
2025-03-28,588080.SSE,4865
2025-03-31,588000.SSE,4965
2025-03-31,588080.SSE,4868
2025-04-01,588000.SSE,4991
2025-04-01,588080.SSE,4912
2025-04-02,588000.SSE,4934
2025-04-02,588080.SSE,4853
2025-04-03,588000.SSE,4991
2025-04-03,588080.SSE,4918
2025-04-07,588000.SSE,5002
2025-04-07,588080.SSE,4996
2025-04-08,588000.SSE,5004
2025-04-08,588080.SSE,4981
2025-04-09,588000.SSE,5002
2025-04-09,588080.SSE,4951
2025-04-10,588000.SSE,5004
2025-04-10,588080.SSE,5000
2025-04-11,588000.SSE,4989
2025-04-11,588080.SSE,4931
2025-04-14,588000.SSE,5001
2025-04-14,588080.SSE,4965
2025-04-15,588000.SSE,4986
2025-04-15,588080.SSE,4859
2025-04-16,588000.SSE,4951
2025-04-16,588080.SSE,4855
2025-04-17,588000.SSE,4963
2025-04-17,588080.SSE,4889
2025-04-18,588000.SSE,4931
2025-04-18,588080.SSE,4803
2025-04-21,588000.SSE,4937
2025-04-21,588080.SSE,4834
2025-04-22,588000.SSE,4930
2025-04-22,588080.SSE,4806
2025-04-23,588000.SSE,4973
2025-04-23,588080.SSE,4877
2025-04-24,588000.SSE,4943
2025-04-24,588080.SSE,4838
2025-04-25,588000.SSE,4938
2025-04-25,588080.SSE,4826
2025-04-28,588000.SSE,4926
2025-04-28,588080.SSE,4771
2025-04-29,588000.SSE,4896
2025-04-29,588080.SSE,4774
2025-04-30,588000.SSE,4922
2025-04-30,588080.SSE,4801
2025-05-06,588000.SSE,4990
2025-05-06,588080.SSE,4891
2025-05-07,588000.SSE,5004
2025-05-07,588080.SSE,4956
2025-05-08,588000.SSE,4952
2025-05-08,588080.SSE,4871
2025-05-09,588000.SSE,4944
2025-05-09,588080.SSE,4871
2025-05-12,588000.SSE,4993
2025-05-12,588080.SSE,4903
2025-05-13,588000.SSE,5004
2025-05-13,588080.SSE,4957
2025-05-14,588000.SSE,4930
2025-05-14,588080.SSE,4859
2025-05-15,588000.SSE,4964
2025-05-15,588080.SSE,4871
2025-05-16,588000.SSE,4971
2025-05-16,588080.SSE,4933
2025-05-19,588000.SSE,4948
2025-05-19,588080.SSE,4821
2025-05-20,588000.SSE,4931
2025-05-20,588080.SSE,4774
2025-05-21,588000.SSE,4957
2025-05-21,588080.SSE,4828
2025-05-22,588000.SSE,4934
2025-05-22,588080.SSE,4817
2025-05-23,588000.SSE,4977
2025-05-23,588080.SSE,4839
2025-05-26,588000.SSE,4986
2025-05-26,588080.SSE,4836
2025-05-27,588000.SSE,4915
2025-05-27,588080.SSE,4824
2025-05-28,588000.SSE,4921
2025-05-28,588080.SSE,4819
2025-05-29,588000.SSE,4944
2025-05-29,588080.SSE,4861
2025-05-30,588000.SSE,4951
2025-05-30,588080.SSE,4806
2025-06-03,588000.SSE,4961
2025-06-03,588080.SSE,4795
2025-06-04,588000.SSE,4926
2025-06-04,588080.SSE,4785
2025-06-05,588000.SSE,4949
2025-06-05,588080.SSE,4833
2025-06-06,588000.SSE,4977
2025-06-06,588080.SSE,4801
2025-06-09,588000.SSE,4933
2025-06-09,588080.SSE,4814
2025-06-10,588000.SSE,4988
2025-06-10,588080.SSE,4886
2025-06-11,588000.SSE,4958
2025-06-11,588080.SSE,4839
2025-06-12,588000.SSE,4947
2025-06-12,588080.SSE,4875
2025-06-13,588000.SSE,4960
2025-06-13,588080.SSE,4861
2025-06-16,588000.SSE,4954
2025-06-16,588080.SSE,4886
2025-06-17,588000.SSE,4947
2025-06-17,588080.SSE,4873
2025-06-18,588000.SSE,4936
2025-06-18,588080.SSE,4842
2025-06-19,588000.SSE,4940
2025-06-19,588080.SSE,4861
2025-06-20,588000.SSE,4930
2025-06-20,588080.SSE,4837
2025-06-23,588000.SSE,4952
2025-06-23,588080.SSE,4866
2025-06-24,588000.SSE,4963
2025-06-24,588080.SSE,4877
2025-06-25,588000.SSE,4988
2025-06-25,588080.SSE,4929
2025-06-26,588000.SSE,4978
2025-06-26,588080.SSE,4918
2025-06-27,588000.SSE,4984
2025-06-27,588080.SSE,4891
2025-06-30,588000.SSE,4958
2025-06-30,588080.SSE,4934
2025-07-01,588000.SSE,4940
2025-07-01,588080.SSE,4838
2025-07-02,588000.SSE,4937
2025-07-02,588080.SSE,4848
2025-07-03,588000.SSE,4950
2025-07-03,588080.SSE,4850
2025-07-04,588000.SSE,4954
2025-07-04,588080.SSE,4862
2025-07-07,588000.SSE,4942
2025-07-07,588080.SSE,4852
2025-07-08,588000.SSE,4936
2025-07-08,588080.SSE,4844
2025-07-09,588000.SSE,4945
2025-07-09,588080.SSE,4860
2025-07-10,588000.SSE,4954
2025-07-10,588080.SSE,4860
2025-07-11,588000.SSE,4962
2025-07-11,588080.SSE,4875
2025-07-14,588000.SSE,4993
2025-07-14,588080.SSE,4927
2025-07-15,588000.SSE,4974
2025-07-15,588080.SSE,4873
2025-07-16,588000.SSE,4983
2025-07-16,588080.SSE,4872
2025-07-17,588000.SSE,4950
2025-07-17,588080.SSE,4862
2025-07-18,588000.SSE,4972
2025-07-18,588080.SSE,4898
2025-07-21,588000.SSE,4972
2025-07-21,588080.SSE,4909
2025-07-22,588000.SSE,4956
2025-07-22,588080.SSE,4894
2025-07-23,588000.SSE,4994
2025-07-23,588080.SSE,4914
2025-07-24,588000.SSE,4970
2025-07-24,588080.SSE,4914
2025-07-25,588000.SSE,4988
2025-07-25,588080.SSE,4924
2025-07-28,588000.SSE,5001
2025-07-28,588080.SSE,4970
2025-07-29,588000.SSE,4971
2025-07-29,588080.SSE,4900
2025-07-30,588000.SSE,4981
2025-07-30,588080.SSE,4906
2025-07-31,588000.SSE,4985
2025-07-31,588080.SSE,4905
2025-08-01,588000.SSE,4988
2025-08-01,588080.SSE,4898
2025-08-04,588000.SSE,4974
2025-08-04,588080.SSE,4905
2025-08-05,588000.SSE,4967
2025-08-05,588080.SSE,4899
2025-08-06,588000.SSE,4927
2025-08-06,588080.SSE,4858
2025-08-07,588000.SSE,4961
2025-08-07,588080.SSE,4880
2025-08-08,588000.SSE,4955
2025-08-08,588080.SSE,4872
2025-08-11,588000.SSE,4940
2025-08-11,588080.SSE,4871
2025-08-12,588000.SSE,4938
2025-08-12,588080.SSE,4859
2025-08-13,588000.SSE,4987
2025-08-13,588080.SSE,4934
2025-08-14,588000.SSE,4971
2025-08-14,588080.SSE,4926
2025-08-15,588000.SSE,4988
2025-08-15,588080.SSE,4965
2025-08-18,588000.SSE,4993
2025-08-18,588080.SSE,4940
2025-08-19,588000.SSE,4995
2025-08-19,588080.SSE,4946
2025-08-20,588000.SSE,4986
