year,view,scenario,cost_bps,cell,minutes,base_gross_log,base_net_log,slow_gross_log,slow_net_log
2021,0,legacy_on_minute,0,neither,33520,0.4448049361818782,0.4448049361818782,0.4448049361818782,0.4448049361818782
2021,0,legacy_on_minute,0,chop_only,4755,-0.016488796282329687,-0.016488796282329687,-0.016488796282329687,-0.016488796282329687
2021,0,legacy_on_minute,0,slow_only,16790,0.03387360776446968,0.03387360776446968,0.01693680388223484,0.01693680388223484
2021,0,legacy_on_minute,0,both,3255,0.09777616685386814,0.09777616685386814,0.04888808342693407,0.04888808342693407
2021,0,legacy_on_minute,1,neither,33520,0.4448049361818782,0.36549701012538643,0.4448049361818782,0.37634902173249163
2021,0,legacy_on_minute,1,chop_only,4755,-0.016488796282329687,-0.028089956437019552,-0.016488796282329687,-0.0258895638676739
2021,0,legacy_on_minute,1,slow_only,16790,0.03387360776446968,-0.009330712811616716,0.01693680388223484,-0.017215670112250878
2021,0,legacy_on_minute,1,both,3255,0.09777616685386814,0.0901754067525196,0.04888808342693407,0.04298765088401259
2021,0,legacy_on_minute,3,neither,33520,0.4448049361818782,0.2068335826480398,0.4448049361818782,0.239401693543304
2021,0,legacy_on_minute,3,chop_only,4755,-0.016488796282329687,-0.05129924046020977,-0.016488796282329687,-0.04469570608721268
2021,0,legacy_on_minute,3,slow_only,16790,0.03387360776446968,-0.095765287794532,0.01693680388223484,-0.08553546647035973
2021,0,legacy_on_minute,3,both,3255,0.09777616685386814,0.07496932411663636,0.04888808342693407,0.031184189767793857
2021,0,legacy_on_minute,5,neither,33520,0.4448049361818782,0.048106679041116554,0.4448049361818782,0.10240700496099425
2021,0,legacy_on_minute,5,chop_only,4755,-0.016488796282329687,-0.07451781563017465,-0.016488796282329687,-0.06350799445581162
2021,0,legacy_on_minute,5,slow_only,16790,0.03387360776446968,-0.18223446428957363,0.01693680388223484,-0.15387507044218718
2021,0,legacy_on_minute,5,both,3255,0.09777616685386814,0.05975715417769385,0.04888808342693407,0.01937726555933917
2021,0,delay_1m,0,neither,33520,0.3770132959232466,0.3770132959232466,0.3770132959232466,0.3770132959232466
2021,0,delay_1m,0,chop_only,4755,-0.01293430698130038,-0.01293430698130038,-0.01293430698130038,-0.01293430698130038
2021,0,delay_1m,0,slow_only,16790,0.0186349161541699,0.0186349161541699,0.00931745807708495,0.00931745807708495
2021,0,delay_1m,0,both,3255,0.08895079078403523,0.08895079078403523,0.044475395392017614,0.044475395392017614
2021,0,delay_1m,1,neither,33520,0.3770132959232466,0.29770536986675483,0.3770132959232466,0.30855738147386
2021,0,delay_1m,1,chop_only,4755,-0.01293430698130038,-0.024535467135990245,-0.01293430698130038,-0.022335074566644596
2021,0,delay_1m,1,slow_only,16790,0.0186349161541699,-0.02456940442191649,0.00931745807708495,-0.02483501591740076
2021,0,delay_1m,1,both,3255,0.08895079078403523,0.0813500306826867,0.044475395392017614,0.038574962849096145
2021,0,delay_1m,3,neither,33520,0.3770132959232466,0.13904194238940817,0.3770132959232466,0.17161005328467246
2021,0,delay_1m,3,chop_only,4755,-0.01293430698130038,-0.04774475115918046,-0.01293430698130038,-0.041141216786183384
2021,0,delay_1m,3,slow_only,16790,0.0186349161541699,-0.11100397940483178,0.00931745807708495,-0.09315481227550965
2021,0,delay_1m,3,both,3255,0.08895079078403523,0.06614394804680344,0.044475395392017614,0.0267715017328774
2021,0,delay_1m,5,neither,33520,0.3770132959232466,-0.01968496121751505,0.3770132959232466,0.03461536470236268
2021,0,delay_1m,5,chop_only,4755,-0.01293430698130038,-0.07096332632914534,-0.01293430698130038,-0.05995350515478231
2021,0,delay_1m,5,slow_only,16790,0.0186349161541699,-0.1974731558998734,0.00931745807708495,-0.16149441624733707
2021,0,delay_1m,5,both,3255,0.08895079078403523,0.05093177810786094,0.044475395392017614,0.014964577524422713
2021,0,delay_1m_observed,0,neither,33520,0.3770132959232466,0.3770132959232466,0.3770132959232466,0.3770132959232466
2021,0,delay_1m_observed,0,chop_only,4755,-0.01293430698130038,-0.01293430698130038,-0.01293430698130038,-0.01293430698130038
2021,0,delay_1m_observed,0,slow_only,16790,0.0186349161541699,0.0186349161541699,0.00931745807708495,0.00931745807708495
2021,0,delay_1m_observed,0,both,3255,0.08895079078403523,0.08895079078403523,0.044475395392017614,0.044475395392017614
