table,cell,stages,first_threshold,second_threshold,mean_stage_win_rate,trade_weighted_win_rate,mean_trade_log,positive_trade_pnl_stages,negative_trade_pnl_stages
eff_fast,00,39,0.17549989652679318,0.89615859723948765,0.39310300134008158,0.37232289950576608,0.00087499321534600504,23,16
eff_fast,01,79,0.17549989652679318,0.89615859723948765,0.41002333340480457,0.3933274802458297,0.00034103158311050963,46,33
eff_fast,10,79,0.17549989652679318,0.89615859723948765,0.40020100130173797,0.38563829787234044,0.0012594023151140706,58,21
eff_fast,11,39,0.17549989652679318,0.89615859723948765,0.39119829182046384,0.37790697674418605,0.001526741552668217,27,12
slow_threshold,00,54,0.34174767478799684,1.048877639093547,0.41096432456941562,0.3878048780487805,0.0007341464892410656,31,23
slow_threshold,01,64,0.34174767478799684,1.048877639093547,0.39390003425957854,0.37796976241900648,-2.427257524717157e-05,34,30
slow_threshold,10,64,0.34174767478799684,1.048877639093547,0.41973874314056686,0.40277777777777779,0.0023883462749006604,54,10
slow_threshold,11,54,0.34174767478799684,1.048877639093547,0.37649106656889592,0.36923076923076925,0.00062167360191077447,35,19
