symbol,horizon,year,sampling,rows,interval_80_coverage,median_interval_width_ratio
000852.SH,5,2025,dense,55890,0.7913401324029343,3.0073835435451146
000852.SH,5,2025,nonoverlap,11178,0.7919126856324924,3.0073835435451146
000852.SH,15,2025,dense,51030,0.7999216147364295,2.1721173788530925
000852.SH,15,2025,nonoverlap,3402,0.7874779541446209,2.1721173788530925
000852.SH,30,2025,dense,43740,0.8019661636945588,1.9572201381224315
000852.SH,30,2025,nonoverlap,1458,0.7853223593964335,1.9572201381224315
000688.SH,5,2025,dense,55890,0.7900697799248524,2.852483641328214
000688.SH,5,2025,nonoverlap,11178,0.7896761495795313,2.852483641328214
000688.SH,15,2025,dense,51030,0.7836958651773467,2.0607006328572353
000688.SH,15,2025,nonoverlap,3402,0.7789535567313345,2.0607006328572353
000688.SH,30,2025,dense,43740,0.7775720164609053,1.8599094638552085
000688.SH,30,2025,nonoverlap,1458,0.7716049382716049,1.8599094638552085
