symbol,horizon,year,sampling,model,rule,factor,context,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000688.SH,30,2025,nonoverlap,clock_only,point,2,quiet_no_recent_shock,520,73,118,65,0.5508474576271186,0.8904109589041096,0.22692307692307692,0.1185682326621924
000688.SH,30,2025,nonoverlap,clock_only,point,3,all,1458,104,138,82,0.5942028985507246,0.7884615384615384,0.09465020576131687,0.0413589364844904
000688.SH,30,2025,nonoverlap,clock_only,point,3,quiet_no_recent_shock,520,36,75,34,0.4533333333333333,0.9444444444444444,0.14423076923076922,0.08471074380165289
000688.SH,30,2025,nonoverlap,clock_only,point,4,all,1458,41,95,26,0.2736842105263158,0.6341463414634146,0.06515775034293553,0.048694424841213835
000688.SH,30,2025,nonoverlap,clock_only,point,4,quiet_no_recent_shock,520,10,54,9,0.16666666666666666,0.9,0.10384615384615385,0.08823529411764706
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,high_level,all,1458,883,789,734,0.9302915082382763,0.8312570781426953,0.5411522633744856,0.09565217391304348
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,2,all,1458,191,189,154,0.8148148148148148,0.806282722513089,0.12962962962962962,0.027624309392265192
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,2,quiet_no_recent_shock,520,73,54,45,0.8333333333333334,0.6164383561643836,0.10384615384615385,0.020134228187919462
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,3,all,1458,104,111,76,0.6846846846846847,0.7307692307692307,0.07613168724279835,0.0258493353028065
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,3,quiet_no_recent_shock,520,36,19,14,0.7368421052631579,0.3888888888888889,0.03653846153846154,0.010330578512396695
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,4,all,1458,41,53,26,0.49056603773584906,0.6341463414634146,0.03635116598079561,0.019054340155257588
000688.SH,30,2025,nonoverlap,multiscale,probability_0.5,4,quiet_no_recent_shock,520,10,4,2,0.5,0.2,0.007692307692307693,0.00392156862745098
