year,feature,outcome,rho,n_days
2025,eff_1d,pnl_log,0.2631542497013349,223
2025,eff_1d,capture,0.29788705265162657,223
2025,eff_5d,pnl_log,0.1279000813754177,223
2025,eff_5d,capture,0.10841001956472808,223
2025,eff_20d,pnl_log,-0.009549708260470592,223
2025,eff_20d,capture,-0.06711740568242809,223
2025,rv_1d,pnl_log,0.08462935228630296,223
2025,rv_1d,capture,0.046793029416347796,223
2025,rv_5d,pnl_log,0.05758933982028152,223
2025,rv_5d,capture,0.01568208182557958,223
2025,rv_20d,pnl_log,0.05592287514933254,223
2025,rv_20d,capture,0.044026048790622774,223
2025,rv_ratio_1_20,pnl_log,0.0999056391433073,223
2025,rv_ratio_1_20,capture,0.06714337656041691,223
2025,drift_disagree_1_20,pnl_log,-0.11018050857829408,223
2025,drift_disagree_1_20,capture,-0.1167118273857703,223
2025,acf1_5d,pnl_log,-0.09038081964090933,223
2025,acf1_5d,capture,-0.06388078501307201,223
2025,acf3_5d,pnl_log,0.013358770365496821,223
2025,acf3_5d,capture,0.034714406911716324,223
2025,acf12_5d,pnl_log,0.008253328600862234,223
2025,acf12_5d,capture,0.04006657201724466,223
2025,fast_share_1d,pnl_log,-0.2807830652561594,223
2025,fast_share_1d,capture,-0.290300309919144,223
2025,fast_share_5d,pnl_log,-0.0009522655262565575,223
2025,fast_share_5d,capture,-0.022881425628062398,223
2025,fast_share_20d,pnl_log,-0.040899804352719143,223
2025,fast_share_20d,capture,-0.07853918139792579,223
2025,work_turns_5d,pnl_log,0.039901473511367906,223
2025,work_turns_5d,capture,0.05919371911192085,223
2025,slow_work_velocity_5d,pnl_log,0.20400341084197585,223
2025,slow_work_velocity_5d,capture,0.17348005436570457,223
2025,slow_work_opposition_5d,pnl_log,0.04570490967475549,223
2025,slow_work_opposition_5d,capture,0.012483331759228009,223
2025,wick_1d,pnl_log,-0.08458173900999014,223
2025,wick_1d,capture,-0.043941643437159124,223
2025,gap_share_1d,pnl_log,-0.03614929792059836,223
2025,gap_share_1d,capture,-0.04332267084509237,223
2025,threshold_work_amplitude_5d,pnl_log,-0.05149484045223955,223
2025,threshold_work_amplitude_5d,capture,-0.042227565489897326,223
