trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped
0,0,0,2025-01-02 09:35:00,2025-01-02 09:35:00,1.0,1,-0.003691925965222305,0.0,-0.003691925965222305,0.003691925965222305,True,False,True
1,1,48,2025-01-02 09:40:00,2025-01-03 09:35:00,-1.0,48,0.03202266885890317,0.04125191877490091,0.0,0.009229249915997745,False,False,False
2,49,55,2025-01-03 09:40:00,2025-01-03 10:10:00,1.0,7,-0.0055083840275600765,0.0010562368625577632,-0.006034577973737354,0.00656462089011784,False,True,False
3,56,59,2025-01-03 10:15:00,2025-01-03 10:30:00,-1.0,4,-0.011600366483209296,0.0,-0.011600366483209296,0.011600366483209296,True,False,False
4,60,74,2025-01-03 10:35:00,2025-01-03 13:15:00,1.0,15,-0.006730448484256992,0.000717326585875689,-0.006730448484256992,0.007447775070132681,False,True,False
5,75,105,2025-01-03 13:20:00,2025-01-06 10:20:00,-1.0,31,0.009245738856241591,0.019047188240603318,0.0,0.009801449384361727,False,False,False
6,106,112,2025-01-06 10:25:00,2025-01-06 10:55:00,1.0,7,-0.006945613763738896,0.00013736481474713527,-0.007137168336093699,0.007082978578486031,False,True,False
7,113,143,2025-01-06 11:00:00,2025-01-06 15:00:00,-1.0,31,0.0010753089887533024,0.009150348722615076,-0.0029431942661607164,0.008075039733861774,False,False,False
8,144,159,2025-01-07 09:35:00,2025-01-07 10:50:00,1.0,16,0.0034772657180223263,0.009731353627823104,-0.00017045212467224383,0.006254087909800778,False,False,False
9,160,167,2025-01-07 10:55:00,2025-01-07 11:30:00,-1.0,8,-0.0030313973990766137,0.0012321420646416467,-0.0030313973990766137,0.00426353946371826,False,True,False
10,168,195,2025-01-07 13:05:00,2025-01-08 09:50:00,1.0,28,0.013236314506101292,0.021815773436566488,-0.0027023749642079635,0.008579458930465196,False,False,False
11,196,223,2025-01-08 09:55:00,2025-01-08 13:40:00,-1.0,28,0.010499004553808363,0.019862160337818343,-0.002659700865420959,0.00936315578400998,False,False,False
12,224,235,2025-01-08 13:45:00,2025-01-08 14:40:00,1.0,12,0.019803041190701465,0.027687607238830354,0.0,0.007884566048128889,False,False,False
13,236,244,2025-01-08 14:45:00,2025-01-09 09:55:00,-1.0,9,-0.004264354755133453,0.004355362416612064,-0.004264354755133453,0.008619717171745516,False,True,False
14,245,251,2025-01-09 10:00:00,2025-01-09 10:30:00,1.0,7,-0.006864920885195066,0.0,-0.006864920885195066,0.006864920885195066,True,False,False
15,252,256,2025-01-09 10:35:00,2025-01-09 10:55:00,-1.0,5,-0.004285765211734394,0.0,-0.006751577831715252,0.004285765211734394,True,False,False
16,257,275,2025-01-09 11:00:00,2025-01-09 14:00:00,1.0,19,-0.003155604847161181,0.0034957318623664965,-0.003155604847161181,0.006651336709527677,False,True,False
17,276,284,2025-01-09 14:05:00,2025-01-09 14:45:00,-1.0,9,-0.0005387093896794728,0.004393009417153811,-0.0026286391755624377,0.004931718806833284,False,True,False
18,285,288,2025-01-09 14:50:00,2025-01-10 09:35:00,1.0,4,-0.003434058620500814,0.0,-0.003434058620500814,0.003434058620500814,True,False,False
19,289,290,2025-01-10 09:40:00,2025-01-10 09:45:00,-1.0,2,-0.0110690224032075,0.0,-0.0110690224032075,0.0110690224032075,True,False,False
20,291,296,2025-01-10 09:50:00,2025-01-10 10:15:00,1.0,6,-0.0021504610169212754,0.004133572394533093,-0.0032016498845486036,0.0062840334114543685,False,True,False
21,297,299,2025-01-10 10:20:00,2025-01-10 10:30:00,-1.0,3,-0.004829487700459972,0.0,-0.004829487700459972,0.004829487700459972,True,False,False
22,300,307,2025-01-10 10:35:00,2025-01-10 11:10:00,1.0,8,-0.0032959108214196194,0.0028047637921913646,-0.004170481951497891,0.006100674613610984,False,True,False
23,308,341,2025-01-10 11:15:00,2025-01-13 10:00:00,-1.0,34,0.0205106622879943,0.03566815691561173,0.0,0.01515749462761743,False,False,False
