feature,pairs,high_minus_low_capture,high_minus_low_net_log
half_height_width,457,-0.0032902924594575183,-0.0002699811113025115
motion_concentration,357,-0.0724647346021526,-0.0013976137361819782
peak_fraction,31,-0.1758764693587987,-0.0023571055317478614
time_mass_skew,284,-0.0036940283759787592,-0.0006194023603399623
