period_bars,trading_minutes,amplitude_gain,phase_radians,phase_delay_bars
2,10,1.6407156042244632e-17,-1.5707963267948966,0.5
4,20,0.25881904510252074,-1.3089969389957472,0.8333333333333334
6,30,0.42097392366651665,-1.1362775742697058,1.0850651560169515
8,40,0.543149330040583,-0.996612920793352,1.2689269815481083
12,60,0.7071067811865477,-0.7853981633974481,1.4999999999999993
24,120,0.8975167666413983,-0.45669065268035386,1.7444297961106143
48,240,0.9713615571721756,-0.23990077054397013,1.8327068872141155
96,480,0.9926191981509471,-0.12157219364938647,1.8574862939351984
240,1200,0.99880871580077,-0.048816407093064576,1.8646493982833974
