feature,pairs,high_capture,low_capture,high_net_log,low_net_log,high_loss_fraction,low_loss_fraction
half_height_width,457,-0.01745997533186785,-0.014169682872410336,0.0007433132568982745,0.0010132943682007877,0.4617067833698031,0.4288840262582057
motion_concentration,357,-0.10239208691329242,-0.02992735231113981,-0.0010106265490925916,0.0003869871870893871,0.5686274509803921,0.4957983193277311
peak_fraction,31,-0.2230891597594329,-0.04721269040063417,-0.003359924147136259,-0.0010028186153884153,0.6451612903225806,0.5161290322580645
time_mass_skew,284,-0.09781509127756213,-0.09412106290158338,-0.001318104191447071,-0.0006987018311071033,0.5809859154929577,0.5774647887323944
