year,feature,high_a,low_a,year_cycles,high_feature,low_feature,high_bars,low_bars,high_amplitude,low_amplitude,delta_net_log,delta_capture
2021,peak_fraction,1497,8260,639,0.6923076923076923,0.25,13,16,0.0066303512038903,0.0068024525740613,0.0123188318616735,0.9861815742393008
2021,peak_fraction,3253,7980,639,0.8,0.1666666666666666,5,6,0.0022575608138604,0.0027017633592221,0.0012789912179254,0.2580335351355243
2021,peak_fraction,4073,9581,639,0.8,0.25,10,8,0.0092775057830021,0.0089455916997209,0.0023115088853358,0.0213330649727567
2021,peak_fraction,8100,2473,639,0.7058823529411765,0.1764705882352941,17,17,0.0087388554562863,0.0086655444959404,-0.0041763846155476,-0.208046389887435
2021,peak_fraction,9691,9676,639,0.7142857142857143,0.1428571428571428,7,7,0.0035863925774259,0.0037341633915852,-0.0037166132168472,-0.5011117198185457
2021,time_mass_skew,114,3177,639,0.98281242356334,-0.2061844370519306,9,10,0.0068511839931151,0.0055518810157995,0.0089322006580759,0.8077699442049238
2021,time_mass_skew,156,2248,639,0.4995767226464935,-0.4923721373005013,6,6,0.0028459975330994,0.0032874945064014,-0.0013811408323243,-0.2596198842311636
2021,time_mass_skew,525,752,639,0.8757774665914823,-0.2085749419242105,9,9,0.0113680238259687,0.0120465723963567,-0.0018835771124773,-0.0618982533557009
2021,time_mass_skew,534,86,639,0.6963680540677022,-0.3234015594874898,14,17,0.0118842966018668,0.0110078658176586,0.0078528929990077,0.3435168211949581
2021,time_mass_skew,768,802,639,0.4441266182110832,-0.2087361216921806,18,22,0.024023044547687,0.0267774292178488,-0.0153048736706654,-0.3024973423044098
2021,time_mass_skew,786,11275,639,0.4614281895472032,-1.7286765299245723,6,7,0.0057733012245577,0.0049863107069221,-0.0008077348464315,-0.065175813414836
2021,time_mass_skew,792,2231,639,0.5984319933536266,-0.480125205615082,10,12,0.0043601079208412,0.0035148845101096,-0.0015770204723565,-0.1612405970168032
2021,time_mass_skew,864,7862,639,0.807845656490808,-0.2826127656829666,24,28,0.0155760267223694,0.0183334184874146,-0.0027152566725863,-0.0697325720524125
2021,time_mass_skew,981,1663,639,0.4206331426019741,-0.2656583718615174,15,12,0.0059342330008123,0.0057584116907065,-0.0001631255468252,0.0622824524706782
2021,time_mass_skew,1119,7957,639,1.0201629697849788,-0.4551564181806339,12,11,0.0102216036123552,0.0082979926523423,-0.0002553519454886,0.1457148374750083
2021,time_mass_skew,1163,5563,639,0.3752862135947175,-0.7888657415151499,15,15,0.0139656861317076,0.0167133026614916,0.0065875198284128,0.2897264419916798
2021,time_mass_skew,1777,3367,639,2.047075806278948,-0.3275702846116083,9,11,0.0069315878738382,0.0056910002697492,-0.0040475893474905,-0.2700626175883368
2021,time_mass_skew,1846,10837,639,0.7353760939908903,-0.2229225260376195,12,15,0.0051337863288356,0.0042930814466197,0.00164412954239,0.1429922214868581
2021,time_mass_skew,2353,9691,639,0.4442106873936123,-0.6473177916390426,6,7,0.0043990237843161,0.0035863925774259,0.0040576545187273,0.4496516958774185
2021,time_mass_skew,2359,344,639,0.5816052528812476,-0.2268371005088373,31,25,0.0143184660820159,0.0154482916294433,0.0018490310976668,0.0471893559809122
2021,time_mass_skew,2473,8100,639,0.4693221164505717,-0.7718443987713163,17,17,0.0086655444959404,0.0087388554562863,0.0041763846155476,0.208046389887435
2021,time_mass_skew,2508,4740,639,0.9142076806408737,-0.2097729967195708,17,14,0.0081338661526011,0.0086824714193465,-0.0008404037184724,-0.0332868279350982
2021,time_mass_skew,2525,518,639,0.6072923593227636,-1.239309865759243,7,7,0.0048636041514305,0.0053283458499091,0.0006522245720622,0.1312844411824506
