case,bar,raw_log,filtered_log,sigma,signal,exec_pos,pnl_log
0,0,0.00125,0.0009273535572909029,0.0006121638634897127,1.0,1.0,0.00023022205063139733
0,1,0.0015443796393869716,0.001125929727120307,0.0006121638634897127,1.0,1.0,0.00041272714179969904
0,2,0.001607050807568877,0.0013160314460782644,0.0006121638634897127,1.0,1.0,0.0002943796393868999
0,3,0.0015177669529663688,0.0014201628023161475,0.0006121638634897127,1.0,1.0,6.267116818185565e-05
0,4,0.0013749999999999995,0.0014312449631945121,0.0006121638634897127,1.0,1.0,-8.928385460255061e-05
0,5,0.001155110103396207,0.001361004841837155,0.0006121638634897127,1.0,1.0,-0.00014276695296618744
0,6,0.0007500000000000002,0.0011883736479853311,0.0006121638634897127,1.0,1.0,-0.0002198898966039908
0,7,0.00011983392298612327,0.0008699253822620969,0.0006121638634897127,1.0,1.0,-0.0004051101033960823
0,8,-0.000624999999999999,0.00039549750039168607,0.0006121638634897127,-1.0,1.0,-0.0006301660770140438
0,9,-0.0013106601717798214,-0.0001807125369565879,0.0006121638634897127,-1.0,1.0,-0.0007448339229859905
0,10,-0.0018570508075688782,-0.0007737505282112234,0.0006121638634897127,-1.0,-1.0,0.0006856601717799296
0,11,-0.0023193236657693007,-0.0013292968492082146,0.0006121638634897127,-1.0,-1.0,0.0005463906357890755
0,12,-0.0027499999999999994,-0.0018387440350873107,0.0006121638634897127,-1.0,-1.0,0.00046227285820052796
0,13,-0.0030264304469558487,-0.0022823027503538467,0.0006121638634897127,-1.0,-1.0,0.0004306763342306943
0,14,-0.002857050807568877,-0.002561013991515395,0.0006121638634897127,-1.0,-1.0,0.00027643044695584363
0,15,-0.0020177669529663697,-0.0025087723245197377,0.0006121638634897127,-1.0,-1.0,-0.00016937963938704566
0,16,-0.0006250000000000034,-0.002006922747529849,0.0006121638634897127,-1.0,-1.0,-0.0008392838546024754
0,17,0.0008269407041726721,-0.0011160222964000236,0.0006121638634897127,1.0,-1.0,-0.0013927669529663106
0,18,0.0017499999999999996,-9.976412578173986e-05,0.0006121638634897127,1.0,-1.0,-0.0014519407041726983
0,19,0.0018622168845827552,0.0007057524020732399,0.0006121638634897127,1.0,1.0,0.0009230592958273156
0,20,0.0013749999999999997,0.00109157076174006,0.0006121638634897127,1.0,1.0,0.00011221688458290292
0,21,0.0008106601717798219,0.0010921030147529975,0.0006121638634897127,1.0,1.0,-0.00048721688458277997
0,22,0.0006070508075688773,0.0009301235514447648,0.0006121638634897127,1.0,1.0,-0.0005643398282201832
0,23,0.0008372728582004243,0.0008422285870764698,0.0006121638634897127,1.0,1.0,-0.0002036093642109711
0,24,0.00125,0.0009273535572909029,0.0006121638634897127,1.0,1.0,0.00023022205063139733
0,25,0.0015443796393869716,0.001125929727120307,0.0006121638634897127,1.0,1.0,0.00041272714179969904
0,26,0.001607050807568877,0.0013160314460782644,0.0006121638634897127,1.0,1.0,0.0002943796393868999
0,27,0.0015177669529663688,0.0014201628023161475,0.0006121638634897127,1.0,1.0,6.267116818185565e-05
0,28,0.0013749999999999995,0.0014312449631945121,0.0006121638634897127,1.0,1.0,-8.928385460255061e-05
0,29,0.001155110103396207,0.001361004841837155,0.0006121638634897127,1.0,1.0,-0.00014276695296618744
0,30,0.0007500000000000002,0.0011883736479853311,0.0006121638634897127,1.0,1.0,-0.0002198898966039908
0,31,0.00011983392298612327,0.0008699253822620969,0.0006121638634897127,1.0,1.0,-0.0004051101033960823
0,32,-0.000624999999999999,0.00039549750039168607,0.0006121638634897127,-1.0,1.0,-0.0006301660770140438
0,33,-0.0013106601717798214,-0.0001807125369565879,0.0006121638634897127,-1.0,1.0,-0.0007448339229859905
0,34,-0.0018570508075688782,-0.0007737505282112234,0.0006121638634897127,-1.0,-1.0,0.0006856601717799296
0,35,-0.0023193236657693007,-0.0013292968492082146,0.0006121638634897127,-1.0,-1.0,0.0005463906357890755
