policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
e0.001_x0.05_p0_w120_c1_d0,0.001,0.05,0.0,120,1,0,65,-30.138700118805392,-82.94180726575506,0.3384615384615385,0.7286790628565882,463.61538461538464,0.015384615384615385,-1.008526600614167,-0.19265179099703122,-0.19975968465144334,0.3144536439194614,-1959.0155077223505
e0.001_x0.05_p0_w120_c1_d5,0.001,0.05,0.0,120,1,5,60,-20.18507014094934,-70.17245672747529,0.36666666666666664,0.8125352956561047,472.6,0.016666666666666666,-0.6802056787272047,-0.12935543396682048,-0.13432479131229247,0.2713152588190083,-1211.1042084569604
e0.001_x0.05_p0_w120_c3_d0,0.001,0.05,0.0,120,3,0,40,17.53225504916553,-28.724902894487478,0.45,1.2260309650916426,536.975,0.0,0.4804917098005429,0.06290189549208969,0.0655846140555123,0.14293830363631743,701.2902019666212
e0.001_x0.05_p0_w120_c3_d5,0.001,0.05,0.0,120,3,5,38,27.61716812627324,-24.89649161526941,0.47368421052631576,1.3810002089334679,539.7631578947369,0.0,0.7449487766829871,0.10115583532835393,0.10554919630085124,0.11902134476222803,1049.452388798383
e0.001_x0.05_p0_w240_c1_d0,0.001,0.05,0.0,240,1,0,52,20.646777625670016,-53.95795460600871,0.4230769230769231,1.2092757136157828,573.9807692307693,0.019230769230769232,0.5799649501417032,0.09330150844109664,0.09733889147507546,0.16846044421687345,1073.6324365348407
e0.001_x0.05_p0_w240_c1_d5,0.001,0.05,0.0,240,1,5,50,19.24067740564643,-53.95795460600871,0.42,1.1848087381785168,567.52,0.02,0.5267321548138506,0.08101492074776862,0.08450033876663543,0.1743629169389701,962.0338702823216
e0.001_x0.05_p0_w240_c3_d0,0.001,0.05,0.0,240,3,0,46,33.98070975112589,-31.37616855874381,0.43478260869565216,1.380071228919284,619.1739130434783,0.0,0.8897882466612737,0.15069334585238914,0.1573869827471781,0.18216509806410186,1563.112648551791
e0.001_x0.05_p0_w240_c3_d5,0.001,0.05,0.0,240,3,5,42,44.67837568825533,-15.816614197450285,0.5,1.4961150494827362,631.6666666666666,0.0,1.1140821204410085,0.18755785554629978,0.1960234228737059,0.16329647008304782,1876.4917789067238
e0.001_x0.05_p0_w480_c1_d0,0.001,0.05,0.0,480,1,0,53,-12.042523609085602,-94.6327801863811,0.4339622641509434,0.9020074595494324,585.3207547169811,0.0,-0.35802346853632666,-0.0820842783622111,-0.08532726361235399,0.21897040004485846,-638.2537512815369
e0.001_x0.05_p0_w480_c1_d5,0.001,0.05,0.0,480,1,5,52,-11.987876219213156,-106.37858008274547,0.4230769230769231,0.9038365885993421,586.0192307692307,0.0,-0.35794895174396213,-0.08082380841875303,-0.084019308285323,0.214175007725399,-623.3695633990841
e0.001_x0.05_p0_w480_c3_d0,0.001,0.05,0.0,480,3,0,48,17.26192300085144,-63.01601897312548,0.4583333333333333,1.172410181414842,613.5625,0.0,0.46809217984881163,0.06907416169944036,0.07202892652095749,0.17031189653553835,828.5723040408691
e0.001_x0.05_p0_w480_c3_d5,0.001,0.05,0.0,480,3,5,43,30.585780461570796,-23.08807874965013,0.4883720930232558,1.3193766402583667,621.6511627906976,0.0,0.7697584853319809,0.1234113610946157,0.12882648961539056,0.15927441962671574,1315.1885598475442
e0.001_x0.05_p1_w120_c1_d0,0.001,0.05,1.0,120,1,0,61,-32.38951256314644,-79.10414718670822,0.36065573770491804,0.6889681622142613,461.91803278688525,0.0,-1.0913854464763304,-0.19089586424572358,-0.19794721554570738,0.26026217383655614,-1975.7602663519326
e0.001_x0.05_p1_w120_c1_d5,0.001,0.05,1.0,120,1,5,58,-29.479348410750212,-70.00561291193308,0.3620689655172414,0.7186924518553137,464.3103448275862,0.0,-0.9919525352516798,-0.16899240355006195,-0.1753248918283219,0.2517855102143324,-1709.8022078235124
e0.001_x0.05_p1_w120_c3_d0,0.001,0.05,1.0,120,3,0,41,-7.614645873995493,-57.234763616716975,0.43902439024390244,0.9169398969342866,525.1219512195122,0.0,-0.18603681872833525,-0.03986915398830271,-0.04148199622798654,0.172199515796991,-312.2004808338152
e0.001_x0.05_p1_w120_c3_d5,0.001,0.05,1.0,120,3,5,38,4.476731487095964,-49.45788245371008,0.47368421052631576,1.0519213456047767,522.1052631578947,0.0,0.1316129986554471,0.008247242742559946,0.00858949743684767,0.16163960276235523,170.1157965096466
e0.001_x0.05_p1_w240_c1_d0,0.001,0.05,1.0,240,1,0,51,8.081929329882351,-78.33800214915199,0.4117647058823529,1.0787192570349693,609.0392156862745,0.0,0.2269768249839657,0.02478421485215665,0.025821468244179968,0.1896441940020811,412.1783958239999
