timestamp,trading_day,year,open,close,high,low,log_close,lowpass,sigma,signal_pos,exec_pos,pnl_log,open_log_return,nav,drawdown,lp12,lp48,lp240,lp960,fast,work,swing,macro,trend,fast_share_5d,slow_work_velocity_5d,eff_1d,eff_20d
2022-10-14 09:35:00,2022-10-14,2022,936.42,936.15,942.55,934.78,6.841775720048162,-0.47989506089406103,0.002511991899740695,-1.0,-1.0,-0.010261564433276233,0.01026156443327686,3.0462341213384296,-0.010620356798854758,6.835934045570488,6.838735336902627,6.840668841847037,6.848591650048513,0.005841674477673919,-0.002801291332139577,-0.001933504944410025,-0.007922808201475284,6.848591650048513,0.8969407860375859,0.6638468146337212,0.09704547673460484,0.07574060836365083
2022-10-14 09:40:00,2022-10-14,2022,936.04,929.64,936.04,928.58,6.8347974144318115,-0.478206557764707,0.002620453148932991,1.0,-1.0,0.00040588317530612156,-0.0004058831753059877,3.0474707874703353,-0.010218702740890873,6.836518418351575,6.8391795650982505,6.841006641073734,6.848711455681685,-0.0017210039197630422,-0.0026611467466759464,-0.001827075975483261,-0.007704814607951249,6.848711455681685,0.8997876670103901,0.6638376461165901,0.03927103624020554,0.08047536258881528
2022-10-14 09:45:00,2022-10-14,2022,929.73,932.34,932.34,927.09,6.837697555026698,-0.4780935177027079,0.0026398573912788928,1.0,-1.0,0.006763989192313693,-0.006763989192314135,3.0681537176424687,-0.0035011395927673217,6.836871171124928,6.839656799743112,6.841347004124373,6.848831751566635,0.0008263839017699226,-0.0027856286181844325,-0.0016902043812603296,-0.007484747442262574,6.848831751566635,0.8993596075484901,0.6639776219034865,0.027671075378443547,0.07888220677409521
2022-10-14 09:50:00,2022-10-14,2022,932.26,929.0,932.74,927.21,6.834108738813838,-0.47817378827475965,0.00262129125759904,1.0,1.0,0.002717524322892171,0.002717524322892295,3.076502839329018,-0.0007894468251570252,6.837470162385097,6.840195843355074,6.841690981365337,6.8489525939065405,-0.0033614235712589036,-0.0027256809699771622,-0.0014951380102630196,-0.007261612541203277,6.8489525939065405,0.8995707008926644,0.6663512947717547,0.11280660422236075,0.07995745464834413
2022-10-14 09:55:00,2022-10-14,2022,929.22,931.05,931.63,925.93,6.8363129815277714,-0.47851272731944583,0.0026437516241253883,1.0,1.0,-0.003266221181651534,-0.0032662211816516518,3.066470693112769,-0.004047765407582005,6.838661087050236,6.840814943698745,6.842039163969375,6.849074010081243,-0.0023481055224641167,-0.0021538566485093114,-0.00122422027062985,-0.0070348461118685535,6.849074010081243,0.8996951101110774,0.6678445360324979,0.08581718389403845,0.07541601970059697
2022-10-14 10:00:00,2022-10-14,2022,931.09,935.72,936.35,929.13,6.841316286425567,-0.4771852798391843,0.002733639162610072,1.0,1.0,0.002010418295707928,0.0020104182957076944,3.0726417830550012,-0.0020434707532613894,6.840362009878966,6.841499662052005,6.842390792609347,6.8491959429313765,0.0009542765466008518,-0.001137652173039072,-0.0008911305573420236,-0.006805150322029441,6.8491959429313765,0.8998525130480226,0.6644075680073455,0.04706694407914367,0.07251845454985055
2022-10-14 10:05:00,2022-10-14,2022,935.76,937.41,938.86,933.74,6.843120753236271,-0.4749802262391124,0.0027345075573372807,1.0,1.0,0.005003090490605493,0.005003090490605544,3.0880530076700943,0.0,6.842015109503784,6.842201346411247,6.84274370618346,6.849318247584627,0.001105643732486783,-0.00018623690746366606,-0.0005423597722122864,-0.006574541401167089,6.849318247584627,0.898876337488287,0.6608436560786051,0.04638875441387957,0.07031292656546206
2022-10-14 10:10:00,2022-10-14,2022,937.15,938.36,939.05,936.68,6.844133670684812,-0.4731117546001537,0.0027117882292809446,1.0,1.0,0.001484321462542515,0.001484321462542404,3.09264007452555,0.0,6.8433873483235,6.842890578844111,6.843096496928364,6.849440826200611,0.0007463223613122238,0.0004967694793887034,-0.00020591808425329816,-0.006344329272246263,6.849440826200611,0.8986046122894947,0.6590374431389175,0.007017235108041182,0.06936968068714229
2022-10-14 10:15:00,2022-10-14,2022,938.31,937.14,938.9,937.09,6.842832684097686,-0.4720938681683665,0.0026507007249482926,1.0,1.0,0.0012370300064234393,0.0012370300064237227,3.096468130318592,0.0,6.844707655301054,6.843568341389347,6.843448973196983,6.849563656942861,-0.0018749712033683252,0.0011393139117066298,0.00011936819236435525,-0.006114683745877869,6.849563656942861,0.898721230875669,0.6576181014345911,0.024638933341594817,0.06990480363138088
2022-10-14 10:20:00,2022-10-14,2022,937.29,942.49,942.57,936.94,6.848525309186303,-0.47057812874773397,0.0027706999143391575,1.0,1.0,-0.0010876520585987146,-0.0010876520585982874,3.093102081259193,-0.001087060779486393,6.846067122642095,6.844228626050393,6.843800673305368,6.849686701126394,0.0024581865442074857,0.00183849659170221,0.0004279527450252729,-0.0058860278210266515,6.849686701126394,0.8994613566762112,0.6558321233295028,0.08199225202677246,0.06988451782109127
2022-10-14 10:25:00,2022-10-14,2022,942.55,945.06,945.17,942.5,6.851248417541699,-0.4679245624478684,0.002752797268685259,1.0,1.0,0.00559623556010235,0.005596235560101803,3.110460334251781,0.0,6.846895717338163,6.8448275708140445,6.844149643238368,6.849809826862893,0.004352700203535953,0.002068146524118575,0.000677927575676307,-0.005660183624525139,6.849809826862893,0.8993463883863274,0.6554369653387798,0.07422991764727203,0.06807618721830033
2022-10-14 10:30:00,2022-10-14,2022,945.09,940.72,945.09,940.72,6.84664553951516,-0.4667897673030754,0.0028082201537791593,1.0,1.0,0.002691192741200292,0.0026911927412003323,3.1188424564193054,0.0,6.846944248923172,6.845347312934938,6.844495002004877,6.849932969430535,-0.0002987094080122432,0.0015969359882346268,0.0008523109300604403,-0.005437967425657497,6.849932969430535,0.8997502292484133,0.6543010655709305,0.05221759621197139,0.06935792845416812
