symbol,year,episodes,normal_recovery_fraction,recurrence_before_normal_fraction,median_bars_to_normal,p90_bars_to_normal,median_bars_to_leave_unsafe,censor_fraction,median_peak_vol_ratio,median_peak_shock_intensity
000688.SH,pooled,790,0.9607594936708861,0.1670886075949367,12.0,17.0,1.0,0.039240506329113925,1.512006220907372,3.6378001982992405
000688.SH,2020,63,0.9523809523809523,0.1746031746031746,12.0,16.0,1.0,0.047619047619047616,1.4754218494477076,3.734260992257726
000688.SH,2021,158,0.9683544303797469,0.13291139240506328,12.0,16.80000000000001,1.0,0.03164556962025317,1.5198986578085785,3.5814779316157046
000688.SH,2022,162,0.9938271604938271,0.19753086419753085,12.0,17.0,1.0,0.006172839506172839,1.5621061068104747,3.7056534881732874
000688.SH,2023,139,0.9424460431654677,0.1366906474820144,12.0,16.0,1.0,0.05755395683453238,1.4933574518804853,3.511514087809205
000688.SH,2024,137,0.927007299270073,0.19708029197080293,12.0,19.400000000000006,1.0,0.072992700729927,1.515454789953279,3.7644013014460844
000688.SH,2025,131,0.9694656488549618,0.16793893129770993,12.0,15.400000000000006,1.0,0.030534351145038167,1.4705756438678141,3.7146281588598504
000852.SH,pooled,766,0.9530026109660574,0.1618798955613577,12.0,16.0,1.0,0.04699738903394256,1.4766234218625292,3.575914283134308
000852.SH,2020,67,0.835820895522388,0.16417910447761194,12.0,16.0,1.0,0.16417910447761194,1.4469249344789326,3.5228949838417614
000852.SH,2021,141,0.9716312056737588,0.2553191489361702,12.0,17.400000000000006,1.0,0.028368794326241134,1.5250820795042828,3.54779155445573
000852.SH,2022,143,0.993006993006993,0.11188811188811189,12.0,16.900000000000006,1.0,0.006993006993006993,1.5076929228393579,3.5774718103325407
000852.SH,2023,133,0.9699248120300752,0.11278195488721804,12.0,17.0,1.0,0.03007518796992481,1.451081575831289,3.4857698460351134
000852.SH,2024,138,0.927536231884058,0.2028985507246377,12.0,16.299999999999997,1.0,0.07246376811594203,1.4664893243725075,3.5868987702099995
000852.SH,2025,144,0.9583333333333334,0.125,12.0,15.0,1.0,0.041666666666666664,1.4968201721316952,3.6638056941923915
