symbol,year,trading_day,start_timestamp,start_shock_intensity,start_vol_ratio,same_session_normal_recovered,right_censored,bars_to_leave_unsafe,bars_to_normal,available_bars_after_start,recurrent_shock_before_normal,recurrent_shock_count_before_normal,peak_vol_ratio_before_normal,peak_shock_intensity_before_normal
000688.SH,2020,2020-07-24,2020-07-24 13:05:00,4.4343053092487095,1.462188819047943,True,False,1.0,13.0,13,False,0,1.462188819047943,4.4343053092487095
000688.SH,2020,2020-07-24,2020-07-24 14:15:00,3.0242937495225415,1.365522743342375,False,True,1.0,,9,False,0,1.365522743342375,3.0242937495225415
000688.SH,2020,2020-07-27,2020-07-27 09:50:00,3.4669714542837635,1.4603448711897706,True,False,1.0,11.0,11,False,0,1.4603448711897706,3.4669714542837635
000688.SH,2020,2020-07-29,2020-07-29 09:45:00,3.734260992257726,1.3285833283621438,True,False,1.0,11.0,11,False,0,1.3285833283621438,3.734260992257726
000688.SH,2020,2020-07-31,2020-07-31 11:05:00,3.5296000760582515,1.3662726667422151,True,False,1.0,12.0,12,False,0,1.4045827396302424,3.5296000760582515
000688.SH,2020,2020-08-03,2020-08-03 09:40:00,3.2004605564262154,0.9111714369149999,True,False,1.0,1.0,1,False,0,0.9111714369149999,3.2004605564262154
000688.SH,2020,2020-08-07,2020-08-07 09:45:00,3.4827532402670958,1.115273137620999,True,False,1.0,14.0,14,False,0,1.5217577333557188,3.4827532402670958
000688.SH,2020,2020-08-07,2020-08-07 13:05:00,3.6821350671566444,1.3344010593341975,True,False,1.0,1.0,1,False,0,1.3344010593341975,3.6821350671566444
000688.SH,2020,2020-08-12,2020-08-12 09:45:00,5.5304606872651965,1.57447672484439,True,False,1.0,20.0,20,False,0,1.6749179561138572,5.5304606872651965
000688.SH,2020,2020-08-19,2020-08-19 09:40:00,4.538416128579259,1.6328684951009915,True,False,10.0,13.0,13,True,1,1.6328684951009915,4.538416128579259
000688.SH,2020,2020-08-24,2020-08-24 09:40:00,4.477056095556359,1.6080661607593159,True,False,1.0,17.0,17,True,2,1.7773269834093346,4.477056095556359
000688.SH,2020,2020-08-27,2020-08-27 09:40:00,3.490093389108021,1.2723391362236423,True,False,1.0,2.0,2,False,0,1.2723391362236423,3.490093389108021
000688.SH,2020,2020-09-01,2020-09-01 09:55:00,3.929588092011201,1.5211632709114342,True,False,1.0,12.0,12,False,0,1.5467490723936037,3.929588092011201
000688.SH,2020,2020-09-04,2020-09-04 09:50:00,4.749722054276854,1.5547243701049651,True,False,1.0,12.0,12,False,0,1.5547243701049651,4.749722054276854
000688.SH,2020,2020-09-07,2020-09-07 10:35:00,3.188504536146198,1.6859753179121322,True,False,1.0,12.0,12,False,0,1.6859753179121322,3.188504536146198
000688.SH,2020,2020-09-07,2020-09-07 14:10:00,5.044284995127019,1.4827250532807603,False,True,1.0,,10,False,0,1.4827250532807603,5.044284995127019
000688.SH,2020,2020-09-08,2020-09-08 09:40:00,4.315983158162858,1.6466237842968519,True,False,1.0,14.0,14,False,0,1.6466237842968519,4.315983158162858
000688.SH,2020,2020-09-09,2020-09-09 09:50:00,3.9998107819022213,1.1913546329361635,True,False,1.0,15.0,15,False,0,1.5008215923300778,3.9998107819022213
000688.SH,2020,2020-09-10,2020-09-10 10:25:00,3.1948076361808786,1.2311834471590053,True,False,1.0,12.0,12,False,0,1.368508473950144,3.1948076361808786
000688.SH,2020,2020-09-14,2020-09-14 09:45:00,4.910996008057684,1.5318082253836327,True,False,1.0,12.0,12,False,0,1.5318082253836327,4.910996008057684
000688.SH,2020,2020-09-15,2020-09-15 11:30:00,3.573759387537704,1.123792406805853,True,False,1.0,1.0,1,False,0,1.123792406805853,3.573759387537704
000688.SH,2020,2020-09-17,2020-09-17 10:15:00,3.3639297134668547,1.4255509966525024,True,False,1.0,17.0,17,True,1,1.6676997017090465,3.745240109622769
000688.SH,2020,2020-09-18,2020-09-18 09:40:00,3.2402480993147775,1.138413924397783,True,False,1.0,1.0,1,False,0,1.138413924397783,3.2402480993147775
000688.SH,2020,2020-09-22,2020-09-22 09:40:00,3.269864627067635,1.1672992297939315,True,False,2.0,13.0,13,True,1,1.6456581427511725,3.4297450455071448
000688.SH,2020,2020-09-23,2020-09-23 09:40:00,6.859399442230882,2.1772076059810503,True,False,12.0,12.0,12,False,0,2.1772076059810503,6.859399442230882
000688.SH,2020,2020-09-24,2020-09-24 11:10:00,3.6825255124108023,1.571461883378571,True,False,1.0,6.0,6,False,0,1.571461883378571,3.6825255124108023
000688.SH,2020,2020-09-29,2020-09-29 09:55:00,3.2941625399508756,1.2747144062627538,True,False,1.0,12.0,12,False,0,1.3409167541334126,3.2941625399508756
000688.SH,2020,2020-10-12,2020-10-12 09:45:00,3.26470636897869,1.0887751592720911,True,False,1.0,16.0,16,True,1,1.717653229652142,3.315621945747982
000688.SH,2020,2020-10-14,2020-10-14 09:40:00,6.125783880869738,1.8656538902866076,True,False,1.0,18.0,18,True,1,1.8656538902866076,6.125783880869738
000688.SH,2020,2020-10-15,2020-10-15 09:40:00,3.2081081233456343,1.0678881700954859,True,False,1.0,1.0,1,False,0,1.0678881700954859,3.2081081233456343
000688.SH,2020,2020-10-15,2020-10-15 10:20:00,3.2311669968465173,1.4794872457387012,True,False,1.0,10.0,10,False,0,1.4794872457387012,3.2311669968465173
000688.SH,2020,2020-10-16,2020-10-16 11:10:00,3.2704513224057563,1.1559541729697513,True,False,1.0,12.0,12,False,0,1.4304698213617189,3.2704513224057563
000688.SH,2020,2020-10-20,2020-10-20 09:40:00,3.1312141604834776,0.9712179430506681,True,False,1.0,1.0,1,False,0,0.9712179430506681,3.1312141604834776
000688.SH,2020,2020-10-21,2020-10-21 10:20:00,4.184990247970698,1.550204712326166,True,False,1.0,5.0,5,False,0,1.550204712326166,4.184990247970698
000688.SH,2020,2020-10-23,2020-10-23 09:40:00,3.885148649143566,1.2853770497135444,True,False,1.0,13.0,13,False,0,1.5521480009762147,3.885148649143566
000688.SH,2020,2020-10-26,2020-10-26 09:40:00,3.936319576592131,1.510082617725044,True,False,1.0,12.0,12,True,1,1.8971002691385803,4.233296779701507
000688.SH,2020,2020-10-30,2020-10-30 09:40:00,3.8216037492129433,1.286818143107107,True,False,1.0,12.0,12,False,0,1.456171661343884,3.8216037492129433
000688.SH,2020,2020-10-30,2020-10-30 13:05:00,3.5881352477422346,1.123500268184958,True,False,1.0,1.0,1,False,0,1.123500268184958,3.5881352477422346
000688.SH,2020,2020-11-03,2020-11-03 09:40:00,3.168245727716974,0.9718802812459137,True,False,1.0,1.0,1,False,0,0.9718802812459137,3.168245727716974
000688.SH,2020,2020-11-04,2020-11-04 09:40:00,3.324053103409643,1.1132131175523932,True,False,1.0,1.0,1,False,0,1.1132131175523932,3.324053103409643
000688.SH,2020,2020-11-05,2020-11-05 11:20:00,3.869273023484182,1.2320848709055487,True,False,1.0,1.0,1,False,0,1.2320848709055487,3.869273023484182
000688.SH,2020,2020-11-06,2020-11-06 09:50:00,3.828791940912792,1.210546277172422,True,False,1.0,1.0,1,False,0,1.210546277172422,3.828791940912792
000688.SH,2020,2020-11-11,2020-11-11 09:40:00,3.057420794507777,1.200937465670665,True,False,1.0,16.0,16,False,0,1.4754218494477076,3.057420794507777
000688.SH,2020,2020-11-17,2020-11-17 10:40:00,3.0221618726837223,1.2875424531359514,True,False,1.0,12.0,12,False,0,1.4275054893508183,3.0221618726837223
000688.SH,2020,2020-11-19,2020-11-19 09:45:00,4.7863876020231295,1.6716470085783928,True,False,1.0,13.0,13,True,1,1.6716470085783928,4.7863876020231295
000688.SH,2020,2020-11-23,2020-11-23 13:05:00,3.9416684079588262,1.4252583185587315,True,False,1.0,14.0,14,False,0,1.459781297675922,3.9416684079588262
000688.SH,2020,2020-11-24,2020-11-24 09:45:00,3.619322378489324,1.2984801341601526,True,False,1.0,12.0,12,False,0,1.3344807694936802,3.619322378489324
000688.SH,2020,2020-11-26,2020-11-26 10:15:00,3.3038796573756675,1.61848820618549,True,False,6.0,14.0,14,False,0,1.6622279855020505,3.3038796573756675
000688.SH,2020,2020-11-27,2020-11-27 11:20:00,3.360401873501701,1.172027547839985,True,False,1.0,1.0,1,False,0,1.172027547839985,3.360401873501701
000688.SH,2020,2020-11-30,2020-11-30 10:00:00,3.072463846886955,1.2240688678867386,True,False,1.0,12.0,12,False,0,1.4056299978063698,3.072463846886955
