symbol,horizon,year,sampling,model,rule,factor,context,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000852.SH,5,2024,dense,multiscale,point,2,all,55660,5383,3177,1708,0.5376141013534781,0.31729518855656696,0.057078692058929216,0.029218131551206318
000852.SH,5,2024,dense,multiscale,point,2,quiet_no_recent_shock,15547,3529,2467,1333,0.5403323875152006,0.37772740153017853,0.15868013121502542,0.09435846230654019
000852.SH,5,2024,dense,multiscale,point,3,all,55660,1800,649,450,0.6933744221879815,0.25,0.0116600790513834,0.003694764203490531
000852.SH,5,2024,dense,multiscale,point,3,quiet_no_recent_shock,15547,1424,490,301,0.6142857142857143,0.21137640449438203,0.0315173345339937,0.013382425830206046
000852.SH,5,2024,dense,multiscale,point,4,all,55660,808,334,279,0.8353293413173652,0.34529702970297027,0.006000718648939992,0.0010026981696200686
000852.SH,5,2024,dense,multiscale,point,4,quiet_no_recent_shock,15547,631,201,156,0.7761194029850746,0.24722662440570523,0.012928539268025986,0.0030168946098149637
000852.SH,5,2024,dense,persistence,point,2,all,55660,5383,0,0,,0.0,0.0,0.0
000852.SH,5,2024,dense,persistence,point,2,quiet_no_recent_shock,15547,3529,0,0,,0.0,0.0,0.0
000852.SH,5,2024,dense,persistence,point,3,all,55660,1800,0,0,,0.0,0.0,0.0
000852.SH,5,2024,dense,persistence,point,3,quiet_no_recent_shock,15547,1424,0,0,,0.0,0.0,0.0
000852.SH,5,2024,dense,persistence,point,4,all,55660,808,0,0,,0.0,0.0,0.0
000852.SH,5,2024,dense,persistence,point,4,quiet_no_recent_shock,15547,631,0,0,,0.0,0.0,0.0
000852.SH,5,2024,dense,clock_only,point,2,all,55660,5383,3960,1867,0.4714646464646465,0.3468326212149359,0.07114624505928854,0.041629373272072716
000852.SH,5,2024,dense,clock_only,point,2,quiet_no_recent_shock,15547,3529,3551,1579,0.44466347507744297,0.44743553414565035,0.22840419373512574,0.164087202529539
000852.SH,5,2024,dense,clock_only,point,3,all,55660,1800,1277,647,0.5066562255285826,0.35944444444444446,0.02294286740927057,0.011696992202005199
000852.SH,5,2024,dense,clock_only,point,3,quiet_no_recent_shock,15547,1424,1095,481,0.4392694063926941,0.3377808988764045,0.07043159451984306,0.043475182326701126
000852.SH,5,2024,dense,clock_only,point,4,all,55660,808,632,377,0.5965189873417721,0.4665841584158416,0.011354653251886454,0.004648873331874863
000852.SH,5,2024,dense,clock_only,point,4,quiet_no_recent_shock,15547,631,492,251,0.5101626016260162,0.3977812995245642,0.0316459767157651,0.016157146688120138
000852.SH,5,2024,dense,multiscale,probability_0.5,high_level,all,55660,39227,41308,34106,0.8256512055776121,0.8694521630509598,0.7421487603305785,0.4382644678391042
000852.SH,5,2024,dense,multiscale,probability_0.5,2,all,55660,5383,1303,893,0.6853415195702226,0.16589262493033624,0.0234099892202659,0.008154822284543629
000852.SH,5,2024,dense,multiscale,probability_0.5,2,quiet_no_recent_shock,15547,3529,974,661,0.6786447638603696,0.18730518560498724,0.06264874252267319,0.02604426693293393
