symbol,horizon,year,sampling,model,rows,log_sigma_rmse,median_absolute_factor_error,spearman,bucket_accuracy,balanced_accuracy,actual_high_share,high_precision,high_recall,predicted_high_time_share
000852.SH,5,2024,dense,multiscale,55660,0.4929597546758541,1.367222358167089,0.6901036037632734,0.7212720086237873,0.4307447101670016,0.7047610492274524,0.7769431469090603,0.9413159303540929,0.8538627380524614
000852.SH,5,2024,dense,persistence,55660,0.6032067438477458,1.461638794418758,0.5625757623250474,0.6648760330578513,0.47600808681898715,0.7047610492274524,0.8018275128301414,0.81650393861371,0.7176607977003234
000852.SH,5,2024,dense,clock_only,55660,0.5834024565436853,1.4612095205917552,0.4296286796593488,0.6793208767517068,0.42974757781735323,0.7047610492274524,0.7583963425356075,0.8795982359089403,0.8173913043478261
000852.SH,5,2024,nonoverlap,multiscale,11132,0.4864444633849183,1.3654124887908174,0.6903156954232471,0.726194753862738,0.4257309166192537,0.7164031620553359,0.7831186511676616,0.9376802507836991,0.857797340998922
000852.SH,5,2024,nonoverlap,persistence,11132,0.6657304382551376,1.4856585007142438,0.5055598025394891,0.6512756018684872,0.458035531060024,0.7164031620553359,0.8029132362254592,0.794858934169279,0.7092166726554079
000852.SH,5,2024,nonoverlap,clock_only,11132,0.5831603793861857,1.4603479527023226,0.42121536453129405,0.6883758533956162,0.4108616249660239,0.7164031620553359,0.7575757575757576,0.896551724137931,0.8478260869565217
000852.SH,15,2024,dense,multiscale,50820,0.3296964105043349,1.2391959562307677,0.7757317247139518,0.8058244785517513,0.4894876373972834,0.7881739472648563,0.8615311048365061,0.9445762077143927,0.8641479732388824
000852.SH,15,2024,dense,persistence,50820,0.41627373422192987,1.2928877305214337,0.6806465567357334,0.7729043683589139,0.487726871039084,0.7881739472648563,0.8654686974487099,0.899413306703283,0.8190869736324282
000852.SH,15,2024,dense,clock_only,50820,0.5019966157391259,1.3619704046116745,0.4293429154311249,0.7413616686343959,0.4326619715604825,0.7881739472648563,0.8292711397487977,0.8868056422419174,0.8428571428571429
000852.SH,15,2024,nonoverlap,multiscale,3388,0.3345279223216111,1.2365398967060814,0.7660834398600285,0.8122786304604487,0.4680789147514444,0.8152302243211335,0.8736877751439215,0.9341057204923968,0.8716056670602125
000852.SH,15,2024,nonoverlap,persistence,3388,0.5699922233428645,1.307942111997417,0.49810467066731445,0.7417355371900827,0.4699281391990717,0.8152302243211335,0.8754246885617214,0.8396089790007241,0.7818772136953955
000852.SH,15,2024,nonoverlap,clock_only,3388,0.4931062627874368,1.3467451059221505,0.43804780166339485,0.755608028335301,0.3747829443390356,0.8152302243211335,0.8426308539944903,0.8859522085445329,0.8571428571428571
000852.SH,30,2024,dense,multiscale,43560,0.2835136269179017,1.204550883137829,0.789131390481191,0.842516069788797,0.46079962050556467,0.8385904499540863,0.896541928152682,0.9503408250978674,0.8889118457300276
000852.SH,30,2024,dense,persistence,43560,0.3738012331320801,1.2717038537564598,0.6742374584082674,0.8210743801652892,0.4765668708039586,0.8385904499540863,0.8902150481097849,0.9269895151797202,0.8732323232323232
000852.SH,30,2024,dense,clock_only,43560,0.4781720544959074,1.329878762267542,0.3998452727139739,0.7839990817263545,0.376498761124685,0.8385904499540863,0.8666368373953782,0.9013934134523256,0.8722222222222222
000852.SH,30,2024,nonoverlap,multiscale,1452,0.29670904155579275,1.20716292778807,0.7814890627851832,0.8636363636363636,0.467069531925723,0.8725895316804407,0.9225406661502711,0.9400157853196527,0.8891184573002755
000852.SH,30,2024,nonoverlap,persistence,1452,0.5663907194363014,1.3506972794428111,0.3799261285945213,0.772038567493113,0.4592841280158472,0.8725895316804407,0.9130808950086059,0.8374112075769534,0.800275482093664
000852.SH,30,2024,nonoverlap,clock_only,1452,0.46470089943746185,1.312413419322834,0.4615301834141423,0.8725895316804407,0.3333333333333333,0.8725895316804407,0.8725895316804407,1.0,1.0
000688.SH,5,2024,dense,multiscale,55660,0.47268613196548115,1.3329013385514927,0.724473405653659,0.6214157384117859,0.5124555749406262,0.5188645346748113,0.7455776843146957,0.8347991689750692,0.5809558030901905
000688.SH,5,2024,dense,persistence,55660,0.5477059448479996,1.4030977882964144,0.6244432260288969,0.5862738052461373,0.524938026333631,0.5188645346748113,0.7334798039547068,0.7513850415512465,0.5315307222421847
