day,slot,first_index,last_index,first_booking,last_booking,first_body_label,gross_log,net_proxy_log,price_abs_log,body_abs_log,gap_abs_log,top1_price_share,top2_price_share,top2_body_share,up_top2_share,down_top2_share,other10_body_median_over_top2_mean,body_dominated,large_body_pattern,body_pnl_log,gap_pnl_log,overnight_gap_abs_log
2025-04-01,0,2736,2747,2025-04-01 09:35:00,2025-04-01 10:30:00,2025-03-31 15:00:00,0.011812958554361526,0.011812958554361526,0.020495696378925937,0.015762002783155593,0.006217879583988076,0.2212066532491354,0.40970208756888726,0.3759246925664225,0.5198068201825706,0.9708352475781198,0.2881461415326581,True,False,0.0062373750566656495,0.005575583497696097,0.0051202889495527044
2025-04-01,1,2748,2759,2025-04-01 10:35:00,2025-04-01 11:30:00,2025-04-01 10:30:00,-0.008496000496496318,-0.008896040501830451,0.011047938293304081,0.01082489602693501,0.0008619908188599498,0.22548279576486957,0.4255093828676935,0.4360852061615349,0.7784504085620692,0.5995749963656571,0.20769123578835258,True,False,-0.008273112363837272,-0.0002228881326596611,0.0
2025-04-01,2,2760,2771,2025-04-01 13:05:00,2025-04-01 14:00:00,2025-04-01 11:30:00,0.006769546498146312,0.006769546498146312,0.009789083208469945,0.009875690358443425,0.0010793828635428369,0.28025974315727126,0.43637358274884075,0.41877190110333057,0.6781080331987401,0.5159481656624912,0.2118133984883002,True,False,0.006448870420516327,0.00032067607763029286,0.0
2025-04-01,3,2772,2783,2025-04-01 14:05:00,2025-04-01 15:00:00,2025-04-01 14:00:00,0.0013652811186193744,0.0013652811186193744,0.005074628463724037,0.005230931139539548,0.000839713893606069,0.23832331416255328,0.3941108819162068,0.384197421878302,0.7474374848625619,0.5422389903288966,0.24280060366543177,True,False,0.0015997346823158104,-0.00023445356369580588,0.0
2025-04-02,0,2784,2795,2025-04-02 09:35:00,2025-04-02 10:30:00,2025-04-01 15:00:00,0.0016608813265946351,0.0012608413212605019,0.01890248673169318,0.016428839542829046,0.00319496083880226,0.18351826176112157,0.3339647226866318,0.35156617216332614,0.48042088051082954,0.5920925569254853,0.37633971776565883,True,False,-0.0009498318629712044,0.0026107131895656056,0.0025022005040382113
2025-04-02,1,2796,2807,2025-04-02 10:35:00,2025-04-02 11:30:00,2025-04-02 10:30:00,-0.001904286805635411,-0.0023043268109695443,0.012393343114823471,0.012627341527623976,0.0006820327814303648,0.19045159247206572,0.3171069273245632,0.3258994426771629,0.692401304932873,0.4223038262929939,0.42112353655603596,True,False,-0.0019046373582164338,3.50552580692258e-07,0.0
2025-04-02,2,2808,2819,2025-04-02 13:05:00,2025-04-02 14:00:00,2025-04-02 11:30:00,0.0025605205393226197,0.0025605205393226197,0.009876120645039956,0.00967158186420225,0.0009675215172218079,0.17644622090885137,0.34657007653428984,0.37311065840172564,0.7807658944638484,0.537667707569821,0.3471874794467233,True,False,0.002921695546650064,-0.0003611750073273354,0.0
2025-04-02,3,2820,2831,2025-04-02 14:05:00,2025-04-02 15:00:00,2025-04-02 14:00:00,-0.0010758262893730353,-0.0010758262893730353,0.006695478061365216,0.0065486402764537805,0.0006947251849631715,0.27765419620679177,0.41225001529184013,0.4409057343394899,0.6473570939652757,0.6412692727436168,0.2169330045837461,True,False,-0.001124754211133555,4.89279217605742e-05,0.0
2025-04-03,0,2832,2843,2025-04-03 09:35:00,2025-04-03 10:30:00,2025-04-02 15:00:00,0.022552020638179106,0.02175194062751084,0.043807334195784746,0.03282365583977213,0.012115858593748459,0.2562539244381166,0.4499441969882419,0.41714502161514627,0.6712065573770428,0.6966640731277296,0.13635684746256937,True,False,0.011607594895818257,0.010944425742360916,0.010961842013697837
2025-04-03,1,2844,2855,2025-04-03 10:35:00,2025-04-03 11:30:00,2025-04-03 10:30:00,0.004048270277398817,0.004048270277398817,0.013972170752443074,0.013550309764103208,0.0012457310917871013,0.30394629214035057,0.5193110318043546,0.5029281302901452,0.9564884230785559,0.49361443307124614,0.15247103785286503,True,True,0.003292442578042133,0.0007558276993566977,0.0
2025-04-03,2,2856,2867,2025-04-03 13:05:00,2025-04-03 14:00:00,2025-04-03 11:30:00,-0.004165935793693724,-0.004565975799027858,0.016693828120704166,0.016525814667542053,0.001250090923761973,0.18706456422565237,0.3510256480690572,0.3533585862925953,0.49204809515705933,0.6793404615968393,0.43159327151613647,True,False,-0.004471375653979091,0.00030543986028516604,0.0
2025-04-03,3,2868,2879,2025-04-03 14:05:00,2025-04-03 15:00:00,2025-04-03 14:00:00,-0.0016387574627091757,-0.0016387574627091757,0.00797768607553788,0.007761971555667747,0.0007262284304336106,0.22249201053228998,0.3724156080372821,0.37266042694470847,0.5570033062602402,0.5774695376590514,0.32249531393140846,True,False,-0.0017758732104410139,0.00013711574773145026,0.0
2025-04-07,0,2880,2891,2025-04-07 09:35:00,2025-04-07 10:30:00,2025-04-03 15:00:00,-0.02235005045332994,-0.022750090458664073,0.15769573954238977,0.09712752045607785,0.062156336037529604,0.3701909389111986,0.5004904643793733,0.4038206595370442,0.5676383534451868,0.7360554382655592,0.31216368640798914,True,False,0.03380105594525852,-0.056151106398588585,0.05822038611515911
2025-04-07,1,2892,2903,2025-04-07 10:35:00,2025-04-07 11:30:00,2025-04-07 10:30:00,-0.015723378951012557,-0.016523458961680823,0.03263297619704953,0.03353775271635934,0.0021173206966997025,0.15913803198848392,0.3177827599619029,0.315708465124022,1.0,0.4099654903255185,0.4677457293143304,True,False,-0.015484100077486193,-0.0002392788735263192,0.0
2025-04-07,2,2904,2915,2025-04-07 13:05:00,2025-04-07 14:00:00,2025-04-07 11:30:00,0.024119383629718768,0.024119383629718768,0.038417969915207816,0.03676077512006714,0.0027482711095414445,0.19669173493703723,0.3325884507299224,0.3523184542443933,0.8763752325739896,0.4086317175257032,0.355627047783282,True,False,0.024630673622639238,-0.0005112899929200557,0.0
2025-04-07,3,2916,2927,2025-04-07 14:05:00,2025-04-07 15:00:00,2025-04-07 14:00:00,0.0055704160231467015,0.005170376017812561,0.14322860391437167,0.14045840613911786,0.004591771282902604,0.20267050420740226,0.37499125760971963,0.3801443644287625,0.743601670526013,0.36396258531549064,0.29804270297081836,True,False,0.0071362137237689326,-0.001565797700622244,0.0
2025-04-08,0,2928,2939,2025-04-08 09:35:00,2025-04-08 10:30:00,2025-04-07 15:00:00,0.00634752285619006,0.00634752285619006,0.061741344757404434,0.062381973490060166,0.01131410161207263,0.18548486906380093,0.3675154578123705,0.37238505670186606,0.5069806071703185,0.5908562509675567,0.3241498089388259,True,False,-0.00228809300920011,0.008635615865390219,0.008694254862079564
2025-04-08,1,2940,2951,2025-04-08 10:35:00,2025-04-08 11:30:00,2025-04-08 10:30:00,-0.011736302397906663,-0.012136342403240796,0.028019200491434856,0.028060634281576593,0.002655566898671645,0.19205463359675368,0.3546858186200232,0.32742862584827803,0.6150375643084538,0.5776448458425129,0.3672484409662241,True,False,-0.011712921962000238,-2.3380435906573095e-05,0.0
2025-04-08,2,2952,2963,2025-04-08 13:05:00,2025-04-08 14:00:00,2025-04-08 11:30:00,0.012648730078135972,0.012648730078135972,0.032959430788328706,0.03320869077997906,0.0023673321693426772,0.21182113049113688,0.3842589126131784,0.3868861805800023,0.6820855838932763,0.5553810894569505,0.3185673070880518,True,False,0.013686118011837955,-0.0010373879337020036,0.0
2025-04-08,3,2964,2975,2025-04-08 14:05:00,2025-04-08 15:00:00,2025-04-08 14:00:00,-0.014165273504834971,-0.014565313510169105,0.03633367759179388,0.036461573398887934,0.001332056554895328,0.19858122932816447,0.31239879864421893,0.3230829296090489,0.43311755904878246,0.673128095573308,0.434770110230049,True,False,-0.014573217864837692,0.00040794436000292144,0.0
2025-04-09,0,2976,2987,2025-04-09 09:35:00,2025-04-09 10:30:00,2025-04-08 15:00:00,0.057006625764270645,0.057006625764270645,0.09612669305679146,0.08324308745123678,0.022720694340034108,0.15873945551106802,0.290224650949065,0.28432273558731314,0.3194667748762189,0.9234442198297946,0.5488591609319371,True,False,0.07530439761010284,-0.018297771845832225,0.01849807166989733
