year,block,gain,n
2024,0,13.014183662774535,1400
2024,1,2.025869063775303,1400
2024,2,-5.1062498647862951,1400
2024,3,-3.2155660828136736,1400
2024,4,4.2971427833033955,1400
2024,5,-1.6528182116870709,1400
2024,6,5.9033038467422934,1400
2024,7,7.5141676003748223,1400
2024,8,-7.4931113796279192,1400
2024,9,-6.9518005871325927,1400
2024,10,-3.0139475083410723,1400
2024,11,0.062582018978610487,1400
2024,12,1.1872144436939642,140
2025,0,7.4453563324530485,1400
2025,1,-8.7366003014664475,1400
2025,2,5.1061753289255014,1400
2025,3,8.9666071599168067,1400
2025,4,0.35086766552824811,1400
2025,5,-1.1759370544806769,1400
2025,6,-2.0417999909592273,1400
2025,7,4.1940455286019906,1400
2025,8,16.193348290111221,1400
2025,9,0.85568774377214718,1400
2025,10,6.1990140676319241,1400
2025,11,7.9515387892000469,1400
2025,12,-0.021763834676896271,210
