year,block,gain,n
2024,0,4.3032019835744579,920
2024,1,0.49939350915726632,920
2024,2,0.093279198227484247,920
2024,3,-0.83940925757929319,920
2024,4,0.41465550197975054,920
2024,5,1.7967509171311038,920
2024,6,-1.3044997825916744,920
2024,7,-0.89327845776729597,920
2024,8,-0.059866391000738255,920
2024,9,-0.63767894230171229,920
2024,10,-0.24900447227496275,920
2024,11,0.47026268196322385,920
2024,12,-0.43946689513053072,92
2025,0,2.9131644481171421,920
2025,1,0.18096509916764247,920
2025,2,-0.77078233766724324,920
2025,3,-0.35356333721833677,920
2025,4,0.74357358132726159,920
2025,5,0.025663991955266974,920
2025,6,0.55991340172401771,920
2025,7,-1.5209926147504833,920
2025,8,1.1305398432942637,920
2025,9,0.45896033425025606,920
2025,10,1.8225334592807245,920
2025,11,2.0731917924909071,920
2025,12,-0.19074717422557913,138
