horizon,endpoint,increment_decile,n,increment_mean,sigma_mean,tail_rate
30,log_future_sigma,0,3395,-0.09363293382802076,0.0017738371391104743,0.055375552282768775
30,log_future_sigma,1,3395,-0.06949804396205292,0.0015962780801300489,0.05360824742268041
30,log_future_sigma,2,3395,-0.05453995759293097,0.0015684344450051387,0.044182621502209134
30,log_future_sigma,3,3395,-0.0396869610691982,0.001561126108460814,0.04094256259204713
30,log_future_sigma,4,3395,-0.023558779147492957,0.0015240728116111936,0.045655375552282766
30,log_future_sigma,5,3395,-0.004991109945435544,0.001566050457667588,0.05125184094256259
30,log_future_sigma,6,3395,0.01575749927465111,0.0016107574401042317,0.04447717231222386
30,log_future_sigma,7,3395,0.041642787462490206,0.0016641347255432015,0.06067746686303387
30,log_future_sigma,8,3395,0.07724112715735693,0.001684000861999293,0.06156111929307806
30,log_future_sigma,9,3395,0.15122969093672844,0.0018258401692373223,0.09779086892488954
30,future_tail,0,3395,-0.025855642883659775,0.0016139436874519012,0.07275405007363771
30,future_tail,1,3395,-0.01477936770700216,0.0014508484959664368,0.060382916053019146
30,future_tail,2,3395,-0.010259123359233607,0.0014594933091032281,0.05066273932253314
30,future_tail,3,3395,-0.005940466421411129,0.0014255602595914765,0.04830633284241532
30,future_tail,4,7978,-0.0005755535660562672,0.0019188612382914083,0.023690147906743543
30,future_tail,5,2207,0.0018929002438853979,0.0015628100140628438,0.06207521522428636
30,future_tail,6,3395,0.007671946811415696,0.0015518510152598597,0.05655375552282769
30,future_tail,7,3395,0.017614800488252605,0.001587711500347269,0.06509572901325479
30,future_tail,8,3395,0.04243186111841113,0.0017599997708176024,0.10574374079528719
