year,feature,high_a,low_a,year_cycles,high_feature,low_feature,high_bars,low_bars,high_amplitude,low_amplitude,delta_net_log,delta_capture
2025,peak_fraction,250,7306,678,0.7272727272727273,0.25,11,12,0.006886452890927153,0.006338912186082624,0.006306078984212073,0.32954796791722424
2025,peak_fraction,2175,10561,678,0.8571428571428571,0.25,7,8,0.0057968501276661755,0.004743762826859843,0.0022654937676214433,0.22659864948215008
2025,peak_fraction,3277,2276,678,0.8333333333333334,0.14285714285714285,6,7,0.00322607811555109,0.0031135271166444767,-0.001932233440474023,-0.3150937658063774
2025,peak_fraction,8050,9571,678,0.7142857142857143,0.125,7,8,0.006598458619018643,0.0055888984890080096,0.0013433111200921281,0.08716785352153888
2025,peak_fraction,9508,7537,678,0.9,0.2727272727272727,10,11,0.013741391421691063,0.013577002295462215,-0.015597302916064332,-0.41276170288979563
2025,peak_fraction,9959,9567,678,0.75,0.25,4,4,0.004691459697722777,0.0046410952704141195,-0.00016842652791681611,-0.05933346742302803
2025,peak_fraction,10734,10670,678,0.75,0.25,4,4,0.0021150231326192426,0.0020924091254359567,0.0002883843686123938,0.062314844753785126
2025,time_mass_skew,64,10883,678,0.37438533025995857,-0.5904967319050457,22,20,0.018959057491662712,0.020439761560909098,0.019202809163084384,0.5303061248373693
2025,time_mass_skew,652,11496,678,0.43666308292644546,-0.33698489966130396,5,6,0.0030295429052680234,0.0033534247851445542,0.0002176494829933713,0.022416332391255955
2025,time_mass_skew,742,9201,678,2.0272160321323733,-0.3313646016848096,17,18,0.016873625629711952,0.015937419882206427,0.012024941907961521,0.3433660424639276
2025,time_mass_skew,759,3177,678,0.3509293390281356,-0.3538541863465209,7,6,0.0032313875066058984,0.0029296944777890133,0.0005174215700616155,0.0919080744498722
2025,time_mass_skew,807,5601,678,0.35804326003167175,-0.3676814712400934,19,18,0.011533629684143065,0.009255202666025752,0.0043531119935418,0.26120005045615496
2025,time_mass_skew,1122,10840,678,0.7029894353966958,-0.28526100799558807,8,8,0.00859284874216737,0.008262058063581712,-0.005512770275859228,-0.34619721952632193
2025,time_mass_skew,1572,10744,678,0.7646475097731142,-0.5434480096315174,13,11,0.014468549273314757,0.015196013298702127,0.02040535355701125,0.7619721982740376
2025,time_mass_skew,1942,6942,678,0.42362572944899624,-0.4501441868377581,21,22,0.014745907152087234,0.018205174914086797,-0.015414056729231986,-0.5659771380571238
