symbol,market,timestamp,trading_day,open,high,low,close,volume,amount,available_at,ingested_at,source_kind,dataset_version,instrument_type,trading_month,causal_flat_fill,source_minute_count,high_frequency_analysis_eligible,export_view_id,export_frequency,signal_price_view,fill_price_view,data_contract,day,year,session,clock,return_all,r,boundary,body,gap,sigma_prior,robust_sigma_prior,z,robust_z,prediction_time,frequency_minutes,vol_bin,event,prior5,prior30,predicted_tail_probability,first_event,basis,abs_r
000852.SH,cn_index,2024-10-08 10:37:00+08:00,2024-10-08,5965.06,5965.06,5908.23,5908.23,,5972312700.0,2024-10-08T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-08,2024,0,10:37,-0.010005245190795264,-0.010005245190795264,False,-0.009572819999480089,-0.00043242519131509805,0.001578019677815182,0.000813665935727353,-6.340380498073283,-12.296502472911524,2024-10-08 10:36:00+08:00,1,2,True,True,True,0.10082872928176796,False,raw,0.010005245190795264
000852.SH,cn_index,2024-10-09 09:34:00+08:00,2024-10-09,5890.08,5942.84,5890.08,5942.84,,8913459300.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,09:34,0.009933335756253214,0.009933335756253214,False,0.008917553678148997,0.001015782078104228,0.0019954149224407584,0.0012329140199600864,4.978080320308982,8.056795198561202,2024-10-09 09:33:00+08:00,1,2,True,True,True,0.10082872928176796,False,raw,0.009933335756253214
000688.SH,cn_index,2025-04-07 10:04:00+08:00,2025-04-07,952.05,961.57,951.93,961.57,,813561900.0,2025-04-07T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2025-04,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-04-07,2025,0,10:04,0.0098867909560445,0.0098867909560445,False,0.00994981087035882,-6.301991431383709e-05,0.0014095670755108565,0.0005725566786270978,7.014062067575834,17.267794307720756,2025-04-07 10:03:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.0098867909560445
000688.SH,cn_index,2025-10-13 09:33:00+08:00,2025-10-13,1438.17,1452.32,1438.17,1452.32,,2158046400.0,2025-10-13T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2025-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-10-13,2025,0,09:33,0.00983947988598377,0.00983947988598377,False,0.009790805735076602,4.867415090652409e-05,0.0013782353454816964,0.0011012116087275106,7.139187017834643,8.935139993078753,2025-10-13 09:32:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.00983947988598377
000688.SH,cn_index,2024-10-09 10:43:00+08:00,2024-10-09,998.27,1009.7,998.27,1008.53,,1002799600.0,2024-10-09T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-09,2024,0,10:43,0.009594430562955836,0.009594430562955836,False,0.01022532329707129,-0.000630892734115066,0.0031375248231243764,0.0013942930247339061,3.0579616429621144,6.881215349109908,2024-10-09 10:42:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.009594430562955836
000688.SH,cn_index,2024-02-02 14:26:00+08:00,2024-02-02,657.31,663.46,657.26,663.46,,404304900.0,2024-02-02T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-02,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-02-02,2024,1,14:26,0.009525828678057735,0.009525828678057735,False,0.009312816687720197,0.00021301199033738413,0.0013721095849611288,0.0011730498441045976,6.942469305997594,8.120565998053483,2024-02-02 14:25:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.009525828678057735
000852.SH,cn_index,2024-10-10 09:34:00+08:00,2024-10-10,5758.18,5758.18,5705.73,5705.73,,8641471600.0,2024-10-10T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-10,2024,0,09:34,-0.00952209566044182,-0.00952209566044182,False,-0.009150519496077284,-0.000371576164365452,0.0023505850414231597,0.002028162988149938,-4.050947101525276,-4.694936115133302,2024-10-10 09:33:00+08:00,1,2,True,True,True,0.10082872928176796,False,raw,0.00952209566044182
000688.SH,cn_index,2024-10-18 14:02:00+08:00,2024-10-18,982.55,982.55,973.25,973.61,,977396700.0,2024-10-18T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-18,2024,1,14:02,-0.009476224636461694,-0.009476224636461694,False,-0.009140420254619974,-0.0003358043818411583,0.002118882278766613,0.0015119982888162286,-4.472275185565166,-6.2673514292670305,2024-10-18 14:01:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.009476224636461694
000852.SH,cn_index,2024-02-08 09:32:00+08:00,2024-02-08,4882.11,4924.93,4882.11,4924.93,,4385966600.0,2024-02-08T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-02,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-02-08,2024,0,09:32,0.009472265759207232,0.009472265759207232,False,0.008732557858858936,0.0007397079003476206,0.0018385085064152485,0.0014180037526453232,5.152146822358956,6.680000487683105,2024-02-08 09:31:00+08:00,1,2,True,False,False,0.002836089906700594,True,raw,0.009472265759207232
000688.SH,cn_index,2024-10-18 13:19:00+08:00,2024-10-18,967.85,976.55,967.85,976.55,,1815383100.0,2024-10-18T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2024-10,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2024-10-18,2024,1,13:19,0.009444903332071597,0.009444903332071597,False,0.008948835691345504,0.0004960676407263755,0.0017794415649647957,0.0013916867708152476,5.307790667606696,6.786658844603941,2024-10-18 13:18:00+08:00,1,2,True,True,True,0.10141158989598811,False,raw,0.009444903332071597
000852.SH,cn_index,2025-04-07 09:33:00+08:00,2025-04-07,5892.95,5892.95,5840.69,5840.69,,7975850400.0,2025-04-07T15:30:00+08:00,2026-08-23T04:03:58.401461+00:00,market_index_transaction_derived_1m,bars_cn_index_1m_raw_canonical_market_index_baidu_3s_20000714_20260821_factorlab_unified_missing_day_repaired_v8_20260824,market_index,2025-04,False,239,True,1m_official,1m,identity_index_point,raw_pit,cn_a_session_wall_clock_offset_v1,2025-04-07,2025,0,09:33,-0.009420126132878792,-0.009420126132878792,False,-0.008907780631160241,-0.0005123455017189487,0.0006118178534102235,0.0004033771247385533,-15.396945480377479,-23.35314908842289,2025-04-07 09:32:00+08:00,1,2,True,False,False,0.002836089906700594,True,raw,0.009420126132878792
