vol_bin,prior5,sum,size,probability
0,False,242,56447,0.004295989229024943
0,True,50,1228,0.04109031733116355
1,False,247,56369,0.004390633315593401
1,True,69,1306,0.0531752104055088
2,False,175,56463,0.003108175120430717
2,True,65,1213,0.05395387149917628
