vol_bin,prior5,sum,size,probability
0,False,70,57405,0.0012280946242553042
0,True,4,270,0.016605166051660517
1,False,292,56172,0.005207127979634344
1,True,80,1503,0.05352393617021277
2,False,572,53639,0.010673005219985085
2,True,409,4037,0.10141158989598811
