vol_bin,prior5,sum,size,probability
0,False,254,56342,0.004516976376834745
0,True,75,1333,0.056596701649175414
1,False,205,56495,0.0036374256584536958
1,True,68,1180,0.05800169348010161
2,False,189,56435,0.0033577858104755828
2,True,92,1241,0.07447665056360708
