minutes,symbol,year,basis,threshold,observations,events,rate,up_events,down_events,mean_abs_tail_simple_bp,max_up_simple_bp,max_down_simple_bp,squared_return_share
1,000852.SH,2021,raw,0.0029036229356317277,57834,68,0.0011757789535567313,33,35,36.31041716080537,53.257508085164304,-66.90737150029763,0.06344494158737024
1,000852.SH,2022,raw,0.0029036229356317277,57596,222,0.003854434335717758,143,79,36.89893631847276,73.91997167138344,-65.77046021806824,0.12305822508677763
1,000852.SH,2023,raw,0.0029036229356317277,57596,14,0.00024307243558580456,8,6,38.96111559419424,57.07638235730667,-73.07132837228602,0.02151179700483854
1,000852.SH,2024,raw,0.0029036229356317277,57596,643,0.011163969720119453,385,258,39.29050791531542,129.47382377040145,-128.3246503975945,0.25258004216923113
1,000852.SH,2025,raw,0.0029036229356317277,57834,181,0.0031296469204965937,113,68,39.46285630020805,84.7132984896836,-93.75895738953574,0.13758527643291626
1,000852.SH,2021,standardized,3.907314467102554,57834,376,0.0065013659784901616,235,141,22.949087290408844,53.257508085164304,-66.90737150029763,0.1516108811762032
1,000852.SH,2022,standardized,3.907314467102554,57596,283,0.004913535662198764,171,112,30.421196124133925,73.91997167138344,-65.77046021806824,0.11464603366302302
1,000852.SH,2023,standardized,3.907314467102554,57596,224,0.003889158969372873,114,110,19.165931953076893,57.07638235730667,-73.07132837228602,0.08640843129985928
1,000852.SH,2024,standardized,3.907314467102554,57596,327,0.005677477602611293,202,125,36.533953078853386,129.47382377040145,-128.3246503975945,0.1232887465238693
1,000852.SH,2025,standardized,3.907314467102554,57834,289,0.0049970605526161085,179,110,27.892011114308808,84.7132984896836,-93.75895738953574,0.125081692527603
1,000852.SH,2021,robust,5.147660747155379,57834,394,0.006812601583843414,256,138,22.76913091543705,53.257508085164304,-66.90737150029763,0.15577909277023766
1,000852.SH,2022,robust,5.147660747155379,57596,361,0.006267796374748246,232,129,27.736932595543465,73.91997167138344,-65.77046021806824,0.12433584647423104
1,000852.SH,2023,robust,5.147660747155379,57596,168,0.002916869227029655,91,77,19.600516745196355,57.07638235730667,-73.07132837228602,0.06887196378189459
1,000852.SH,2024,robust,5.147660747155379,57596,389,0.006753941245919856,244,145,33.99609787861519,129.47382377040145,-128.3246503975945,0.12922249923917625
1,000852.SH,2025,robust,5.147660747155379,57834,283,0.004893315350831691,171,112,28.25022069209087,84.7132984896836,-93.75895738953574,0.12754216642072574
1,000688.SH,2021,raw,0.0029036229356317277,57834,503,0.008697306082926999,296,207,36.966010863460866,80.6420984669153,-99.3254954913997,0.19233660225829036
1,000688.SH,2022,raw,0.0029036229356317277,57596,733,0.012726578234599625,454,279,36.705616048049585,75.79243464747296,-64.70250911569191,0.21955891719986523
1,000688.SH,2023,raw,0.0029036229356317277,57596,191,0.0033162025140634765,119,72,35.42522725799768,71.92325093094847,-103.14987133411077,0.08879086158726998
1,000688.SH,2024,raw,0.0029036229356317277,57596,1188,0.020626432391138275,694,494,43.26438050076142,302.85483854289924,-236.09680478925014,0.3993439867312625
1,000688.SH,2025,raw,0.0029036229356317277,57834,1003,0.01734273956496179,570,433,38.84248076431888,148.23173671063913,-123.29975737078685,0.29691402664523736
1,000688.SH,2021,standardized,3.907314467102554,57834,294,0.005083514887436456,172,122,36.02979755803577,80.6420984669153,-99.3254954913997,0.11144776388251662
1,000688.SH,2022,standardized,3.907314467102554,57596,345,0.005989999305507327,225,120,39.74111612541142,75.79243464747296,-64.70250911569191,0.1226777104350033
1,000688.SH,2023,standardized,3.907314467102554,57596,209,0.003628724216959511,125,84,29.725484505110682,71.92325093094847,-103.14987133411077,0.07270750633240013
1,000688.SH,2024,standardized,3.907314467102554,57596,226,0.003923883603027988,163,63,49.80449187491338,302.85483854289924,-236.09680478925014,0.13090659835687798
1,000688.SH,2025,standardized,3.907314467102554,57834,216,0.003734827264239029,133,83,40.89272007026238,148.23173671063913,-123.29975737078685,0.08330727326037468
1,000688.SH,2021,robust,5.147660747155379,57834,269,0.004651243213334716,159,110,36.53602910214795,80.6420984669153,-99.3254954913997,0.10452831087808044
1,000688.SH,2022,robust,5.147660747155379,57596,393,0.0068233905132300855,248,145,37.647336049416694,75.79243464747296,-64.70250911569191,0.12681841847576764
1,000688.SH,2023,robust,5.147660747155379,57596,146,0.0025348982568233905,86,60,30.68480842474804,71.92325093094847,-103.14987133411077,0.05439040874057005
1,000688.SH,2024,robust,5.147660747155379,57596,215,0.0037328981179248558,153,62,53.12699322509549,302.85483854289924,-236.09680478925014,0.13867525467219766
1,000688.SH,2025,robust,5.147660747155379,57834,189,0.0032679738562091504,113,76,43.76352523437034,148.23173671063913,-123.29975737078685,0.08199168716758012
