year,view,scenario,cost_bps,rank,phase,mdd,start,end,minutes,days,baseline_net_log,slow_net_log,matched_net_log,slow_vs_matched_log,conflict_share,both_share,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log
2024,0,legacy_on_minute,0,1,decline,0.13496277402621248,2024-09-27 13:24:00,2024-09-30 09:53:00,119,2,-0.1449827371684247,-0.09763537962160607,-0.1202585374390056,0.0226231578173995,0.5042016806722689,0.0,0.005042789968597194,0.05239014751541582,0.047347357546818625,0.0,0.047347357546818625
2024,0,legacy_on_minute,0,1,recovery,0.13496277402621248,2024-09-30 09:53:00,2024-10-08 09:30:00,217,2,0.29694610074026606,0.29694610074026606,0.24630728092652698,0.05063881981373908,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2024,0,legacy_on_minute,0,2,decline,0.09771934820205394,2024-11-29 13:02:00,2024-12-06 10:31:00,1139,6,-0.10282966341457644,-0.09438374096920743,-0.0852939127036661,-0.009089828265541326,0.4038630377524144,0.17120280948200176,0.09326383753692369,0.1017097599822927,0.008445922445369014,0.0,0.008445922445369014
2024,0,legacy_on_minute,0,2,recovery,0.09771934820205394,2024-12-06 10:31:00,2024-12-31 14:59:00,4258,18,0.05691475802150325,0.04860741329293061,0.04720896909547054,0.0013984441974600574,0.30507280413339594,0.030530765617660875,0.23595600605363654,0.2276486613250639,-0.008307344728572641,0.0,-0.008307344728572641
2024,0,legacy_on_minute,0,3,decline,0.08975647582992966,2024-10-09 11:22:00,2024-10-09 13:16:00,24,1,-0.09404310629403767,-0.05689478390981195,-0.07800574495985557,0.021110961050043616,0.5416666666666666,0.0,0.0010345440343968448,0.03818286641862256,0.03714832238422572,0.0,0.03714832238422572
2024,0,legacy_on_minute,0,3,recovery,0.08975647582992966,2024-10-09 13:16:00,2024-10-10 09:34:00,108,2,0.11339198284915586,0.06925016804229678,0.09405501841855213,-0.024804850376255357,0.4537037037037037,0.0,0.06948861123325267,0.025346796426393592,-0.04414181480685908,0.0,-0.04414181480685908
2024,0,legacy_on_minute,0,4,decline,0.08373757720921128,2024-11-06 10:12:00,2024-11-07 11:16:00,304,2,-0.08745246757491998,-0.06879326986029088,-0.07253902120619071,0.0037457513458998386,0.4309210526315789,0.28289473684210525,0.03962632027476021,0.0582855179893893,0.018659197714629094,0.0,0.018659197714629094
2024,0,legacy_on_minute,0,4,recovery,0.08373757720921128,2024-11-07 11:16:00,2024-11-26 09:44:00,3028,14,0.08808333950278247,0.07700216138032978,0.07306230926680951,0.00393985211352027,0.34114927344782037,0.062417437252311754,0.284203551521661,0.2731223733992083,-0.011081178122452684,0.0,-0.011081178122452684
2024,0,legacy_on_minute,0,5,decline,0.08097220228697187,2024-10-08 09:30:00,2024-10-09 09:32:00,242,2,-0.08443890930041409,-0.08443890930041409,-0.07003937112606919,-0.014399538174344896,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2024,0,legacy_on_minute,0,5,recovery,0.08097220228697187,2024-10-09 09:32:00,2024-10-09 09:37:00,5,1,0.08473550183706724,0.08473550183706724,0.07028538513690828,0.014450116700158964,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2024,0,legacy_on_minute,0,6,decline,0.08069768096673631,2024-08-05 09:30:00,2024-08-29 09:51:00,4341,19,-0.08414024550790433,-0.05709929214683207,-0.0697916390748286,0.012692346927996529,0.29255931812946323,0.11402902557014513,0.16026869590789872,0.18730964926897098,0.027040953361072262,0.0,0.027040953361072262
2024,0,legacy_on_minute,0,6,recovery,0.08069768096673631,2024-08-29 09:51:00,2024-09-25 09:31:00,4060,18,0.08552670268548468,0.06647181017237003,0.07094166090262684,-0.004469850730256807,0.2894088669950739,0.03078817733990148,0.191445076830286,0.17239018431717135,-0.019054892513114652,0.0,-0.019054892513114652
2024,0,legacy_on_minute,0,7,decline,0.06853621092610744,2024-10-18 14:39:00,2024-10-21 10:27:00,78,2,-0.07099796347613907,-0.05520809520007397,-0.058890537008346025,0.003682441808272061,0.38461538461538464,0.0,0.02922420045847618,0.04501406873454128,0.0157898682760651,0.0,0.0157898682760651
2024,0,legacy_on_minute,0,7,recovery,0.06853621092610744,2024-10-21 10:27:00,2024-10-30 13:16:00,1759,8,0.07112231475286457,0.05220470771597707,0.05899368241006589,-0.006788974694088814,0.48038658328595796,0.06822057987492894,0.2499233948096089,0.2310057877727214,-0.018917607036887496,0.0,-0.018917607036887496
2024,0,legacy_on_minute,0,8,decline,0.06737476379051967,2024-10-11 10:13:00,2024-10-14 10:55:00,282,2,-0.0697518349166879,-0.054636077131419825,-0.057856913275290946,0.0032208361438711168,0.8226950354609929,0.0,0.09024065640111445,0.10535641418638253,0.01511575778526808,0.0,0.01511575778526808
2024,0,legacy_on_minute,0,8,recovery,0.06737476379051967,2024-10-14 10:55:00,2024-10-16 09:30:00,395,3,0.08397104454588877,0.052457192541604414,0.06965129229546253,-0.01719409975385813,0.43037974683544306,0.0,0.06726187527492389,0.03574802327063953,-0.03151385200428436,0.0,-0.03151385200428436
2024,0,legacy_on_minute,0,9,decline,0.057805237443339694,2024-04-29 11:14:00,2024-05-17 14:17:00,2733,12,-0.05954327147006655,-0.05747468644352027,-0.049389236823453704,-0.008085449620066573,0.3391877058177827,0.014635931211123308,0.10069901608880283,0.1027676011153491,0.002068585026546277,0.0,0.002068585026546277
2024,0,legacy_on_minute,0,9,recovery,0.057805237443339694,2024-05-17 14:17:00,2024-05-27 13:13:00,1376,7,0.06031197968173618,0.049945796488762184,0.050026855667312006,-8.105917854982344e-05,0.22965116279069767,0.0,0.04654851610761224,0.03618233291463824,-0.010366183192973999,0.0,-0.010366183192973999
2024,0,legacy_on_minute,0,10,decline,0.05353167602764893,2024-10-09 09:52:00,2024-10-09 10:18:00,26,1,-0.05501777537734842,-0.05031928973262989,-0.045635482742621365,-0.004683806990008528,0.3076923076923077,0.0,0.0034138208281824234,0.008112306472900954,0.004698485644718531,0.0,0.004698485644718531
2024,0,legacy_on_minute,0,10,recovery,0.05353167602764893,2024-10-09 10:18:00,2024-10-09 11:17:00,59,1,0.05534118168444557,0.027670590842222786,0.04590373791733828,-0.018233147075115492,1.0,0.0,0.05387916757084543,0.026208576728622646,-0.027670590842222786,0.0,-0.027670590842222786
2024,0,legacy_on_minute,3,1,decline,0.13600050728397972,2024-09-27 13:24:00,2024-09-30 09:53:00,119,2,-0.14618309731248952,-0.09853558218237657,-0.12125414677762718,0.02271856459525059,0.5042016806722689,0.0,0.005042789968597194,0.05239014751541582,0.047347357546818625,0.0003001575832943205,0.04764751513011294
2024,0,legacy_on_minute,3,1,recovery,0.13600050728397972,2024-09-30 09:53:00,2024-10-08 09:30:00,217,2,0.29694610074026606,0.29694610074026606,0.24630728092652698,0.05063881981373908,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
