entry_i,exit_i,side,entry_time,exit_time,entry,exit,bars,gross_bp,net_bp,forced_year_end
2,327,1,2021-01-04 09:32:00+08:00,2021-01-05 10:57:00+08:00,6688.42,6765.16,325,114.73561767951112,110.69053244948446,False
329,1025,-1,2021-01-05 10:59:00+08:00,2021-01-08 10:35:00+08:00,6750.42,6633.97,696,172.50778470080385,168.5085845408363,False
1834,1991,-1,2021-01-13 13:34:00+08:00,2021-01-14 10:41:00+08:00,6472.66,6518.86,157,-71.37714633550951,-75.3763464954771,False
2282,2351,-1,2021-01-15 13:02:00+08:00,2021-01-15 14:11:00+08:00,6444.07,6517.57,69,-114.0583513214466,-118.05755148141417,False
2420,3375,1,2021-01-18 09:50:00+08:00,2021-01-22 09:45:00+08:00,6582.86,6708.96,955,191.55807658069568,187.48226851167615,False
3376,4809,-1,2021-01-22 09:46:00+08:00,2021-02-01 09:39:00+08:00,6700.6,6330.1,1433,552.9355580097306,548.936357849763,False
4811,5299,1,2021-02-01 09:41:00+08:00,2021-02-03 09:49:00+08:00,6346.97,6366.18,488,30.266410586468062,26.25510628309513,False
5305,5724,-1,2021-02-03 09:55:00+08:00,2021-02-04 14:24:00+08:00,6355.47,6187.9,419,263.6626402138642,259.66344005389664,False
5981,6254,-1,2021-02-05 14:41:00+08:00,2021-02-09 09:44:00+08:00,6047.56,6137.27,273,-148.34081844578685,-152.3400186057544,False
6255,7385,1,2021-02-09 09:45:00+08:00,2021-02-22 14:05:00+08:00,6146.89,6591.74,1130,723.699301598042,719.4106796018018,False
7386,8402,-1,2021-02-22 14:06:00+08:00,2021-03-01 09:32:00+08:00,6582.96,6390.13,1016,292.92294044016677,288.92374028019805,False
8403,9362,1,2021-03-01 09:33:00+08:00,2021-03-05 09:32:00+08:00,6392.94,6376.28,959,-26.059997434669803,-30.048775680047157,False
9362,9602,-1,2021-03-05 09:32:00+08:00,2021-03-08 09:32:00+08:00,6376.28,6505.29,240,-202.32800316171807,-206.32720332168563,False
