year,symbol,field,horizon_minutes,grid_seconds,common_er_rows,common_var_rows,days,mean_er,variance_er,n_times_variance_er,relative_variance_cv2,median_trailing_60m_variance,median_scaled_trailing_variance,unchanged_price_share,nonoverlap_variance
2024,588000.SSE,last,15,3,9674,3773,238,0.02438685487517272,0.0015447794601668636,0.4634338380500591,2.5974960671599394,0.0001926173390534347,0.05778520171603041,0.6521018537661085,0.0015864367941559473
2024,588000.SSE,last,15,15,9674,3773,238,0.08764664460420181,0.008114485780321718,0.4868691468193031,1.0563076241568812,0.003375337598773682,0.20252025592642092,0.5623406381365861,0.007907470142668365
2024,588000.SSE,last,15,30,9674,3773,238,0.13962516482555848,0.01526406117030933,0.4579218351092799,0.7829656336376505,0.009624765879280095,0.28874297637840285,0.49893184480738745,0.01513502144424991
2024,588000.SSE,last,15,60,9674,3773,238,0.21323749264545866,0.0319775614211463,0.4796634213171945,0.7032637098600116,0.022850297028404278,0.34275445542606414,0.4122183171387223,0.03187584015091842
2024,588000.SSE,last,15,300,9674,3773,238,0.5963189294264053,0.15153197478829478,0.45459592436488433,0.42613488793509857,0.14208559808497226,0.42625679425491675,0.24888015987871268,0.15428288902828993
2024,588000.SSE,last,30,3,8536,3301,238,0.016258380844639653,0.000493286328578515,0.29597179714710903,1.8661411700969635,7.11422913633342e-05,0.04268537481800052,0.654427717900656,0.0010113007306115768
2024,588000.SSE,last,30,15,8536,3301,238,0.05939521247020897,0.0039413201305423156,0.47295841566507785,1.1172203328287271,0.0011509672506137636,0.13811607007365162,0.5662927600749765,0.004139330278511124
2024,588000.SSE,last,30,30,8536,3301,238,0.09417562576044719,0.007310065341290247,0.4386039204774148,0.8242220517453122,0.003361442018666237,0.20168652111997423,0.5038386441736957,0.007541337000181318
2024,588000.SSE,last,30,60,8536,3301,238,0.14168474324851935,0.014143743936600922,0.42431231809802766,0.7045603678745083,0.00785174207591588,0.2355522622774764,0.4169907841299594,0.014510953275477894
2024,588000.SSE,last,30,300,8536,3301,238,0.40278837626030284,0.08985581759905364,0.5391349055943219,0.5538502319951116,0.06566217361503576,0.3939730416902146,0.2716533895657607,0.09530595111568964
2024,588000.SSE,last,60,3,5722,619,238,0.012003427231434825,0.0003647664724644354,0.43771976695732245,2.5316542025769118,2.6551227999347694e-05,0.03186147359921723,0.6562587382034254,0.0017399950141681858
2024,588000.SSE,last,60,15,5722,619,238,0.04396056308695168,0.0022282710357713563,0.5347850485851257,1.1530324287098037,0.0004414675238290932,0.10595220571898237,0.5697082896423162,0.0031953462241323203
2024,588000.SSE,last,60,30,5722,619,238,0.06956377409205206,0.003851595222403656,0.4621914266884387,0.7959290706220777,0.0012231684131019823,0.14678020957223786,0.5075002912734475,0.005007954827239311
2024,588000.SSE,last,60,60,5722,619,238,0.10422324093907288,0.007291372026408604,0.4374823215845163,0.6712435257656519,0.0028185829712982,0.169114978277892,0.4205784690667599,0.008812050203597805
2024,588000.SSE,last,60,300,5722,619,238,0.2918287507374694,0.045797842121810775,0.5495741054617292,0.5377604562641694,0.021742582091470872,0.2609109850976505,0.2764476290341373,0.048852494858295986
2024,588000.SSE,mid,15,3,9442,3366,238,0.19137937110703468,0.03955130396234751,11.865391188704253,1.079867722126949,0.015483909964934893,4.645172989480468,0.9393723081268093,0.03888604751198257
2024,588000.SSE,mid,15,15,9442,3366,238,0.2312481771909379,0.0487947011405827,2.927682068434962,0.9124646033502395,0.02364706225260057,1.4188237351560342,0.7902774835839864,0.04774085968061479
2024,588000.SSE,mid,15,30,9442,3366,238,0.2700000500861841,0.05862785543291358,1.7588356629874073,0.8042226842451444,0.0326264272445423,0.9787928173362691,0.6815258066793759,0.05859490476833287
2024,588000.SSE,mid,15,60,9442,3366,238,0.32699665348557055,0.07550847276574667,1.1326270914862,0.7061696854477608,0.0482937228035222,0.724405842052833,0.5483160347384028,0.07709238607965005
2024,588000.SSE,mid,15,300,9442,3366,238,0.6460285917109482,0.15502520879406592,0.4650756263821978,0.3714487031245054,0.14577997619482463,0.4373399285844739,0.2786485914001271,0.155971178547159
2024,588000.SSE,mid,30,3,8487,3249,238,0.11945898765158071,0.012007123550571914,7.204274130343149,0.8413976978389769,0.005532146598656877,3.319287959194126,0.9422377361454775,0.012847609777162393
2024,588000.SSE,mid,30,15,8487,3249,238,0.1469647954702447,0.016372300525157264,1.9646760630188718,0.7580242138078728,0.008214198998302407,0.9857038797962888,0.797800557715722,0.017298082124840658
2024,588000.SSE,mid,30,30,8487,3249,238,0.1742243084305272,0.021681176852846668,1.3008706111708002,0.714274841337902,0.011821262621617633,0.7092757572970579,0.6910019245119987,0.02270833079015322
2024,588000.SSE,mid,30,60,8487,3249,238,0.21390117960442942,0.030847981556642316,0.9254394466992696,0.6742180782903755,0.017737784580557348,0.5321335374167204,0.5599190919445426,0.03312090642451624
2024,588000.SSE,mid,30,300,8487,3249,238,0.46432584817074685,0.11008670447652526,0.6605202268591516,0.5106098043728824,0.07813280779986756,0.4687968467992054,0.3140096618357488,0.11227280350973023
2024,588000.SSE,mid,60,3,5695,615,237,0.0848422190348643,0.0045498154678409695,5.459778561409163,0.6320766470836323,0.0017681548343286542,2.121785801194385,0.9433064091308166,0.004793792325568642
2024,588000.SSE,mid,60,15,5695,615,237,0.10563450986187642,0.0068269374884102505,1.6384649972184602,0.611806776626813,0.0028008403010630375,0.6722016722551291,0.8006204272753877,0.007823801057113156
2024,588000.SSE,mid,60,30,5695,615,237,0.12559739839183212,0.009281403725526377,1.1137684470631652,0.5883725149275132,0.004005056801007415,0.4806068161208898,0.6942903131401815,0.010708921759884735
2024,588000.SSE,mid,60,60,5695,615,237,0.1546211764712299,0.013614556566298843,0.8168733939779306,0.5694630553796912,0.006228376836957239,0.37370261021743434,0.5630055604331284,0.01626816795352227
2024,588000.SSE,mid,60,300,5695,615,237,0.3365415841568216,0.058232786614958634,0.6987934393795037,0.514150311810683,0.026242043741042453,0.3149045248925095,0.3196078431372549,0.06021606134338676
2024,588080.SSE,last,15,3,7111,2203,238,0.03194009871152138,0.0015200129222775723,0.4560038766832717,1.4899605583170217,0.0004245523896478646,0.1273657168943594,0.7068743261613463,0.0013401786217204885
2024,588080.SSE,last,15,15,7111,2203,238,0.09856837457317337,0.008323188152096815,0.4993912891258089,0.8566719014342036,0.005102878845804611,0.3061727307482767,0.5647119486241972,0.00809775337413424
2024,588080.SSE,last,15,30,7111,2203,238,0.15477684174711645,0.01767929649368522,0.5303788948105566,0.7379943181639834,0.012335843220534205,0.3700752966160261,0.4895279613743964,0.017586467903743307
2024,588080.SSE,last,15,60,7111,2203,238,0.2302487998598827,0.03551037761677769,0.5326556642516653,0.6698237468575114,0.027213758963906574,0.40820638445859864,0.3951530492663948,0.03555898761029922
2024,588080.SSE,last,15,300,7111,2203,238,0.5945909142355457,0.1470185430338686,0.4410556291016058,0.41584891945504593,0.1402802685992648,0.42084080579779437,0.22200346880420008,0.14835836709239486
2024,588080.SSE,last,30,3,5554,1685,230,0.02250088865838293,0.0007026571118294423,0.42159426709766534,1.387855033931803,0.00016360732934879587,0.09816439760927753,0.7041885728003842,0.00040688700651762816
2024,588080.SSE,last,30,15,5554,1685,230,0.06993269435276178,0.004248575422918147,0.5098290507501776,0.8687259817494459,0.0018290794491053286,0.21948953389263942,0.5624234785740007,0.003446849901810166
2024,588080.SSE,last,30,30,5554,1685,230,0.10875896649255214,0.008319612985399872,0.4991767791239923,0.7033524105122722,0.004546462912885232,0.27278777477311394,0.48703937102388667,0.007654380625723614
2024,588080.SSE,last,30,60,5554,1685,230,0.15938225805770956,0.01637348991986578,0.49120469759597335,0.6445569653349371,0.00984052353502464,0.2952157060507392,0.3914536070099628,0.016079391554160966
2024,588080.SSE,last,30,300,5554,1685,230,0.4134275699303158,0.08638080398651281,0.5182848239190768,0.505380373995884,0.06168554847371411,0.3701132908422846,0.23094466450606166,0.09142175150379991
2024,588080.SSE,last,60,3,3148,302,179,0.017156470057524846,0.0003396193542722003,0.4075432251266404,1.153816004193836,5.961643036670984e-05,0.07153971644005182,0.6981962092333758,0.00021755805423296373
2024,588080.SSE,last,60,15,3148,302,179,0.05384434867246691,0.0024595390350819974,0.5902893684196794,0.8483468738500544,0.0006393105466163143,0.15343453118791545,0.5579402265988987,0.001955511590499387
2024,588080.SSE,last,60,30,3148,302,179,0.08261981625751225,0.004762082353898878,0.5714498824678653,0.6976353072797736,0.0015560566600240121,0.18672679920288146,0.4803790766624311,0.004390992337792756
2024,588080.SSE,last,60,60,3148,302,179,0.11829098519831328,0.008279542757888293,0.49677256547329757,0.5917020249735376,0.003409737146187523,0.20458422877125138,0.38337039390088945,0.008379388013870113
2024,588080.SSE,last,60,300,3148,302,179,0.30341703431974165,0.0464583472611623,0.5575001671339476,0.5046425168144208,0.023196612279119976,0.27835934734943973,0.2302520118593816,0.053143554979689867
2024,588080.SSE,mid,15,3,7017,2083,238,0.1752502819664616,0.03547206100421021,10.641618301263064,1.154965394364625,0.011960731843030625,3.5882195529091874,0.9168547812455465,0.03613535724571511
2024,588080.SSE,mid,15,15,7017,2083,238,0.23864035720037233,0.04812496545372061,2.8874979272232366,0.8450504744775581,0.024862286621825522,1.4917371973095312,0.7647807705097145,0.04848384125509681
2024,588080.SSE,mid,15,30,7017,2083,238,0.28076887017368357,0.059462265318935364,1.7838679595680609,0.7542990168051156,0.03341916035147679,1.0025748105443038,0.6516602536696595,0.061329449977047854
2024,588080.SSE,mid,15,60,7017,2083,238,0.3317364739109817,0.07342904819383322,1.1014357229074982,0.6672390425610365,0.04542870776893229,0.6814306165339844,0.5080898769654648,0.07641741981829998
2024,588080.SSE,mid,15,300,7017,2083,238,0.6306431037841631,0.14920637614045873,0.44761912842137613,0.37516306955040907,0.14183246623628332,0.42549739870884995,0.23400313524298133,0.14882182926498227
2024,588080.SSE,mid,30,3,5534,1675,230,0.11002274677275449,0.01119149304195153,6.714895825170918,0.92453437400454,0.00423100818811192,2.5386049128671515,0.9162200337308758,0.010871982557859162
2024,588080.SSE,mid,30,15,5534,1675,230,0.15498928119491623,0.017397225079282968,2.087667009513956,0.7242302389066302,0.008588857505394742,1.030662900647369,0.7612561739549453,0.019666860412477113
2024,588080.SSE,mid,30,30,5534,1675,230,0.18485817952072858,0.02311182901305397,1.3867097407832383,0.6763273842906897,0.012144836253672974,0.7286901752203785,0.6466570292735816,0.02712052931727801
2024,588080.SSE,mid,30,60,5534,1675,230,0.22074003466384026,0.030728302340121267,0.921849070203638,0.6306325084748522,0.01718886448852764,0.5156659346558292,0.5021563667028069,0.03663595834335823
2024,588080.SSE,mid,30,300,5534,1675,230,0.4474787339739137,0.0983640656602521,0.5901843939615126,0.49123767777869465,0.0698153255741875,0.418891953445125,0.24891579327791832,0.10423048473223731
2024,588080.SSE,mid,60,3,3129,299,179,0.07772168186571284,0.004254468421460146,5.105362105752175,0.7043052480620866,0.0013509684943831919,1.6211621932598304,0.913237456056248,0.004080074444043956
2024,588080.SSE,mid,60,15,3129,299,179,0.11216272859810175,0.0075931581917399035,1.8223579660175768,0.6035667627982791,0.0027631851763684242,0.6631644423284219,0.7520041014168531,0.009938174222848347
2024,588080.SSE,mid,60,30,3129,299,179,0.1340490548599021,0.01026234646455041,1.2314815757460493,0.5711092051379205,0.004132133699858067,0.495856043982968,0.6348141046127623,0.013008995469807643
2024,588080.SSE,mid,60,60,3129,299,179,0.16005315646031673,0.014033539544370461,0.8420123726622276,0.5478210751205176,0.005760205820529354,0.3456123492317612,0.4881325237029935,0.017597438372808236
2024,588080.SSE,mid,60,300,3129,299,179,0.3300681078007896,0.05253551588243599,0.6304261905892319,0.48222072791562387,0.024812383761715007,0.2977486051405801,0.2454724619154149,0.0575851460772602
