timestamp,nav,return
2021-01-04,1.0164867430495708,0.016486743049570762
2021-01-05,1.0098031918490638,-0.0065751484180262
2021-01-06,1.016523537812902,0.006655104695730385
2021-01-07,1.032871297684126,0.016082027875514937
2021-01-08,1.0333107746692891,0.0004254905583573887
2021-01-11,1.0333107746692891,0.0
2021-01-12,1.0333107746692891,0.0
2021-01-13,1.0333107746692891,0.0
2021-01-14,1.0192683205404454,-0.013589768415352088
2021-01-15,1.0192683205404454,0.0
2021-01-18,1.0192683205404454,0.0
2021-01-19,1.0192683205404454,0.0
2021-01-20,1.0192683205404454,0.0
2021-01-21,1.0192683205404454,0.0
2021-01-22,1.0192683205404454,0.0
2021-01-25,1.007534064114467,-0.011512431211201157
2021-01-26,1.0262588402819335,0.018584757413560915
2021-01-27,1.0256645480695872,-0.0005790860833735367
2021-01-28,1.046752778650769,0.02056055327336037
2021-01-29,1.0614973208217007,0.014085983311108885
2021-02-01,1.0556918353247948,-0.005469147573930577
2021-02-02,1.0556918353247948,0.0
2021-02-03,1.0556918353247948,0.0
2021-02-04,1.0768426233476445,0.020035001991222545
2021-02-05,1.0768426233476445,0.0
2021-02-08,1.0768426233476445,0.0
2021-02-09,1.0934732029170895,0.015443834789659938
2021-02-10,1.102096348075693,0.00788601415709067
2021-02-18,1.1197954759022415,0.016059510457004933
2021-02-19,1.1412799056891256,0.019186030171780777
2021-02-22,1.1570948404325916,0.013857191968973392
2021-02-23,1.1655495476298743,0.007306840288149319
2021-02-24,1.1745446262354915,0.0077174570775722096
2021-02-25,1.1813606746815264,0.005803141314332905
2021-02-26,1.1942594103765716,0.010918541620257072
2021-03-01,1.1839104736651263,-0.008665568486650788
2021-03-02,1.1839104736651263,0.0
2021-03-03,1.1839104736651263,0.0
2021-03-04,1.1839104736651263,0.0
2021-03-05,1.1668025680666487,-0.014450337233283483
2021-03-08,1.1668025680666487,0.0
2021-03-09,1.1677982738282486,0.0008533626757865065
2021-03-10,1.1677982738282486,0.0
2021-03-11,1.1677982738282486,0.0
2021-03-12,1.1677982738282486,0.0
2021-03-15,1.1677982738282486,0.0
2021-03-16,1.1677982738282486,0.0
2021-03-17,1.1677982738282486,0.0
2021-03-18,1.1677982738282486,0.0
2021-03-19,1.1623819761788572,-0.004638042177983248
2021-03-22,1.1526650097880458,-0.008359529474772476
2021-03-23,1.1526650097880458,0.0
2021-03-24,1.1526650097880458,0.0
2021-03-25,1.1378567859657378,-0.012846944859574494
2021-03-26,1.1378567859657378,0.0
2021-03-29,1.1378567859657378,0.0
2021-03-30,1.1378567859657378,0.0
2021-03-31,1.1378567859657378,0.0
2021-04-01,1.1378567859657378,0.0
2021-04-02,1.1378567859657378,0.0
2021-04-06,1.1425073224984548,0.004087101812878746
2021-04-07,1.130744245708184,-0.010295843675248495
2021-04-08,1.1338897141319968,0.0027817682342861083
2021-04-09,1.1347517790907313,0.0007602723157202895
2021-04-12,1.1589341260839958,0.021310693174362516
2021-04-13,1.1647655324370891,0.0050316978522304545
2021-04-14,1.1601183664475463,-0.003989786665320905
2021-04-15,1.1553149929230984,-0.004140416756918119
2021-04-16,1.142092710090052,-0.011444742701375521
2021-04-19,1.1481408800128297,0.005295690857094026
2021-04-20,1.1466458808384488,-0.0013021042978316189
2021-04-21,1.1405367327402587,-0.005327842013196693
2021-04-22,1.136524202020567,-0.0035181074002335055
2021-04-23,1.136524202020567,0.0
2021-04-26,1.1326601807531573,-0.0033998583228936896
2021-04-27,1.1341602132685293,0.0013243447071429326
2021-04-28,1.1341602132685293,0.0
2021-04-29,1.1341602132685293,0.0
2021-04-30,1.1341602132685293,0.0
2021-05-06,1.127850510612211,-0.005563325694642796
2021-05-07,1.1348596222164975,0.006214575015337731
2021-05-10,1.1320947929420735,-0.0024362742495182
2021-05-11,1.1335807989973576,0.0013126162796159857
2021-05-12,1.1335807989973576,0.0
2021-05-13,1.1335807989973576,0.0
2021-05-14,1.1335807989973576,0.0
2021-05-17,1.1335807989973576,0.0
2021-05-18,1.1335807989973576,0.0
2021-05-19,1.1335807989973576,0.0
2021-05-20,1.1335807989973576,0.0
2021-05-21,1.1335807989973576,0.0
2021-05-24,1.1335807989973576,0.0
2021-05-25,1.1335807989973576,0.0
2021-05-26,1.1335807989973576,0.0
2021-05-27,1.1360734755247575,0.0021989403222113513
2021-05-28,1.132124704713228,-0.0034758058317536644
2021-05-31,1.1423641902130786,0.00904448552109316
