view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
0,legacy_on_minute,0,baseline,1.0,0.8657176697500821,3.1182289429652768,0.14717708324042877,0.11499569269000673,71,0.99999656210894,6968.0,0.0,2.5759751282921934
0,legacy_on_minute,0,slow_conflict_half,1.0,0.7370652482442667,2.760985251547611,0.11089917272770364,0.09125145362288856,71,0.831072346979469,5761.0,0.0,2.623957654437274
0,legacy_on_minute,0,constant_075,0.75,0.5963732561376683,2.3386717072239573,0.11254948343409522,0.08755007817827412,71,0.7499974215817049,5226.0,0.0,2.5759751282921934
0,legacy_on_minute,0,constant_050,0.5,0.36591276066595196,1.5591144714826384,0.07651588169607854,0.05925332458201413,71,0.49999828105447,3484.0,0.0,2.5759751282921934
0,legacy_on_minute,0,matched_constant,0.8310752041254834,0.6791648404937797,2.591482755284858,0.12393059309378453,0.09654271425266872,71,0.8310723469794685,5790.932022346369,0.0,2.575975128292194
0,legacy_on_minute,1,baseline,1.0,0.6229928007167694,2.4213592636752166,0.15549475644535443,0.12446492901676584,129,0.99999656210894,6968.0,0.6968696792900602,1.9777158949997968
0,legacy_on_minute,1,slow_conflict_half,1.0,0.5480061449676071,2.1848387238848685,0.11778458012159498,0.10150833205031339,125,0.831072346979469,5761.0,0.5761465276627432,2.0557024261600416
0,legacy_on_minute,1,constant_075,0.75,0.4379327657063076,1.8160325139298616,0.11904881787768529,0.0948818995584357,129,0.7499974215817049,5226.0,0.5226391932940971,1.977730686620833
0,legacy_on_minute,1,constant_050,0.5,0.27397178556227386,1.2106970528214671,0.08103011069725909,0.06429943217716226,129,0.49999828105447,3484.0,0.3484174186611705,1.9777454772639351
0,legacy_on_minute,1,matched_constant,0.8310752041254834,0.49551149511075837,2.0123414276244844,0.13103738339102647,0.10458360196101235,129,0.8310723469794685,5790.932022346369,0.5791413276603733,1.977725889793205
0,legacy_on_minute,3,baseline,1.0,0.2280657030569257,1.0272016620583706,0.27509046733738385,0.2657779196126245,449,0.99999656210894,6968.0,2.091027280906907,0.8201039571254455
0,legacy_on_minute,3,slow_conflict_half,1.0,0.2293103018628815,1.0322664096178982,0.20228357593746157,0.19288525501403775,411,0.831072346979469,5761.0,1.7287188419297133,0.9518300413969131
0,legacy_on_minute,3,constant_075,0.75,0.166611950786862,0.7705188970095185,0.2143482310786915,0.2067919265468736,449,0.7499974215817049,5226.0,1.568152810214439,0.820231303535357
0,legacy_on_minute,3,constant_050,0.5,0.10821602366182144,0.5137576826263338,0.14853876076256348,0.14308888025207864,449,0.49999828105447,3484.0,1.045356788856305,0.8203586251175592
0,legacy_on_minute,3,matched_constant,0.8310752041254834,0.18619889010081475,0.8537699237289333,0.23458275238673357,0.2264205903922984,449,0.8310723469794685,5790.932022346369,1.7377128315559247,0.8201900077112867
0,legacy_on_minute,5,baseline,1.0,-0.0708664500234742,-0.367513968989536,0.5518696820317428,0.54621546670435,886,0.99999656210894,6968.0,3.4857429119548113,-0.28679484193591837
0,legacy_on_minute,5,slow_conflict_half,1.0,-0.023846754756367383,-0.12067845662544588,0.4527012910756905,0.44687631434939395,590,0.831072346979469,5761.0,2.8816637081730576,-0.10903132052769529
0,legacy_on_minute,5,constant_075,0.75,-0.05357325164542969,-0.2753085172587588,0.452224134114619,0.44704865858871656,886,0.7499974215817049,5226.0,2.6139802244827175,-0.2864566906559812
0,legacy_on_minute,5,constant_050,0.5,-0.03600022930651133,-0.1833211112072238,0.33047260620317304,0.32626201675560906,886,0.49999828105447,3484.0,1.7424355826898625,-0.28611864730238956
0,legacy_on_minute,5,matched_constant,0.8310752041254834,-0.05921193226431601,-0.30518692511141604,0.4867511841954478,0.4813749832940473,886,0.8310723469794685,5790.932022346369,2.8966696803962737,-0.2865663415643888
0,delay_1m,0,baseline,1.0,0.7744251598302909,2.8673825842936713,0.15810171257689326,0.1244137021086964,64,0.9999931242178798,6968.0,0.0,2.3481269115201324
0,delay_1m,0,slow_conflict_half,1.0,0.6637822826850508,2.5454674705310536,0.1415258075749503,0.11504150136943911,73,0.8310689090884088,5761.0,0.0,2.3984525485993173
0,delay_1m,0,constant_075,0.75,0.5374226148762601,2.1505369382202533,0.1210893649860055,0.09484236823936742,64,0.7499948431634098,5226.0,0.0,2.3481269115201315
0,delay_1m,0,constant_050,0.5,0.33207550830660154,1.4336912921468357,0.08244984473702652,0.06427231638082674,64,0.4999965621089399,3484.0,0.0,2.3481269115201324
0,delay_1m,0,matched_constant,0.8310746233764448,0.6105919468337878,2.38300890131804,0.1332673199409722,0.10454013124672813,64,0.8310689090884087,5790.927975687067,0.0,2.348126911520132
