view,scenario,policy,gross_latency_delta_log,changed_holding_minutes,gross_positive_change_log,gross_negative_change_log
0,delay_1m,baseline,-0.25084635867160543,3484,2.511428882508392,-2.7622752411799976
0,delay_1m_observed,baseline,-0.25084635867160543,3484,2.511428882508392,-2.7622752411799976
0,literal_publication,baseline,-5.019337062878838,136548,79.34538261781539,-84.36471968069422
0,delay_1m,slow_conflict_half,-0.21551778101655739,3754,2.0729177735416964,-2.2884355545582538
0,delay_1m_observed,slow_conflict_half,-0.21551778101655739,3754,2.0729177735416964,-2.2884355545582538
0,literal_publication,slow_conflict_half,-4.195590643691702,151198,65.83137119940561,-70.0269618430973
1,delay_1m,baseline,0.02214739806642463,3366,2.47701371450864,-2.4548663164422155
1,delay_1m_observed,baseline,0.02214739806642463,3366,2.47701371450864,-2.4548663164422155
1,literal_publication,baseline,-3.9398168670376545,133149,78.19606884581611,-82.13588571285378
1,delay_1m,slow_conflict_half,0.02231985139348902,3659,2.0411391986481466,-2.0188193472546576
1,delay_1m_observed,slow_conflict_half,0.02231985139348902,3659,2.0411391986481466,-2.0188193472546576
1,literal_publication,slow_conflict_half,-3.3710865908419945,147949,64.75341546198521,-68.12450205282721
2,delay_1m,baseline,-0.0026566234567075853,3416,2.3676258924712252,-2.370282515927933
2,delay_1m_observed,baseline,-0.0026566234567075853,3416,2.3676258924712252,-2.370282515927933
2,literal_publication,baseline,-3.6520978179098247,135550,80.45158377997072,-84.10368159788054
2,delay_1m,slow_conflict_half,-0.006001703488859089,3698,1.9531726424628437,-1.9591743459517028
2,delay_1m_observed,slow_conflict_half,-0.006001703488859089,3698,1.9531726424628437,-1.9591743459517028
2,literal_publication,slow_conflict_half,-3.092372448009998,150383,66.72105833644602,-69.81343078445602
3,delay_1m,baseline,0.07060522898579258,3364,2.3170125549292866,-2.246407325943494
3,delay_1m_observed,baseline,0.07060522898579258,3364,2.3170125549292866,-2.246407325943494
3,literal_publication,baseline,-3.588028751814015,134994,80.80077109111332,-84.38879984292734
3,delay_1m,slow_conflict_half,0.06431725329004756,3653,1.9079374172132697,-1.8436201639232221
3,delay_1m_observed,slow_conflict_half,0.06431725329004756,3653,1.9079374172132697,-1.8436201639232221
3,literal_publication,slow_conflict_half,-3.0135110241757017,150086,67.0091110656214,-70.0226220897971
4,delay_1m,baseline,0.006765021596598864,3370,2.212738145395039,-2.20597312379844
4,delay_1m_observed,baseline,0.006525328403598429,3372,2.212738145395039,-2.2062128169914406
4,literal_publication,baseline,-3.4336499589231355,134997,79.87448049838466,-83.3081304573078
4,delay_1m,slow_conflict_half,-0.017623532948611853,3650,1.810499367855153,-1.828122900803765
4,delay_1m_observed,slow_conflict_half,-0.01780330284336218,3652,1.810499367855153,-1.8283026706985153
4,literal_publication,slow_conflict_half,-2.8924449524929305,149083,66.21267632405365,-69.10512127654657
