year,view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2021,0,legacy_on_minute,0,baseline,1.0,0.7506128287968771,0.5599659145178864,0.12280838267782289,0.09970001832923917,54,0.9999828532235939,1417.0,0.0,2.565829287778571
2021,0,legacy_on_minute,0,slow_conflict_half,1.0,0.6390897007401976,0.49414102720871744,0.0954461303889836,0.07599747056898573,53,0.8281292866941015,1179.0,0.0,2.543346267875958
2021,0,legacy_on_minute,0,constant_075,0.75,0.5219226485209123,0.41997443588841477,0.09359800113826663,0.07574793199261848,54,0.7499871399176955,1062.75,0.0,2.565829287778571
2021,0,legacy_on_minute,0,constant_050,0.5,0.3231072627708145,0.2799829572589432,0.06341491720069707,0.051158610899186774,54,0.49999142661179696,708.5,0.0,2.565829287778571
2021,0,legacy_on_minute,0,matched_constant,0.8281434866852998,0.5899969927430274,0.46373212487376503,0.10283141450340173,0.08330240707731003,54,0.8281292866941012,1173.4793206330696,0.0,2.565829287778571
2021,0,legacy_on_minute,1,baseline,1.0,0.519303107217327,0.41825174762926975,0.1423141298847759,0.11911609535037777,56,0.9999828532235939,1417.0,0.1417141668886166,1.890343894717047
2021,0,legacy_on_minute,1,slow_conflict_half,1.0,0.456784250919438,0.3762314386365795,0.11342403329503219,0.09402330269128598,54,0.8281292866941015,1179.0,0.11790958857213812,1.9149957216274949
2021,0,legacy_on_minute,1,constant_075,0.75,0.3684674544197394,0.3136914672791848,0.10875644624765,0.09073770224480734,56,0.7499871399176955,1062.75,0.10628296860923026,1.8903605530607974
2021,0,legacy_on_minute,1,constant_050,0.5,0.23260450667348842,0.20912941577288363,0.07388608867373543,0.06144533190353367,56,0.49999142661179696,708.5,0.07085354148605937,1.890377210305271
2021,0,legacy_on_minute,1,matched_constant,0.8281434866852998,0.4139320018094363,0.34637447707437613,0.11938437203661623,0.09970488431519299,56,0.8281292866941012,1173.4793206330696,0.11735764779938887,1.8903553462146512
2021,0,legacy_on_minute,3,baseline,1.0,0.14423738809831219,0.13473837850993436,0.18546510874989142,0.1619825732948772,94,0.9999828532235939,1417.0,0.42522753600795216,0.5924734465657933
2021,0,legacy_on_minute,3,slow_conflict_half,1.0,0.15068188571530014,0.1403547107535254,0.14950123592588818,0.13008037627574967,92,0.8281292866941015,1179.0,0.35378631645519204,0.6985232503564132
2021,0,legacy_on_minute,3,constant_075,0.75,0.10636260728915173,0.10107770405935651,0.1425986530685745,0.12412596854246104,94,0.7499871399176955,1062.75,0.3188967318290582,0.5926155200050145
2021,0,legacy_on_minute,3,constant_050,0.5,0.06972443683157534,0.0674010796343841,0.0974788901459485,0.08456184750183174,94,0.49999142661179696,708.5,0.21258187762455916,0.5927575658979125
2021,0,legacy_on_minute,3,matched_constant,0.8281434866852998,0.11806651516564054,0.11160086774459471,0.15623427777606277,0.13613888170938723,94,0.8281292866941012,1173.4793206330696,0.35213125712917026,0.5925711145092765
2021,0,legacy_on_minute,5,baseline,1.0,-0.13833476886296264,-0.14888844670093784,0.24870650434636127,0.23748098758238362,242,0.9999828532235939,1417.0,0.708854361218824,-0.6370025463571175
2021,0,legacy_on_minute,5,slow_conflict_half,1.0,-0.0911714299346919,-0.09559879437766536,0.1911528388268629,0.1814212061426931,242,0.8281292866941015,1179.0,0.5897398215863829,-0.4651284639537185
2021,0,legacy_on_minute,5,constant_075,0.75,-0.10559792720672927,-0.11159985906020567,0.19300024201757343,0.1839844349160358,242,0.7499871399176955,1062.75,0.5315742949486206,-0.636628776304086
2021,0,legacy_on_minute,5,constant_050,0.5,-0.0716584863601055,-0.07435560350733306,0.1331850601932798,0.1267486821978649,242,0.49999142661179696,708.5,0.35433856076627623,-0.6362551244570236
2021,0,legacy_on_minute,5,matched_constant,0.8281434866852998,-0.11595784972472485,-0.12325053617433865,0.21084041224400774,0.20109601742115218,242,0.8281292866941012,1173.4793206330696,0.5869826610481037,-0.6367455943821906
2021,0,delay_1m,0,baseline,1.0,0.6026599151516293,0.47166469588015136,0.11777389151441009,0.09530455903605235,53,0.999965706447188,1417.0,0.0,2.096065223460853
