view,cell,table,days,losing_days,winning_days,mean_pnl_bp,median_pnl_bp,mean_capture,loss_log,positive_log,net_log
5m_offset_0,00,fast_slow,273,129,144,15.037709999868243,7.368658343572,0.010619502891684751,-1.3128438320006972,1.7233733149971002,0.410529482996403
5m_offset_0,01,fast_slow,323,120,203,56.50756035822901,46.198066803888,0.06747630611891,-1.3152996237870382,3.1404938233578354,1.825194199570797
5m_offset_0,10,fast_slow,323,165,158,-0.21240317577760834,-3.7511839163119998,7.293545104791021e-05,-1.5940179597679385,1.5871573371903218,-0.00686062257761675
5m_offset_0,11,fast_slow,273,113,160,33.582011420817956,19.29885229836,0.0299921803911302,-1.1752568141996411,2.0920457259879717,0.9167889117883303
5m_offset_1,00,fast_slow,243,116,127,9.897271594767233,7.643356735814,0.00897380061394088,-1.333938034420021,1.5744417341728645,0.24050369975284372
5m_offset_1,01,fast_slow,311,123,188,60.10196579316371,44.063687836400995,0.06894849353122365,-1.3279738115398092,3.197144947707201,1.8691711361673913
5m_offset_1,10,fast_slow,358,199,159,-7.907537626781897,-14.843093715460999,-0.012906908606574998,-1.8596877985910818,1.5765979515522897,-0.2830898470387919
5m_offset_1,11,fast_slow,280,126,154,29.932916072532706,19.626565098428,0.029503571334390973,-1.1927976385226935,2.0309192885536094,0.8381216500309158
5m_offset_2,00,fast_slow,264,120,144,4.006921788652726,10.815708828209,0.0014810273352219554,-1.4324583801574473,1.5382411153778792,0.10578273522043197
5m_offset_2,01,fast_slow,311,120,191,53.531795098104986,38.663640494797,0.060525813344488213,-1.2702408540840882,2.9350796816351536,1.6648388275510653
5m_offset_2,10,fast_slow,330,189,141,-18.821438817179978,-23.837551848395503,-0.025059801393296725,-2.0320937416965292,1.4109862607295902,-0.6211074809669392
5m_offset_2,11,fast_slow,287,123,164,31.62467021021691,21.199830143991,0.030414014774741198,-1.2325780148029954,2.140206049836221,0.9076280350332253
5m_offset_3,00,fast_slow,284,122,162,10.6497348641766,16.172965110552997,0.013941155538914507,-1.4010884790292177,1.703540949171833,0.30245247014261545
5m_offset_3,01,fast_slow,322,129,193,50.101744398409295,46.3861254932845,0.06080914605080774,-1.437306549198639,3.0505827188274184,1.6132761696287792
5m_offset_3,10,fast_slow,316,188,128,-17.647387570342524,-21.118568041122,-0.026243335179604806,-1.8978912118368454,1.3402337646140217,-0.5576574472228237
5m_offset_3,11,fast_slow,270,112,158,35.13740370365932,26.624654262731003,0.03209273434985924,-1.113926083963419,2.062635983962221,0.9487098999988015
5m_offset_4,00,fast_slow,294,142,152,15.071218337680914,4.0748018680705,0.017011279798432744,-1.4325858988596658,1.8756797179874845,0.44309381912781887
5m_offset_4,01,fast_slow,324,120,204,59.38420976920499,49.830321010764,0.06358148551519595,-1.398338817006123,3.3223872135283647,1.9240483965222417
5m_offset_4,10,fast_slow,306,180,126,-17.713803988457546,-14.919919787604,-0.023887619572298437,-1.7788453596141567,1.2368029575673556,-0.5420424020468009
5m_offset_4,11,fast_slow,268,117,151,28.11680029556282,18.4512660193945,0.027088111371707465,-1.2267737542451782,1.980304002166262,0.7535302479210836
5m_offset_0,00,short_long_eff,310,174,136,-13.00553345780445,-17.723805007883,-0.029583193963668056,-1.8974759798490595,1.4943044426571217,-0.40317153719193793
5m_offset_0,01,short_long_eff,286,166,120,-16.90287046017667,-21.414039272074003,-0.034918148271733715,-1.7951217408436433,1.3116996456825905,-0.4834220951610527
5m_offset_0,10,short_long_eff,286,94,192,53.4497925070407,57.806313889147006,0.07793632756007957,-0.859732810496116,2.38839687619748,1.528664065701364
5m_offset_0,11,short_long_eff,310,93,217,80.76069478804969,57.788382793851,0.09604188843733893,-0.8450876985664966,3.348669236996037,2.5035815384295406
5m_offset_1,00,short_long_eff,315,190,125,-17.20795690166803,-27.95746415831,-0.03273639414832287,-1.9673265109265041,1.4252758685239608,-0.542050642402543
5m_offset_1,01,short_long_eff,281,169,112,-26.72249715352569,-34.789384388532,-0.04394791682696255,-1.9586329852808277,1.2077308152667556,-0.7509021700140719
5m_offset_1,10,short_long_eff,276,93,183,51.27602307310238,47.787427015081,0.07405135472858607,-0.872632796247756,2.2878510330653814,1.4152182368176258
5m_offset_1,11,short_long_eff,320,112,208,79.45128795347964,46.2017222867725,0.09214717690588199,-0.9158049906185173,3.458246205129865,2.5424412145113484
5m_offset_2,00,short_long_eff,306,186,120,-20.36964747690344,-36.0184627280455,-0.04004873852068,-2.033233943984553,1.4099227311913074,-0.6233112127932453
5m_offset_2,01,short_long_eff,283,173,110,-32.89588914481587,-34.620572481585,-0.050714947873493364,-2.001687170894284,1.070733508095995,-0.9309536627982891
5m_offset_2,10,short_long_eff,281,91,190,46.56696604064149,48.179859953787,0.06550540327330884,-0.914641550568557,2.2231732963105832,1.3085317457420258
5m_offset_2,11,short_long_eff,322,102,220,71.51786480395317,53.088612798761496,0.0865646983320626,-1.0178083252936665,3.3206835719809584,2.302875246687292
5m_offset_3,00,short_long_eff,302,176,126,-16.353744525703668,-22.7448829232275,-0.033287175730597904,-1.9277746493749857,1.433891564698735,-0.4938830846762508
5m_offset_3,01,short_long_eff,283,175,108,-37.41693386027252,-44.164469017902995,-0.057519777040628724,-2.1453383103995085,1.0864390821537966,-1.0588992282457124
5m_offset_3,10,short_long_eff,277,87,190,49.51850135812068,58.314781601006,0.07347116814031303,-0.8058359978209816,2.1774984854409243,1.3716624876199428
5m_offset_3,11,short_long_eff,330,113,217,75.39093690452705,57.06365986024149,0.09057966047694081,-0.9712633664326453,3.4591642842820374,2.4879009178493927
5m_offset_4,00,short_long_eff,300,178,122,-17.0377702661941,-21.350732033391502,-0.03614067663489851,-1.897787199162257,1.386654091176434,-0.511133107985823
5m_offset_4,01,short_long_eff,288,172,116,-30.011242328097588,-22.606656403832503,-0.04598450439494801,-1.9723028514249767,1.1079790723757663,-0.8643237790492105
5m_offset_4,10,short_long_eff,277,102,175,47.83429274683724,48.836076833557,0.07067418531446341,-0.968393975799181,2.2934038848865725,1.3250099090873917
5m_offset_4,11,short_long_eff,327,107,220,80.39990946397509,57.165197004594006,0.09192877905279878,-0.9980598033387089,3.6271368428106943,2.6290770394719853
