cell,table,days,losing_days,winning_days,mean_pnl_bp,median_pnl_bp,mean_capture,loss_log,positive_log,net_log
00,fast_slow,273,129,144,15.037709999868243,7.368658343572,0.010619502891684751,-1.3128438320006972,1.7233733149971002,0.410529482996403
01,fast_slow,323,120,203,56.50756035822901,46.198066803888,0.06747630611891,-1.3152996237870382,3.1404938233578354,1.825194199570797
10,fast_slow,323,165,158,-0.21240317577760834,-3.7511839163119998,7.293545104791021e-05,-1.5940179597679385,1.5871573371903218,-0.00686062257761675
11,fast_slow,273,113,160,33.582011420817956,19.29885229836,0.0299921803911302,-1.1752568141996411,2.0920457259879717,0.9167889117883303
00,short_long_eff,310,174,136,-13.00553345780445,-17.723805007883,-0.029583193963668056,-1.8974759798490595,1.4943044426571217,-0.40317153719193793
01,short_long_eff,286,166,120,-16.90287046017667,-21.414039272074003,-0.034918148271733715,-1.7951217408436433,1.3116996456825905,-0.4834220951610527
10,short_long_eff,286,94,192,53.4497925070407,57.806313889147006,0.07793632756007957,-0.859732810496116,2.38839687619748,1.528664065701364
11,short_long_eff,310,93,217,80.76069478804969,57.788382793851,0.09604188843733893,-0.8450876985664966,3.348669236996037,2.5035815384295406
