year,block,eff_1d,eff_5d,eff_20d,rv_1d,rv_5d,rv_20d,rv_ratio_1_20,drift_disagree_1_20,acf1_5d,acf3_5d,acf12_5d,fast_share_1d,fast_share_5d,fast_share_20d,work_turns_5d,slow_work_velocity_5d,slow_work_opposition_5d,wick_1d,gap_share_1d,threshold_work_amplitude_5d,pnl_log,abs_path,trading_day,capture
2021,0,0.183292131894851,0.13372693682855868,0.01107117080999576,18.51488360256431,17.66836675116069,16.590383605057347,1.1131194281244479,0.6,-0.003753873508647962,0.053498463694647405,0.0041326232576428005,0.8789683062669736,0.9029957617203888,0.9056665868529926,7.5200000000000005,0.5736001645846865,0.5525,0.4850011081945646,0.10588480557375761,1.163404608252412,-0.0328432298273121,0.3533681011217059,5,-0.09294339167303713
2021,1,0.10539204980160237,0.06459725353565696,0.03215136964064378,23.712741918213393,22.102558453956107,18.32134525250094,1.2882159800844122,0.0,0.0665262414605616,0.062415313324334365,-0.09039846669641886,0.861376659877511,0.8773748559666261,0.8932592320395301,6.640000000000001,0.3179541280740198,0.5216666666666667,0.44618047919918224,0.05875549933208456,0.9047991730948631,0.013265257414427897,0.44513080564253626,5,0.02980080741722604
2021,2,0.19860162614060856,0.08922011246855313,0.0544167214107798,20.012257278162437,23.41129966781515,20.061104013096262,0.9980375400932049,0.2,0.11200909149070695,0.10837392605399265,-0.03232404903346238,0.8786112132849739,0.8581764361542948,0.878320077864662,6.68,0.27977675305010263,0.4766666666666667,0.4540396566582367,0.0623747886638372,0.8310009933506626,0.022890198492836102,0.3734036027261627,5,0.061301493412806565
2021,3,0.14165488530103942,0.0673375679812229,0.046907779417915865,24.650089592874696,21.549775590872365,21.35407571700058,1.1521933926618657,0.6,0.060861754347525075,0.07413694411313734,-0.01179563909876066,0.8874141192922096,0.8813618603734275,0.876387879502861,6.68,0.27494865730036155,0.4683333333333334,0.443554538660933,0.1468784669328454,0.974299710807999,-0.004186601273103201,0.4567298813865556,5,-0.009166471132550775
2021,4,0.1720790821833909,0.08576845093673122,0.00355046890086076,20.26095083378956,22.65251927824692,22.51315317021955,0.8979904004641055,0.2,0.02841267203286918,-0.00357531827106138,-0.04910779615275614,0.8783239108512921,0.8889863492005923,0.8756999664430077,6.68,0.30052497230165953,0.4375,0.46883498791987643,0.044408969602447376,0.9820067957584883,0.0331418082340626,0.3719542870157554,5,0.08910183157173496
2021,5,0.1660740562514406,0.0684274153798437,0.00865932684388264,18.673460464470462,19.713326698340087,21.932728199929045,0.8538440912599654,0.2,0.12789869821876473,-0.013555397551663934,0.07082693624874692,0.8721906667666273,0.8802629831805195,0.8769618992556779,7.76,0.37306575407475245,0.4541666666666666,0.4446326918157334,0.1418002550310012,0.9601091749957373,0.0180413616837071,0.3758515046475937,5,0.0480013022712868
2021,6,0.21944043780596223,0.1210388615251985,0.051683845808064975,20.401097152319608,20.578923700390998,21.192471077419373,0.9619404101063385,0.2,0.11792027224624572,-0.1806969577359505,0.13506576108515678,0.8869055052653095,0.8842303938232859,0.8848041858837574,8.36,0.4076500799091768,0.46416666666666656,0.49729961286007535,0.3240947224247313,1.157915716146626,0.0032744461742743006,0.3796423730802559,5,0.008625080882586537
2021,7,0.21660573405287628,0.05007647279095664,0.05518685461506484,19.52097649886731,19.720615153814542,20.711877099768078,0.9440163872030286,0.6,-0.02053410629464528,-0.00764206516790476,0.08130305841329938,0.9098645958388335,0.9000358135410057,0.8887478535053083,7.4799999999999995,0.3781343443455656,0.43,0.48327407421154306,0.30725996303681313,1.158605789408908,-0.0092582374128076,0.3340972876297676,5,-0.027711201963025765
2021,8,0.2627342989746354,0.1681632829659151,0.07886523043561929,28.49029219896503,27.696376223871113,22.278213864706515,1.2723699243740967,0.4,-0.06753294312477717,0.00027886295593600033,-0.0008753886211933994,0.8707864182155959,0.9038152015170052,0.8948243567325449,6.640000000000001,0.5368359033121969,0.43916666666666665,0.44048497812797677,0.1705708802610236,1.0360990091440274,-0.0180689109020222,0.4683445696247837,5,-0.03858037879354123
2021,9,0.16131339229290248,0.05058677056645959,0.09729894167507566,20.400410318157192,24.882433420225915,23.68548330798026,0.8612219847640799,0.4,-0.007330838854818937,-0.03118115466316514,-0.04628818054698638,0.9112962869271982,0.9178633982650808,0.905003659799776,7.720000000000001,0.2859007706781528,0.515,0.47132662816073656,0.16536092845680192,1.2984496985748148,0.0122511015232643,0.3386318102216641,5,0.03617823592900172
2021,10,0.20256585866081506,0.05233396507976647,0.06971057180517852,17.583061345109126,18.041190419441723,23.161196866465765,0.7591683489385231,0.4,-0.1412843885313978,-0.02106171207426816,0.022808294401056323,0.9157968410518759,0.9207210586987079,0.911276013400029,7.12,0.2052355748884815,0.4774999999999999,0.4613375053557274,0.15100158731263819,1.2274351691063305,0.0202184220565757,0.3057601157704358,5,0.06612511251060506
2021,11,0.16054174394062862,0.08505346000285385,0.04567691815078414,15.596436796795587,15.53773238865482,22.35432880048757,0.6985983475279074,0.4,-0.0752111952314765,0.020270713307761663,-0.009867433974649559,0.9007433170296919,0.9108321949386005,0.913449497230082,7.279999999999999,0.44638354706667027,0.49333333333333335,0.4754713203827826,0.10945836867005973,1.109694591570468,0.014117183161555302,0.2716284438257765,5,0.05197240378334648
2021,12,0.17498920598227502,0.12842837981214733,0.0226334786200122,14.329845650631569,15.39416702088835,18.933168739650057,0.774020773259525,0.6,0.007727303937772401,0.03130124863939956,0.01453813557951652,0.8883024282831385,0.8876912788695754,0.9127509772342443,7.68,0.48129789434720494,0.51,0.4849246583930015,0.08992426583124911,0.9856251482235094,-0.019848692928273702,0.25170097034960803,5,-0.07885822967112217
2021,13,0.19097126353273247,0.10845063996601922,0.0268022789261813,15.358959963728864,16.68945492381037,16.457701300729013,0.9312852296383909,0.2,0.01960821431128828,-0.06667679783541433,0.04340193660878064,0.8802540779404942,0.9095716908543844,0.9090113567559068,7.88,0.43438812948026995,0.4766666666666667,0.4589319396634082,0.04317633072644465,1.1082717314161097,-0.0225853292856506,0.2619651543968266,5,-0.08621501335799107
2021,14,0.12412401114322116,0.11088161631627477,0.05103311975007783,14.467205668298874,14.003400773724994,15.445573078057473,0.9367542872385348,0.4,0.12274094873839905,-0.0884686195059631,-0.027889304226957602,0.8851542397915265,0.8822895507767041,0.8994319999320185,7.2,0.42311071385925764,0.48666666666666664,0.44664092032380137,0.0836905208469249,0.968385433968739,-0.023485848754466,0.2618481293095856,5,-0.08969263525537144
2021,15,0.07890806122298603,0.05422170254172026,0.04191079868288468,16.57126178208158,15.724907651132714,15.493678688255091,1.0696144279130937,0.8,0.05214020017709796,-0.0547927832107671,0.04980649504255696,0.9001073625476648,0.897844373265525,0.8960419950817912,6.68,0.2569967430718408,0.4691666666666666,0.4712586243798585,0.0902694041925532,0.999560306263068,-0.007085160960082299,0.3019588629381731,5,-0.02346399403925761
2021,16,0.2067336157626462,0.13922392992483731,0.0207009288303097,16.848365084798974,17.1118537802395,15.936924138096506,1.0571400631261507,0.4,0.05185485722013772,0.015450592803987062,0.04043121284793802,0.894832224156524,0.8929616268910351,0.8970916497320914,6.959999999999999,0.5719259788659712,0.5116666666666667,0.4491860538492453,0.1675854510233866,1.1044120126596118,0.0420399339762244,0.3210108066214968,5,0.13096111753581433
2021,17,0.20162399847848284,0.16155287319642916,0.038844947640522695,16.066750291754982,16.891679086659092,15.987899778448831,1.0038533289107643,0.2,0.011402181045154919,-0.011628183029214999,-0.0246727672508666,0.8917437865227302,0.8960186450518748,0.8932115703233698,7.2,0.5734746404277548,0.5308333333333334,0.494999043920936,0.03673986686785146,1.0394651870211002,0.002141100407473298,0.2596203771326386,5,0.008247042975287807
2021,18,0.32132546090688896,0.1005297188008735,0.036888119535683,14.805439607065187,15.703332398444326,16.37961096784494,0.9041629166065475,0.4,0.0171212912487137,-0.0099989202633077,-0.115517252138163,0.8560649120973102,0.8867785281858745,0.893788130663036,7.08,0.47832597875166954,0.5583333333333333,0.4884195534922357,0.04357477855793264,1.0664854072316152,0.019903081175677496,0.2526088480711939,5,0.07879011890378489
2021,19,0.2856450231600269,0.1821919762467304,0.07025022367155134,19.845502820927656,18.301736438852057,17.05852651183422,1.1625536953769848,0.6,0.14754874071442955,0.01455919414842112,-0.013823906691319979,0.8252250505551064,0.8310957058916266,0.8756406658492081,6.56,0.49643301037261817,0.5625,0.43857038453186803,0.09585942563402194,0.7555531134187418,0.0705842275664627,0.32352617726184607,5,0.2181716118425104
2021,20,0.14555052208628558,0.055059880693478634,0.10817680923723232,19.52811779857937,20.11332084360857,17.863647349822116,1.0941510836497617,0.2,0.13784217165074714,0.019639267700787718,-0.060229849191413276,0.8731968114011803,0.8594896745400517,0.8663357674733356,5.76,0.165984484615504,0.48,0.4517952711433561,0.14284202104603047,0.9263858669152668,-0.004821395999955303,0.3458297192567323,5,-0.0139415317177413
2021,21,0.2532490509833337,0.04558527230046182,0.07625192337418112,22.902389155530535,20.547748971841667,18.80222750786444,1.215964984956182,0.4,0.01964343805691432,0.0671859228126556,-0.0025203391700329794,0.8631504523799668,0.8723752040735357,0.8616341442318234,6.24,0.2698897906822831,0.5133333333333333,0.43201060761638194,0.04058161298376392,0.9626054489382747,0.0469033802492697,0.4091880965737109,5,0.11462547577021354
2021,22,0.20126683213627486,0.12421059123959022,0.08672500624574492,20.285453014229255,22.329938707537796,20.423643839307097,0.9939198744366499,0.4,0.0035377414385249807,0.0299654612983301,0.029230503264998698,0.87519272833976,0.8747559904970614,0.861406471144831,7.08,0.47022000472577813,0.4883333333333333,0.4604605211615861,0.06272566055401488,1.0058459060242766,0.0157220830444321,0.3625009680864292,5,0.04337114774458635
2021,23,0.1705470386309071,0.07762237330865782,0.06580592644000194,21.749393547353222,19.958432275432557,20.790228576686676,1.0429013799640787,0.6,0.14650655565976076,0.05076727030316258,0.06728999061226042,0.8219556105996085,0.8418683687490217,0.8627135062729371,7.2,0.3489822321209074,0.5316666666666666,0.42871690744099045,0.07690948400252048,0.832629273720863,0.013901118223506002,0.39548489803900977,5,0.03514955512191221
2021,24,0.25282990555398693,0.03758491649126602,0.06107787482303376,27.570322873170433,26.971677730093433,22.653794000303204,1.218593218495466,0.4,0.14108952534068372,0.044848120324697836,-0.02865754736221466,0.8378182377789202,0.8471940254235895,0.8583044927904264,5.68,0.19525840335767963,0.49749999999999994,0.4388321462971593,0.10486373157388226,0.8291248993757085,-0.0391901479159767,0.48859416335055317,5,-0.08021002061757913
2021,25,0.16910307358698726,0.0626758363613249,0.046856053366727615,22.447419066932362,24.64755608472661,23.656849784804837,0.9483581921766493,0.6,0.04886983858314436,-0.083668653828445,-0.09442515929604858,0.9258049842077956,0.8882023148806774,0.8634830623292246,7.56,0.2730917947064536,0.4766666666666667,0.4588327907229667,0.11545548280532969,1.0901222081932374,0.0088120759319502,0.4129934469212157,5,0.021337084153858807
2021,26,0.18640103885631604,0.07792023087263525,0.01237023783148002,20.529189022651618,21.17940065816977,23.391661765049015,0.8773064847683936,0.4,-0.0575023291092137,-0.11608760788038026,0.02976840496293966,0.8807834750139426,0.9137026189694517,0.8721861628297758,8.0,0.4126821550384374,0.5108333333333334,0.4541437624445871,0.1386380197602149,1.2111339251214535,0.024280361087591497,0.3936408245410739,5,0.06168151160616725
2021,27,0.10938364826602967,0.03376721162568252,0.01030277108247866,42.21363491495324,35.70065204300355,27.86905249018248,1.5183124743412202,0.0,0.0681270996866009,-0.06791880157160252,0.00994979434410866,0.8820199484632061,0.8766693051024763,0.8782578247287569,9.32,0.23162777719356487,0.42416666666666664,0.40105182572102915,0.13733824798870783,0.7975432842340279,0.1708380275333041,0.7574137739925353,5,0.22555442401419518
