view,feature,outcome,rho,n_days
5m_offset_2,eff_20d,pnl_log,0.022814301339605082,1192
5m_offset_2,eff_20d,capture,0.01014527105601059,1192
5m_offset_2,rv_1d,pnl_log,0.0790917989547585,1192
5m_offset_2,rv_1d,capture,0.05188454637411566,1192
5m_offset_2,rv_5d,pnl_log,0.01802614411667676,1192
5m_offset_2,rv_5d,capture,-0.0065291352589302385,1192
5m_offset_2,rv_20d,pnl_log,0.02760649713277808,1192
5m_offset_2,rv_20d,capture,0.00921868842287441,1192
5m_offset_2,rv_ratio_1_20,pnl_log,0.09460506672787909,1192
5m_offset_2,rv_ratio_1_20,capture,0.08130774827758876,1192
5m_offset_2,drift_disagree_1_20,pnl_log,-0.04361111364660208,1192
5m_offset_2,drift_disagree_1_20,capture,-0.0518672030960041,1192
5m_offset_2,acf1_5d,pnl_log,-0.036498784057351435,1192
5m_offset_2,acf1_5d,capture,-0.03907751035152863,1192
5m_offset_2,acf3_5d,pnl_log,0.11838514608762657,1192
5m_offset_2,acf3_5d,capture,0.10949906580785028,1192
5m_offset_2,acf12_5d,pnl_log,0.046962067721891695,1192
5m_offset_2,acf12_5d,capture,0.05994958532314988,1192
5m_offset_2,fast_share_1d,pnl_log,-0.2590059301656952,1192
5m_offset_2,fast_share_1d,capture,-0.25847028821745427,1192
5m_offset_2,fast_share_5d,pnl_log,-0.0906995213188967,1192
5m_offset_2,fast_share_5d,capture,-0.08135091138273007,1192
5m_offset_2,fast_share_20d,pnl_log,-0.024506058415098675,1192
5m_offset_2,fast_share_20d,capture,-0.02318667168658586,1192
5m_offset_2,work_turns_5d,pnl_log,-0.0030163734882367875,1192
5m_offset_2,work_turns_5d,capture,0.0010298383374116738,1192
5m_offset_2,slow_work_velocity_5d,pnl_log,0.18787780204682955,1192
5m_offset_2,slow_work_velocity_5d,capture,0.17580806724670076,1192
5m_offset_2,slow_work_opposition_5d,pnl_log,-0.01035240439556462,1192
5m_offset_2,slow_work_opposition_5d,capture,-0.011386529084865088,1192
5m_offset_2,wick_1d,pnl_log,-0.011028803947380745,1192
5m_offset_2,wick_1d,capture,0.004903100600260489,1192
5m_offset_2,gap_share_1d,pnl_log,0.011544982821126664,1192
5m_offset_2,gap_share_1d,capture,0.019101013129902,1192
5m_offset_2,threshold_work_amplitude_5d,pnl_log,-0.16484204535359728,1192
5m_offset_2,threshold_work_amplitude_5d,capture,-0.14245079487493814,1192
5m_offset_3,eff_1d,pnl_log,0.3461650211665717,1192
5m_offset_3,eff_1d,capture,0.3619638300264127,1192
5m_offset_3,eff_5d,pnl_log,0.11030301052455657,1192
5m_offset_3,eff_5d,capture,0.1076696643391229,1192
5m_offset_3,eff_20d,pnl_log,0.008430657089974342,1192
5m_offset_3,eff_20d,capture,-0.004084744564470594,1192
5m_offset_3,rv_1d,pnl_log,0.08249541384922664,1192
5m_offset_3,rv_1d,capture,0.04292705425311823,1192
5m_offset_3,rv_5d,pnl_log,0.01919380813778706,1192
5m_offset_3,rv_5d,capture,-0.017756969867263814,1192
5m_offset_3,rv_20d,pnl_log,0.017212450149695628,1192
5m_offset_3,rv_20d,capture,-0.015795407958582235,1192
5m_offset_3,rv_ratio_1_20,pnl_log,0.11599477304149217,1192
5m_offset_3,rv_ratio_1_20,capture,0.09641937669727113,1192
5m_offset_3,drift_disagree_1_20,pnl_log,-0.047149536949785825,1192
5m_offset_3,drift_disagree_1_20,capture,-0.05643806493559496,1192
5m_offset_3,acf1_5d,pnl_log,-0.008494183091401956,1192
5m_offset_3,acf1_5d,capture,-0.007840430676531793,1192
5m_offset_3,acf3_5d,pnl_log,0.08641002832823214,1192
5m_offset_3,acf3_5d,capture,0.0834146774594457,1192
5m_offset_3,acf12_5d,pnl_log,0.041217789621353425,1192
5m_offset_3,acf12_5d,capture,0.04485766087513493,1192
5m_offset_3,fast_share_1d,pnl_log,-0.25066103955433794,1192
5m_offset_3,fast_share_1d,capture,-0.2537150134585707,1192
5m_offset_3,fast_share_5d,pnl_log,-0.09640252098040784,1192
5m_offset_3,fast_share_5d,capture,-0.09122761043225895,1192
5m_offset_3,fast_share_20d,pnl_log,-0.04015023963104529,1192
5m_offset_3,fast_share_20d,capture,-0.03023464277337036,1192
5m_offset_3,work_turns_5d,pnl_log,-0.006905540887105854,1192
5m_offset_3,work_turns_5d,capture,-0.0013108276203470499,1192
5m_offset_3,slow_work_velocity_5d,pnl_log,0.17463936878479094,1192
5m_offset_3,slow_work_velocity_5d,capture,0.16812341201823805,1192
5m_offset_3,slow_work_opposition_5d,pnl_log,-0.019464339500489043,1192
5m_offset_3,slow_work_opposition_5d,capture,-0.019298432572037137,1192
5m_offset_3,wick_1d,pnl_log,-0.03602119832768049,1192
5m_offset_3,wick_1d,capture,-0.008037824653753889,1192
5m_offset_3,gap_share_1d,pnl_log,-0.019808336824807204,1192
5m_offset_3,gap_share_1d,capture,-0.02067168395016495,1192
5m_offset_3,threshold_work_amplitude_5d,pnl_log,-0.175984708641034,1192
