rank,leg,start_return_index,end_return_index_exclusive,peak,trough,recovery,mdd_pct,first_booking,last_booking,trading_days,bars,pnl_log,mean_daily_pnl_bp,long_log,short_log,positive_bar_log,negative_bar_log,cancellation,fragment_count,fragment_win_rate,mfe_sum,giveback_sum,loss_never_favorable_log,loss_after_favorable_log,price_path_abs,capture,attribute_edge_days,eff_1d,eff_5d,eff_20d,rv_1d,rv_5d,rv_20d,rv_ratio_1_20,drift_disagree_1_20,acf1_5d,acf3_5d,acf12_5d,fast_share_1d,fast_share_5d,fast_share_20d,work_turns_5d,slow_work_velocity_5d,slow_work_opposition_5d,wick_1d,gap_share_1d,threshold_work_amplitude_5d
1,decline,20883,21569,2022-10-24 09:45:00,2022-11-11 10:55:00,2023-01-16 09:40:00,14.323804733417234,2022-10-24 09:50:00,2022-11-11 10:55:00,15,686,-0.15459516715364927,-103.0634447690995,-0.0472761608294218,-0.1073190063242275,0.6049500576515437,-0.759545224805193,1.255550297414299,50,0.3,0.3233440593530317,0.4779392265066809,-0.08510563473841477,-0.19150441821234718,1.364495282456713,-0.113298425536003,0,0.14173020320724913,0.07813600854162164,0.04125662418377808,27.463232633001144,27.45007018112095,27.09325433700881,1.0152809764732447,0.4666666666666667,-0.009490979734032578,-0.05275254982554903,-0.01729366539294092,0.8962005058543433,0.9097236477263302,0.9043515229366766,7.560000000000001,0.2938575464552236,0.5277777777777778,0.4422834857773857,0.09688270452458725,1.177848763175535
1,recovery,21569,23714,2022-10-24 09:45:00,2022-11-11 10:55:00,2023-01-16 09:40:00,14.323804733417234,2022-11-11 11:00:00,2023-01-16 09:40:00,46,2145,0.15765209189206375,34.27219388957908,0.045550732775417296,0.11210135911664645,1.2762202413020076,-1.118568149409944,0.8764695255646267,110,0.4090909090909091,0.6879657903711749,0.5303136984791114,-0.09359179997303148,-0.12238108654174422,2.3947883907119394,0.0658313245978263,0,0.1638902826610463,0.07756701215901309,0.035486618943018,15.54781645610191,16.27349833375354,18.7168685294635,0.8412285926263265,0.45652173913043476,-0.036977967528607755,-0.010578536003736837,0.013921324963517279,0.8956502241823318,0.9047490748560082,0.912355057764816,7.595652173913043,0.3746484831634851,0.4847826086956521,0.49893086715606233,0.13425131041092286,1.0496104017936525
2,decline,43516,43541,2024-09-27 13:20:00,2024-09-30 09:55:00,2024-10-08 09:35:00,12.403523251617667,2024-09-27 13:25:00,2024-09-30 09:55:00,2,25,-0.132429408621908,-662.1470431095399,-0.03773469352827069,-0.0946947150936373,0.010985491990787492,-0.1434149006126955,13.054936522912602,3,0.0,0.00036627304029495777,0.13279568166220296,-0.03773469352827069,-0.0946947150936373,0.15440039260348204,-0.8577012427811758,0,0.5548904354125073,0.3462727033184782,0.1129611146226209,97.69118367993225,52.21958935060548,30.880603399368425,2.902923729990129,0.0,0.005163737457345399,-0.059344791618704845,-0.11379245009295899,0.8038068836944194,0.8139772505897338,0.8491222550544745,5.8,0.9125097285467072,0.6104166666666666,0.32382126133033184,0.3884522499439276,0.6405298762419365
2,recovery,43541,43585,2024-09-27 13:20:00,2024-09-30 09:55:00,2024-10-08 09:35:00,12.403523251617667,2024-09-30 10:00:00,2024-10-08 09:35:00,2,44,0.2853086095080975,1426.5430475404876,0.2853086095080975,0.0,0.34335876398684706,-0.05805015447874956,0.16906559717512634,1,1.0,0.28530860950809755,0.0,0.0,0.0,0.4014089184655969,0.7107679884111746,0,0.4486405800867062,0.4094705324808846,0.1770096520053786,195.4451119236411,101.6897506380625,53.362715339167366,3.686819204913535,0.0,-0.1240845486340887,-0.06701538222269264,-0.101674589991252,0.9176088446385875,0.8941947470151939,0.8949476722892047,5.699999999999999,0.7203227546482329,0.6270833333333333,0.27960483553131216,0.6884555497291074,0.8068831028560581
3,decline,1975,3506,2021-03-09 10:05:00,2021-04-23 09:40:00,2021-06-01 09:45:00,12.106815063244971,2021-03-09 10:10:00,2021-04-23 09:40:00,33,1531,-0.12904791630778348,-39.105429184176806,-0.034945432100944744,-0.09410248420683873,0.9092575737489661,-1.0383054900567497,1.141926688359279,110,0.3090909090909091,0.5002369432736609,0.6292848595814444,-0.17718281379384904,-0.17688669514988953,1.9475630638057089,-0.06626122599368492,0,0.17252438367787762,0.09939191447778888,0.055659631644292426,18.079355629002606,19.01581014435845,20.49855808098497,0.8833015700845849,0.42424242424242425,-0.02297674755229734,-0.02302935767456909,-0.0007275525855042874,0.8980380387281104,0.9054579611829489,0.9075311966263828,7.375757575757576,0.3950105013938478,0.4895202020202021,0.4605831557355926,0.1145060333181808,1.1107066533917547
3,recovery,3506,4659,2021-03-09 10:05:00,2021-04-23 09:40:00,2021-06-01 09:45:00,12.106815063244971,2021-04-23 09:45:00,2021-06-01 09:45:00,25,1153,0.13452486385461196,53.80994554184479,0.12041021267454811,0.014114651180063824,0.7530857463904607,-0.6185608825358486,0.821368463685059,67,0.43283582089552236,0.4689456342227643,0.3344207703681524,-0.06838305519097511,-0.0727584852466824,1.371646628926305,0.09807545253832256,0,0.20575388164273267,0.12713604873260725,0.040925974044755155,16.6027628161326,16.25280522247505,16.001289661336504,1.0362084884938079,0.4,0.050780573875872675,-0.014745474027618636,-0.014706378038058219,0.8768788270111914,0.8850915231646671,0.8931362441588477,6.944000000000001,0.47259885300032456,0.5206666666666667,0.47161565898473645,0.09057277922997478,1.0030376310015696
4,decline,24725,25465,2023-02-21 09:55:00,2023-03-14 13:05:00,2023-04-06 10:30:00,11.875872835914025,2023-02-21 10:00:00,2023-03-14 13:05:00,16,740,-0.1264238294257211,-79.0148933910757,-0.0648666928284394,-0.06155713659728172,0.33112434506301897,-0.4575481744887401,1.381801674539093,65,0.23076923076923078,0.16126228339409693,0.28768611281981804,-0.06747170048717284,-0.1023013627184735,0.7886725195517643,-0.16029952393621255,0,0.12262641725961333,0.043130697867003714,0.026534939015849718,14.198937855662717,14.281056268529422,14.732431733621517,0.9650382608373429,0.5625,-0.03225948410910055,-0.06454116729266686,-0.0177813017263788,0.9095541233594269,0.9105554631554447,0.9131440789969358,7.574999999999999,0.2146482373698996,0.44453125,0.45372907789006184,0.12285237637056153,1.151280610527616
4,recovery,25465,26220,2023-02-21 09:55:00,2023-03-14 13:05:00,2023-04-06 10:30:00,11.875872835914025,2023-03-14 13:10:00,2023-04-06 10:30:00,17,755,0.12779817859763445,75.1753991750791,0.13815364034867095,-0.010355461751036486,0.6784579304056004,-0.5506597518079661,0.8116343359399851,43,0.5116279069767442,0.40669265680207806,0.2788944782044436,-0.035194251856385673,-0.050286812951636006,1.2291176822135617,0.10397554314528953,0,0.17095823610233649,0.08753109173638768,0.04869006927716744,21.182146082947572,19.63122405031102,16.740705890677503,1.2537458716277223,0.17647058823529413,-0.016919941362606133,-0.01842680728303983,0.009808018563243912,0.8907920793163797,0.8952402906341721,0.9007339883830063,7.823529411764706,0.3591448136440054,0.488235294117647,0.4454871174444911,0.07856125243357093,1.0084859171206693
5,decline,26221,26977,2023-04-06 10:35:00,2023-04-28 09:35:00,2023-06-26 14:20:00,10.73086451489263,2023-04-06 10:40:00,2023-04-28 09:35:00,17,756,-0.11351438511494144,-66.77316771467143,-0.10271198965538221,-0.010802395459559246,0.6838470205961575,-0.797361405711099,1.1659938285846196,55,0.2545454545454545,0.36268164177930895,0.47619602689425045,-0.15027477968015238,-0.10550300240696352,1.481208426307254,-0.07663633496734822,0,0.1773956649465278,0.07836909381455365,0.052405591522350796,24.47861855747549,25.403084187770215,23.539693707462874,1.0447350222690286,0.5294117647058824,0.05675642112089313,-0.04290708584653331,-0.06966258513192763,0.8970043062856685,0.8923816122861538,0.8924221124109734,7.223529411764705,0.3486286949311643,0.5058823529411764,0.45251652165584,0.06843976085854762,1.058659724258684
5,recovery,26977,28744,2023-04-06 10:35:00,2023-04-28 09:35:00,2023-06-26 14:20:00,10.73086451489263,2023-04-28 09:40:00,2023-06-26 14:20:00,37,1767,0.1137931413646833,30.754903071536027,0.03306047120866577,0.08073267015601751,1.1378881338484277,-1.0240949924837444,0.8999961964803816,104,0.4423076923076923,0.6350945522011469,0.5213014108364638,-0.08432130592539383,-0.12320773107648314,2.1619831263321787,0.05263368616467153,0,0.17458822661215512,0.07611532885225047,0.03389069871209581,16.280188837347392,16.65770404910602,18.762302938899925,0.885352498892402,0.43243243243243246,-0.01725813460747461,-0.08603948711030121,-0.043985933827287715,0.9051152345739428,0.9082992676534811,0.9040438016590104,7.913513513513511,0.3751601832882091,0.47466216216216217,0.500196039564953,0.11642693665764577,1.117135927187
