view,year,feature,outcome,rho,n_days
5m_offset_0,2023,work_turns_5d,capture,-0.006848470864387836,242
5m_offset_0,2023,slow_work_velocity_5d,pnl_log,0.11430157224197211,242
5m_offset_0,2023,slow_work_velocity_5d,capture,0.12582804447509593,242
5m_offset_0,2023,slow_work_opposition_5d,pnl_log,0.1383111094101109,242
5m_offset_0,2023,slow_work_opposition_5d,capture,0.13251642572985517,242
5m_offset_0,2023,wick_1d,pnl_log,0.04090657190116514,242
5m_offset_0,2023,wick_1d,capture,0.0575701268521588,242
5m_offset_0,2023,gap_share_1d,pnl_log,0.18185501437104606,242
5m_offset_0,2023,gap_share_1d,capture,0.17150041002675231,242
5m_offset_0,2023,threshold_work_amplitude_5d,pnl_log,-0.1397736110423147,242
5m_offset_0,2023,threshold_work_amplitude_5d,capture,-0.1370539292078334,242
5m_offset_0,2024,eff_1d,pnl_log,0.2790523111156834,242
5m_offset_0,2024,eff_1d,capture,0.3164259214806178,242
5m_offset_0,2024,eff_5d,pnl_log,0.07916331680948807,242
5m_offset_0,2024,eff_5d,capture,0.04477526003994004,242
5m_offset_0,2024,eff_20d,pnl_log,0.10617470230194988,242
5m_offset_0,2024,eff_20d,capture,0.07217952609628707,242
5m_offset_0,2024,rv_1d,pnl_log,0.17918444260705044,242
5m_offset_0,2024,rv_1d,capture,0.09588275563379298,242
5m_offset_0,2024,rv_5d,pnl_log,0.10639569761913532,242
5m_offset_0,2024,rv_5d,capture,0.027002494876253207,242
5m_offset_0,2024,rv_20d,pnl_log,0.08184912962984132,242
5m_offset_0,2024,rv_20d,capture,0.012160246159994684,242
5m_offset_0,2024,rv_ratio_1_20,pnl_log,0.1458310842191139,242
5m_offset_0,2024,rv_ratio_1_20,capture,0.1144124932632414,242
5m_offset_0,2024,drift_disagree_1_20,pnl_log,0.04721514736554452,242
5m_offset_0,2024,drift_disagree_1_20,capture,0.00842280267073784,242
5m_offset_0,2024,acf1_5d,pnl_log,0.08730966143263391,242
5m_offset_0,2024,acf1_5d,capture,0.0922155881290799,242
5m_offset_0,2024,acf3_5d,pnl_log,0.13315306550563688,242
5m_offset_0,2024,acf3_5d,capture,0.12674504803261247,242
5m_offset_0,2024,acf12_5d,pnl_log,0.023371736561727762,242
5m_offset_0,2024,acf12_5d,capture,0.04264235887522698,242
5m_offset_0,2024,fast_share_1d,pnl_log,-0.2642507052163786,242
5m_offset_0,2024,fast_share_1d,capture,-0.2860665839415997,242
5m_offset_0,2024,fast_share_5d,pnl_log,-0.10581145712542671,242
5m_offset_0,2024,fast_share_5d,capture,-0.1206198368275572,242
5m_offset_0,2024,fast_share_20d,pnl_log,0.0031282268174007144,242
5m_offset_0,2024,fast_share_20d,capture,-0.004655719354575133,242
5m_offset_0,2024,work_turns_5d,pnl_log,-0.10319984327113124,242
5m_offset_0,2024,work_turns_5d,capture,-0.08207012415782336,242
5m_offset_0,2024,slow_work_velocity_5d,pnl_log,0.16802206227580302,242
5m_offset_0,2024,slow_work_velocity_5d,capture,0.1560188836688271,242
5m_offset_0,2024,slow_work_opposition_5d,pnl_log,-0.06534662741459368,242
5m_offset_0,2024,slow_work_opposition_5d,capture,-0.0936391782001696,242
5m_offset_0,2024,wick_1d,pnl_log,-0.05559556332849431,242
5m_offset_0,2024,wick_1d,capture,0.0019377309708002533,242
5m_offset_0,2024,gap_share_1d,pnl_log,-0.024639284415469503,242
5m_offset_0,2024,gap_share_1d,capture,-0.029072738364829404,242
5m_offset_0,2024,threshold_work_amplitude_5d,pnl_log,-0.16747761787369483,242
5m_offset_0,2024,threshold_work_amplitude_5d,capture,-0.1465736623538711,242
5m_offset_0,2025,eff_1d,pnl_log,0.2631542497013349,223
5m_offset_0,2025,eff_1d,capture,0.29788705265162657,223
5m_offset_0,2025,eff_5d,pnl_log,0.1279000813754177,223
5m_offset_0,2025,eff_5d,capture,0.10841001956472808,223
5m_offset_0,2025,eff_20d,pnl_log,-0.009549708260470592,223
5m_offset_0,2025,eff_20d,capture,-0.06711740568242809,223
5m_offset_0,2025,rv_1d,pnl_log,0.08462935228630296,223
5m_offset_0,2025,rv_1d,capture,0.046793029416347796,223
5m_offset_0,2025,rv_5d,pnl_log,0.05758933982028152,223
5m_offset_0,2025,rv_5d,capture,0.01568208182557958,223
5m_offset_0,2025,rv_20d,pnl_log,0.05592287514933254,223
5m_offset_0,2025,rv_20d,capture,0.044026048790622774,223
5m_offset_0,2025,rv_ratio_1_20,pnl_log,0.0999056391433073,223
5m_offset_0,2025,rv_ratio_1_20,capture,0.06714337656041691,223
5m_offset_0,2025,drift_disagree_1_20,pnl_log,-0.11018050857829408,223
5m_offset_0,2025,drift_disagree_1_20,capture,-0.1167118273857703,223
5m_offset_0,2025,acf1_5d,pnl_log,-0.09038081964090933,223
5m_offset_0,2025,acf1_5d,capture,-0.06388078501307201,223
5m_offset_0,2025,acf3_5d,pnl_log,0.013358770365496821,223
5m_offset_0,2025,acf3_5d,capture,0.034714406911716324,223
5m_offset_0,2025,acf12_5d,pnl_log,0.008253328600862234,223
5m_offset_0,2025,acf12_5d,capture,0.04006657201724466,223
5m_offset_0,2025,fast_share_1d,pnl_log,-0.2807830652561594,223
5m_offset_0,2025,fast_share_1d,capture,-0.290300309919144,223
5m_offset_0,2025,fast_share_5d,pnl_log,-0.0009522655262565575,223
5m_offset_0,2025,fast_share_5d,capture,-0.022881425628062398,223
