year,feature,outcome,rho,n_days
2023,fast_share_1d,capture,-0.27529309596178897,48
2023,fast_share_5d,pnl_log,-0.14046895353886235,48
2023,fast_share_5d,capture,-0.16988710377768126,48
2023,fast_share_20d,pnl_log,-0.050043421623968735,48
2023,fast_share_20d,capture,-0.049174989144594006,48
2023,work_turns_5d,pnl_log,0.14059192556084738,48
2023,work_turns_5d,capture,0.12250883895916248,48
2023,slow_work_velocity_5d,pnl_log,0.23501953973078593,48
2023,slow_work_velocity_5d,capture,0.2772470690403821,48
2023,slow_work_opposition_5d,pnl_log,0.1908200137591031,48
2023,slow_work_opposition_5d,capture,0.20650905614214174,48
2023,wick_1d,pnl_log,0.027029960920538432,48
2023,wick_1d,capture,0.03473729917498915,48
2023,gap_share_1d,pnl_log,0.18986105080330004,48
2023,gap_share_1d,capture,0.12907077724706903,48
2023,threshold_work_amplitude_5d,pnl_log,-0.20809813287016934,48
2023,threshold_work_amplitude_5d,capture,-0.24489795918367346,48
2024,eff_1d,pnl_log,0.40425531914893614,48
2024,eff_1d,capture,0.41901867129830656,48
2024,eff_5d,pnl_log,0.15154146765089016,48
2024,eff_5d,capture,0.12396873643074251,48
2024,eff_20d,pnl_log,0.12082066869300913,48
2024,eff_20d,capture,0.12505427702996091,48
2024,rv_1d,pnl_log,0.3434650455927052,48
2024,rv_1d,capture,0.2127659574468085,48
2024,rv_5d,pnl_log,0.2502171081198437,48
2024,rv_5d,capture,0.10779418150238818,48
2024,rv_20d,pnl_log,0.17911419887103777,48
2024,rv_20d,capture,0.04852366478506296,48
2024,rv_ratio_1_20,pnl_log,0.23827616152844117,48
2024,rv_ratio_1_20,capture,0.24044724272687798,48
2024,drift_disagree_1_20,pnl_log,-0.2331130282873534,48
2024,drift_disagree_1_20,capture,-0.31060889598385644,48
2024,acf1_5d,pnl_log,0.03994789405123751,48
2024,acf1_5d,capture,0.0668693009118541,48
2024,acf3_5d,pnl_log,0.34607034303082934,48
2024,acf3_5d,capture,0.3586626139817629,48
2024,acf12_5d,pnl_log,-0.13048198002605296,48
2024,acf12_5d,capture,-0.07283977420755536,48
2024,fast_share_1d,pnl_log,-0.3865610073816761,48
2024,fast_share_1d,capture,-0.3924229266174555,48
2024,fast_share_5d,pnl_log,-0.21927920104211898,48
2024,fast_share_5d,capture,-0.1945288753799392,48
2024,fast_share_20d,pnl_log,-0.036257056013894916,48
2024,fast_share_20d,capture,-0.038862353452019105,48
2024,work_turns_5d,pnl_log,-0.19878884629254634,48
2024,work_turns_5d,capture,-0.14181357313383564,48
2024,slow_work_velocity_5d,pnl_log,0.3706035605731655,48
2024,slow_work_velocity_5d,capture,0.36799826313504125,48
2024,slow_work_opposition_5d,pnl_log,0.019490743972383744,48
2024,slow_work_opposition_5d,capture,-0.089201371439071,48
2024,wick_1d,pnl_log,-0.3113330438558402,48
2024,wick_1d,capture,-0.23111159357359964,48
2024,gap_share_1d,pnl_log,-0.1017151541467651,48
2024,gap_share_1d,capture,-0.17878853669127226,48
2024,threshold_work_amplitude_5d,pnl_log,-0.40479808944854534,48
2024,threshold_work_amplitude_5d,capture,-0.3068823273990447,48
2025,eff_1d,pnl_log,0.30641296687808317,44
2025,eff_1d,capture,0.18985200845665962,44
2025,eff_5d,pnl_log,0.37660324171952075,44
2025,eff_5d,capture,0.29020436927413673,44
2025,eff_20d,pnl_log,0.03960535588442565,44
2025,eff_20d,capture,-0.007892882311486963,44
2025,rv_1d,pnl_log,0.1384073291050035,44
2025,rv_1d,capture,0.03058491895701198,44
2025,rv_5d,pnl_log,0.09880197322057785,44
2025,rv_5d,capture,0.0018322762508809016,44
2025,rv_20d,pnl_log,0.10725863284002818,44
2025,rv_20d,capture,0.050035236081747717,44
2025,rv_ratio_1_20,pnl_log,-0.024947145877378434,44
2025,rv_ratio_1_20,capture,-0.08287526427061309,44
2025,drift_disagree_1_20,pnl_log,-0.3519732884263508,44
2025,drift_disagree_1_20,capture,-0.3659193998545646,44
2025,acf1_5d,pnl_log,-0.15856236786469344,44
2025,acf1_5d,capture,-0.13079633544749822,44
2025,acf3_5d,pnl_log,-0.06765327695560254,44
2025,acf3_5d,capture,-0.029739252995066946,44
2025,acf12_5d,pnl_log,0.059055673009161376,44
2025,acf12_5d,capture,-0.019873150105708243,44
2025,fast_share_1d,pnl_log,-0.04129668780831571,44
2025,fast_share_1d,capture,-0.02142353770260747,44
2025,fast_share_5d,pnl_log,-0.006624383368569414,44
2025,fast_share_5d,capture,-0.005637773079633544,44
2025,fast_share_20d,pnl_log,0.040169133192389,44
2025,fast_share_20d,capture,-0.011275546159267088,44
2025,work_turns_5d,pnl_log,0.3672189160097234,44
2025,work_turns_5d,capture,0.3911878988170388,44
2025,slow_work_velocity_5d,pnl_log,0.5444679351656095,44
2025,slow_work_velocity_5d,capture,0.4343904157857646,44
2025,slow_work_opposition_5d,pnl_log,-0.049973569057789886,44
2025,slow_work_opposition_5d,capture,-0.1180616758417462,44
2025,wick_1d,pnl_log,-0.03551797040169133,44
2025,wick_1d,capture,0.029598308668076105,44
2025,gap_share_1d,pnl_log,0.2098661028893587,44
2025,gap_share_1d,capture,0.0835799859055673,44
2025,threshold_work_amplitude_5d,pnl_log,-0.020859760394644114,44
2025,threshold_work_amplitude_5d,capture,-0.02142353770260747,44
