year,block,gain,n
2024,0,-0.54224385574825651,396
2024,1,-0.39915033955714113,400
2024,2,-0.3263081438047013,400
2024,3,-0.81295894759588749,400
2024,4,-2.4268768102328901,400
2024,5,-0.53666452839696432,400
2024,6,0.26626474980902132,400
2024,7,-0.57995440254137076,400
2024,8,-0.75254597198870843,400
2024,9,0.090238763516850812,400
2024,10,-0.056357920081491326,398
2024,11,-0.3524766926417488,400
2024,12,0.030957750478643044,400
2024,13,-0.60263313506997895,400
2024,14,0.47461385917451343,386
2024,15,-0.86746018550273929,400
2024,16,-0.55313701500699164,400
2024,17,0.33610697160139624,400
2024,18,-0.40290272365495949,400
2024,19,0.43572326922062532,400
2024,20,0.0037055208275963009,400
2024,21,0.063877701513610094,400
2024,22,0.24312750335877392,400
2024,23,0.66119505545149038,400
2024,24,0.13007136718323156,400
2024,25,0.29896069429339334,400
2024,26,-0.60910032270505621,400
2024,27,-0.2299827692450829,400
2024,28,0.36488389922516978,400
2024,29,-0.33537060471095603,400
2024,30,-0.38977335902731258,400
2024,31,-1.3580112683962238,400
2024,32,-0.38451118248454641,400
2024,33,1.863370113326398,400
2024,34,1.0738206258178413,400
2024,35,3.0419642270137417,389
2024,36,-0.081640850008557725,400
2024,37,-2.7908845668720352,400
2024,38,-0.30637699701156806,400
2024,39,-0.60051810432701258,400
2024,40,-0.42691074754285674,398
2024,41,-0.58020927129302047,400
2024,42,-0.6059163662598297,400
2024,43,-2.0524134429980858,370
2024,44,0.19721380103407485,346
2024,45,-0.50454848697242349,362
2024,46,-0.56026441476545275,388
2024,47,-0.54933962696942873,342
2024,48,0.27055014216357964,160
2025,0,-1.3053767025425971,400
2025,1,-0.28245040064608196,400
2025,2,-0.51280658975281324,400
2025,3,-0.89340027859352733,400
2025,4,-0.14316505117371522,400
2025,5,-1.3742537521159257,400
2025,6,0.7565621466130894,400
2025,7,0.14116272008243647,400
2025,8,0.090989171622163106,400
2025,9,-0.17486255305536266,400
2025,10,1.0793695509368268,400
2025,11,0.079593546942503923,400
2025,12,-1.1764513411681092,400
2025,13,-0.0031802211283636301,400
2025,14,-0.60416414825726183,400
2025,15,0.80223383626828315,400
2025,16,-0.071657891372675891,400
2025,17,-0.2929378000677601,400
2025,18,-0.014336688394575477,400
2025,19,-0.32231491093346826,400
2025,20,0.87301964968814516,400
2025,21,-0.064763437656901193,400
2025,22,0.30740391818868756,400
2025,23,-0.88193219076030482,400
2025,24,0.78502031010966167,400
2025,25,-0.76629617944154027,400
2025,26,-0.14677047335841953,400
2025,27,1.1500569858956016,400
2025,28,0.66976482859924424,400
2025,29,0.055886214063857562,400
2025,30,-0.13229684341212142,400
2025,31,1.61848819136357,400
2025,32,-0.71247287038988394,400
2025,33,-0.74763944822464601,400
2025,34,0.63632714414446689,400
2025,35,-0.41247363381029412,400
2025,36,0.92736490662010396,400
2025,37,0.088952509701285071,400
2025,38,0.20329729775634309,400
2025,39,-0.87869938069904352,400
2025,40,0.077468249064765946,398
2025,41,0.067681621929383845,400
2025,42,-0.65815255905979542,400
2025,43,0.57487148737896354,400
2025,44,0.52425747757632979,400
2025,45,-0.86904576546392465,400
2025,46,0.17040603120442493,400
2025,47,-0.52905414165979925,400
2025,48,0.83811950454674289,240
