year,block,gain,n
2024,0,-14.980812951489765,876
2024,1,-13.117764533209222,880
2024,2,-1.015641445915286,878
2024,3,-2.6397033446191149,874
2024,4,-0.94211783630574153,880
2024,5,-1.0688651988746793,880
2024,6,-5.6110121847363015,880
2024,7,-4.5025677834944462,880
2024,8,-5.2566487258916412,878
2024,9,-16.461682758803789,880
2024,10,-15.524504359358934,858
2024,11,-3.1483053409325357,784
2024,12,-0.4835948087142779,88
2025,0,-12.838984365815501,880
2025,1,-2.9224263534995982,880
2025,2,-4.0387886347419117,880
2025,3,-3.0540722161913916,880
2025,4,-3.4944788559540121,880
2025,5,-6.6303236839526827,880
2025,6,-5.2599363904329213,880
2025,7,-3.6899452023727748,880
2025,8,-9.4141665690822283,880
2025,9,-2.6272238800243541,880
2025,10,-1.7668516884371281,878
2025,11,-2.2167939019911098,880
2025,12,-0.44932564139019632,132
