trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
0,0,32,2021-01-04 09:35:00,2021-01-04 13:45:00,1,33,0.019153775498002044,0.022987232515263797,-0.0010925113751891454,0.003833457017261753,False,False,True,2021-01-04,2021,1,2021-01-04,0,0
1,33,42,2021-01-04 13:50:00,2021-01-04 14:35:00,-1,10,-0.0027657862641396022,0.00042998171477996218,-0.0032435693597071022,0.0031957679789195643,False,True,False,2021-01-04,2021,-1,2021-01-04,0,0
2,43,50,2021-01-04 14:40:00,2021-01-05 09:45:00,1,8,-0.0029560832337064001,0.00060421689008409939,-0.0068545584453171739,0.0035603001237904993,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
3,51,54,2021-01-05 09:50:00,2021-01-05 10:05:00,-1,4,-0.0031458185535045338,0.00020443338538870832,-0.0031458185535045338,0.0033502519388932421,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
4,55,60,2021-01-05 10:10:00,2021-01-05 10:35:00,1,6,-0.0031246726573937117,0.0023511340133039304,-0.0031246726573937117,0.0054758066706976421,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
5,61,74,2021-01-05 10:40:00,2021-01-05 13:15:00,-1,14,-0.00092293499860101583,0.0046912288153605685,-0.0014439113482023994,0.005614163813961584,False,True,False,2021-01-05,2021,-1,2021-01-05,1,0
6,75,102,2021-01-05 13:20:00,2021-01-06 10:05:00,1,28,-0.0023124657795046363,0.0070383538921886639,-0.0023124657795046363,0.0093508196716932997,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
7,103,109,2021-01-06 10:10:00,2021-01-06 10:40:00,-1,7,-0.0036776921335211878,0.0020914596962935128,-0.0037761415552102114,0.0057691518298147006,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
8,110,113,2021-01-06 10:45:00,2021-01-06 11:00:00,1,4,-0.0050762246089392287,7.0322004487277868e-05,-0.0050762246089392287,0.0051465466134265067,False,True,False,2021-01-06,2021,-1,2021-01-06,2,0
9,114,140,2021-01-06 11:05:00,2021-01-06 14:45:00,-1,27,0.00053733032967052063,0.0043351440687025471,-0.0019207146441777389,0.0037978137390320263,False,False,False,2021-01-06,2021,1,2021-01-06,2,0
10,141,148,2021-01-06 14:50:00,2021-01-07 09:55:00,1,8,-0.0061645609942917274,0.00062214557384789493,-0.0061645609942917274,0.0067867065681396221,False,True,False,2021-01-07,2021,-1,2021-01-07,3,0
11,149,168,2021-01-07 10:00:00,2021-01-07 13:05:00,-1,20,0.01027799441423265,0.014174977927038254,0,0.0038969835128056032,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
12,169,172,2021-01-07 13:10:00,2021-01-07 13:25:00,1,4,-0.0043590006589723455,0.0004671940054142052,-0.0043590006589723455,0.0048261946643865508,False,True,False,2021-01-07,2021,-1,2021-01-07,3,0
13,173,186,2021-01-07 13:30:00,2021-01-07 14:35:00,-1,14,0.0046899852192015361,0.0099853517926242821,0,0.0052953665734227461,False,False,False,2021-01-07,2021,1,2021-01-07,3,0
14,187,194,2021-01-07 14:40:00,2021-01-08 09:45:00,1,8,-0.0079389774430762023,0.0026950874466114792,-0.0079389774430762023,0.010634064889687682,False,True,False,2021-01-08,2021,-1,2021-01-08,4,0
