policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
F,2023,original_zero_cost,0.5909152089220946,0.14323804733417234,4.026624215181558,4.125406761120513,2103,6.535967503294929,0.3780313837375178,1.0,4208,1,0.31533811429942454,0.11875872835914203,712,3.8347487935621603
F,2023,uniform_fee_proxy,0.20171302936960162,0.18014115868816372,1.7354108559941448,1.119749816413584,2103,2.5355674499535956,0.3590109367570138,1.0,4208,1,-0.010677318479292864,0.18014115868816294,712,-0.16565125977917303
A,2023,original_zero_cost,0.6286928055701952,0.1094052366892625,4.3203360989477275,5.746459900780032,1393,10.510212348581161,0.3898061737257717,0.6784731774415406,2787,1,0.39221538483238516,0.10100334339661121,492,6.703996764377427
A,2023,uniform_fee_proxy,0.35250597682947443,0.11904169309027823,2.474101877727965,2.9611976079854876,1393,6.509812295239827,0.3711414213926777,0.6784731774415406,2787,1,0.14348040437505918,0.11904169309027846,492,2.703596711036092
B,2023,original_zero_cost,0.6241670415821804,0.15247137847944914,4.284420414327043,4.093666941342101,1995,7.200856583701595,0.3829573934837093,0.9639786795048143,3992,1,0.3451748163460886,0.11760675581757951,676,4.370774259880452
B,2023,uniform_fee_proxy,0.2446260761347344,0.1687978120839868,1.9280428731541195,1.449225396434751,1995,3.2004565303602615,0.36541353383458647,0.9639786795048143,3992,1,0.026440442661729912,0.16879781208398703,676,0.3703742065391177
AB,2023,original_zero_cost,0.6324257661788788,0.10940523668926216,4.350110843186202,5.780580393744075,1338,10.99357777439081,0.39162929745889385,0.6597604309949564,2677,1,0.41187111006012783,0.09562896484266536,471,7.300556549026321
AB,2023,uniform_fee_proxy,0.3655845694144937,0.11897285876152275,2.5465710775908637,3.0728400848742834,1338,6.993177721049478,0.375186846038864,0.6597604309949564,2677,1,0.169407266446957,0.11412960582356135,471,3.3001564956849863
C,2023,original_zero_cost,0.4039962451071388,0.23668496114678528,2.7675650589447134,1.7068944437774896,533,18.589811624774722,0.32082551594746717,1.0,1068,1,0.35287570434467946,0.13549944965351757,172,17.945732730047858
C,2023,uniform_fee_proxy,0.3074981606998727,0.2503030630609656,2.235235363727174,1.228503386812235,533,14.58941157143339,0.3076923076923077,1.0,1068,1,0.2629188598772559,0.14888233860755973,172,13.945332676706526
AC,2023,original_zero_cost,0.39197790590209014,0.24400820280449276,2.6970998572240936,1.6064128229990509,401,24.06598840010416,0.341645885286783,0.9373853736817973,804,1,0.3479246657414193,0.115933262230827,129,22.516867214294734
AC,2023,uniform_fee_proxy,0.31932511439046063,0.2536241858445054,2.2964420412979374,1.2590483566351824,401,20.065588346762826,0.33665835411471323,0.9373853736817973,804,1,0.2801291410553681,0.1271516488626091,129,18.5164671609534
BC,2023,original_zero_cost,0.39954668583357467,0.2275687448978848,2.7413353756819174,1.7557186335621802,514,19.09171655914971,0.32684824902723736,0.993494956441999,1030,1,0.34417125406749116,0.1427744913150799,166,18.205528907257115
BC,2023,uniform_fee_proxy,0.3066607722694859,0.23952635638525732,2.2309434378775364,1.2802798693946178,514,15.091316505808376,0.3132295719844358,0.993494956441999,1030,1,0.2578086174085121,0.15941417368027044,166,14.20512885391578
ABC,2023,original_zero_cost,0.3782048217876808,0.24672779489103536,2.6178291238844307,1.5328829163925808,394,23.73640765780752,0.3426395939086294,0.9344910591471802,790,1,0.326175109332402,0.13145248856206437,127,21.59058294876117
ABC,2023,uniform_fee_proxy,0.30749077896028587,0.2560116199640524,2.2351975055502877,1.2010813376496812,394,19.73600760446618,0.33756345177664976,0.9344910591471802,790,1,0.26048158806331734,0.14213083023614426,127,17.590182895419836
channel_only,2023,original_zero_cost,0.2533148616513292,0.23452304535804958,1.9687046565694544,1.080127802641271,209,31.511316729846733,0.40669856459330145,0.8431911966987621,420,1,0.1942493209992345,0.14709776529131746,67,26.53148188794147
channel_only,2023,uniform_fee_proxy,0.2187053785739765,0.23971114793493387,1.8100733885620468,0.9123704944808864,209,27.51091667650541,0.40669856459330145,0.8431911966987621,420,1,0.16266539586507778,0.1535558961243353,67,22.531081834600148
